C65-A_1	C65-A_2	C65-A_3	C65-B_1	C65-B_2	C65-B_3	C65-C-LA_1	C65-C-LA_2	C65-C-LA_3	C65-C-LB_1	C65-C-LB_2	C65-C-LB_3	C65-D_1	C65-D_2	C65-D_3	C65-E_1	C65-E_2	C65-E_3	C65-F_1	C65-F_2	C65-F_3	C65-G_1	C65-G_2	C65-G_3	C65-H_1	C65-H_2
2782	492	1029	775	2724	1361	119	209	0	396	249	0	2299	1232	606	919	482	529	1140	895	449	2686	1437	1319	704	334
10630	4187	4591	3444	10058	5819	853	1452	500	2179	1395	279	10630	5959	2779	4095	2837	2592	5804	6262	2591	10650	6772	6119	3367	1386
23191	12199	13429	9967	21371	17645	2900	4473	1908	6618	3993	1461	23946	16271	9196	13436	10428	9897	16052	16281	8556	21874	20694	19051	8959	3898
22944	13916	15812	13352	22002	23145	5093	8054	3891	9714	7898	2946	23892	19759	10602	20477	15773	12952	18284	17213	10253	21749	24042	23824	9561	6168
20118	8486	11193	10224	22037	16944	6990	10803	4760	12454	10404	4694	16035	12703	5988	17298	12652	11046	9804	8602	5897	21613	16504	14955	5167	3247
14756	6225	8376	9235	17352	14269	7771	12000	5565	12618	11500	5505	11592	9056	4216	15364	12249	10004	5988	5283	4043	15812	12746	11214	3356	2947
7949	3875	5756	6443	11072	10623	5741	8560	4369	8981	9472	4634	7768	5824	2396	10230	8907	7523	3673	3286	2937	9210	8026	6707	4353	2398
2810	1401	1762	1887	3168	3154	1660	2323	1129	2374	2368	1545	2109	1338	687	3069	2426	1970	1266	942	889	2723	2528	2257	780	392
