C97M1a_1	C97M1a_2	C97M1a_3	C97M1b_1	C97M1b_2	C97M1b_3	C97M1c_1	C97M1c_2	C97M1c_3	C97M2b_1	C97M2b_2	C97M2b_3	C97N1_1	C97N1_2	C97N1_3	C97P1a_1	C97P1a_2	C97P1a_3	C97P1b_1	C97P1b_2	C97P1b_3	C97P1c_1	C97P1c_2	C97P1c_3	C97P1d_1	C97P1d_2	C97P1d_3	C97P1e_1	C97P1e_2	C97P1e_3
201	181	104	157	295	130	262	229	160	160	118	66	212	358	202	182	321	182	936	670	1046	230	343	323	497	621	807	533	587	603
457	400	277	348	807	317	623	609	427	337	328	160	531	902	522	474	877	480	2118	1461	2161	619	899	815	1201	1504	2046	1380	1578	1258
755	722	525	602	1333	591	977	985	751	511	548	273	952	1684	974	862	1453	833	2829	1965	2812	1009	1494	1342	1684	2016	2829	2009	2287	1823
962	969	737	810	1567	784	1178	1216	997	659	651	352	1247	2173	1343	1157	1786	1051	2648	1857	2720	1237	1861	1674	1650	2016	2798	2203	2350	1910
879	951	712	768	1374	753	1042	1086	976	617	576	356	1173	1950	1249	1115	1645	955	1721	1358	1830	1117	1823	1478	1292	1475	1987	1549	1680	1313
582	631	504	523	908	501	670	657	654	408	409	231	834	1217	791	737	1036	598	491	336	513	729	1221	956	497	486	683	570	458	477
181	196	163	127	220	145	243	222	166	113	55	73	259	358	202	266	277	165	192	185	260	194	297	223	208	215	280	234	201	171
99	136	91	100	140	99	134	153	89	85	56	0	148	237	112	164	166	75	156	124	186	108	153	148	131	158	160	221	158	128
