E19B1a_1	E19B1a_2	E19B1a_3	E19B1b_1	E19B1b_2	E19B1b_3	E19B2a_1	E19B2a_2	E19B2a_3	E19B2b_1	E19B2b_2	E19B2b_3	E19B2c_1	E19B2c_2	E19B2c_3	E19B2d_1	E19B2d_2	E19B2d_3	E19B3a_1	E19B3a_2	E19B3a_3	E19B3b_1	E19B3b_2	E19B3b_3	E19B3c_1	E19B3c_2	E19B3c_3	E19B4_1	E19B4_2	E19B4_3	E19B5a_2	E19B5a_3	E19B5b_1	E19B5b_2	E19B5b_3	E19B6_1	E19B6_2	E19B6_3	E19L10_1	E19L10_2	E19L10_3	E19L1_1	E19L1_2	E19L1_3	E19L2_1	E19L2_2	E19L2_3	E19L3_1	E19L3_2	E19L3_3	E19L6_1	E19L6_2	E19L6_3	E19L7_1	E19L7_2	E19L7_3	E19L8_1	E19L8_2	E19L8_3	E19L9_1	E19L9_2	E19L9_3	E19N1_1	E19N1_2	E19N1_3	E19N2_1	E19N2_2	E19N2_3	E19N3_1	E19N3_2	E19N3_3	E19OL_1	E19OL_2	E19OL_3	E19P10_1	E19P10_2	E19P10_3	E19P11_1	E19P11_2	E19P11_3	E19P12_1	E19P12_2	E19P12_3	E19P1_1	E19P1_2	E19P1_3	E19P2_1	E19P2_2	E19P2_3	E19P3_1	E19P3_3	E19P4_1	E19P4_2	E19P4_3	E19P5_1	E19P5_2	E19P5_3	E19P6_1	E19P6_3	E19P7_1	E19P7_2	E19P7_3	E19P8_1	E19P8_2	E19P8_3	E19P9_1	E19P9_2	E19X1_1	E19X1_2	E19X1_3	E19X2_1	E19X2_2	E19X2_3
2185	1389	2147	2055	1801	1514	527	1095	1124	616	1215	1940	1571	1822	432	1491	1107	642	2493	1193	1481	1683	999	2145	2438	1053	2154	1814	1819	1599	2992	1421	924	781	1441	886	1731	2996	1463	642	991	189	364	1136	330	262	1237	440	747	1307	190	398	1163	2288	3009	2694	174	1157	1278	1373	2282	818	1554	1266	1042	2127	2832	1355	1714	1958	2821	649	604	2254	523	1798	2503	547	1165	1518	1036	1535	2168	1742	2381	3563	1148	1912	1614	911	1787	1221	1555	3014	2374	1671	2611	1956	2341	2942	1686	3099	3432	1725	2089	483	2515	1135	1064	737	835	812	565
9581	6425	8840	9755	8093	6797	1950	5014	6176	2529	5109	8728	6609	7284	1664	5882	4669	2922	11042	5426	6760	7113	4215	9289	9399	4604	9960	8863	8496	6545	11355	6823	3596	3923	6411	3838	7352	11836	6890	3008	4970	885	1644	5047	1475	1039	5754	1700	3600	5775	670	2089	5171	10399	13996	12619	866	4909	6001	6162	9059	3823	6711	5303	4340	8889	12376	5663	6394	8580	13618	2511	3205	8704	2254	9118	9623	2270	5402	6683	4621	7392	8618	7296	11081	15182	5167	8761	8203	4223	8052	4927	7749	12096	8859	7408	10404	8680	9747	11333	8646	13625	13982	7889	9178	2178	12415	4697	4458	3295	4413	3493	2935
18566	12073	16935	19355	15642	13676	4216	9831	12399	5260	9962	16558	12784	14299	3608	12187	8760	5763	20600	10567	12778	14287	8683	17852	19094	9210	19376	17330	16022	12582	22066	14066	7652	7633	12807	7562	14397	23305	14436	5902	9993	1734	3422	9898	2845	2466	11139	3192	6864	11086	1466	4244	10542	20347	27566	24694	2018	9475	11913	12138	17800	7284	14183	10521	9079	18811	24672	11500	13740	17233	26820	4914	6701	16872	4547	18315	19546	4524	10900	12816	8815	14719	17406	14694	22243	28770	10038	17355	16585	8090	16039	9842	15558	23442	17577	15108	20488	16718	18392	22362	17536	26032	26940	15439	18210	4381	24140	9901	8592	6612	8748	7101	5776
18876	12185	16434	20588	15776	14246	4659	10082	12957	5641	10452	16719	13796	14561	3580	12654	8677	5762	20508	10868	13842	14562	8887	17881	19765	9498	20325	17588	15695	12536	23501	14902	8116	7965	13371	7889	14827	23868	15454	6160	10421	1873	3888	10350	2939	2795	11927	3412	7429	11599	1541	4340	10770	21354	29169	26517	2526	9572	12365	12245	18493	7558	15589	10386	9185	20116	25313	11733	14876	17959	28818	4679	6882	16549	4716	18963	20650	4916	12819	14488	9149	15034	17675	15818	25094	29103	10929	18657	17515	8585	17115	10119	16296	23200	17701	15490	20931	17572	19036	22745	18060	27116	29066	16851	18973	4901	25707	10361	8298	6819	9389	6963	5893
4209	2957	3878	4744	3939	3668	1135	2021	2809	1648	2373	4571	4152	4375	843	3763	2274	1313	4029	2954	3455	4019	2608	4507	6151	2686	5398	5394	3884	3121	5784	3361	1885	1640	2877	1981	2831	5273	3370	1412	2347	435	958	2209	749	771	2802	870	2104	2798	438	1400	3416	6821	9576	7337	837	3006	3975	2791	4801	1805	4493	2312	2185	5960	5092	2637	5217	5217	8469	1246	1553	3444	1236	5767	5777	1232	2835	3636	2292	3717	4150	4893	7624	8511	3255	5808	4836	2235	4028	2843	4153	5174	4841	4021	4649	4104	3636	5709	4687	6113	7594	4436	4881	1486	7603	2681	1690	1492	2546	1566	1378
2350	1916	2136	2809	2496	2353	676	987	1223	994	1401	2825	2816	2810	464	2592	1358	576	2222	1865	2148	2731	1643	2928	4227	1865	3360	3810	2404	1787	3318	1977	1199	751	1706	1027	1488	2841	1570	548	1132	265	426	1107	486	387	1508	549	1324	1508	265	1066	2513	5065	7234	4821	481	1971	2840	1809	2826	1216	3355	1298	1407	4571	3179	1579	4873	3933	6557	748	807	1616	848	4055	4130	702	1523	2239	1335	2453	2309	3661	5960	6157	2534	4017	3202	1484	2410	1988	2568	3235	3247	2832	3022	2564	2050	3653	2869	4107	5077	2999	3305	1151	5020	1724	876	808	1639	802	824
2885	2146	2371	3282	2833	2565	825	1196	1310	975	1523	3124	2872	2931	463	2698	1440	593	2494	1982	2405	2900	1746	3269	4292	1906	3509	3904	2698	2067	3504	2343	1422	982	2008	1102	1647	3286	1957	772	1299	263	459	1309	578	426	1623	512	1314	1663	252	1112	2744	5338	7858	5451	589	2048	2914	1873	3237	1428	3900	1553	1682	5093	3729	2043	5184	4556	7485	900	959	1834	963	4260	4314	804	1803	2486	1560	2636	2690	3826	6440	6630	2618	4295	3524	1581	2648	2223	2879	4008	3618	3141	3375	2801	2333	4011	3161	4739	5419	3340	3704	1240	5471	1873	1079	945	1833	919	918
2061	1610	1714	2313	1989	1822	620	866	934	684	1109	2411	1879	2091	301	1934	1099	444	1852	1426	1745	2037	1112	2345	2870	1232	2401	2499	1904	1479	2781	1592	971	774	1443	868	1351	2397	1493	591	1017	153	310	1041	454	273	1149	329	846	1217	240	791	1980	3638	5289	3720	432	1434	2043	1468	2306	1007	2830	1234	1219	3957	3079	1541	3710	3296	5472	686	655	1364	648	2870	3235	610	1354	1768	1132	1887	2030	2670	4285	4728	1881	3013	2727	1154	1984	1607	2107	2988	2635	2416	2541	2129	1756	3054	2280	3565	4172	2276	2704	838	3885	1312	813	742	1296	710	764
626	550	497	679	639	556	164	273	219	240	328	650	538	596	120	502	322	119	546	423	522	626	332	679	871	346	762	792	580	415	824	492	238	218	400	276	366	786	450	173	309	67	97	352	208	88	374	67	266	371	74	230	605	994	1432	1084	131	433	616	414	720	286	853	397	387	1106	1045	436	1068	928	1651	200	190	400	162	815	877	218	369	486	311	563	598	785	1178	1420	505	893	788	291	554	473	599	841	789	641	826	637	525	924	627	951	1086	626	781	211	1013	352	267	210	407	250	250
