E19B1a_1	E19B1a_2	E19B1a_3	E19B1b_1	E19B1b_2	E19B1b_3	E19B2a_1	E19B2a_2	E19B2a_3	E19B2b_1	E19B2b_2	E19B2b_3	E19B2c_1	E19B2c_2	E19B2c_3	E19B2d_1	E19B2d_2	E19B2d_3	E19B3a_1	E19B3a_2	E19B3a_3	E19B3b_1	E19B3b_2	E19B3b_3	E19B3c_1	E19B3c_2	E19B3c_3	E19B4_1	E19B4_2	E19B4_3	E19B5a_1	E19B5a_2	E19B5a_3	E19B5b_1	E19B5b_2	E19B5b_3	E19B6_1	E19B6_2	E19B6_3	E19L10_1	E19L10_2	E19L10_3	E19L1_1	E19L1_2	E19L1_3	E19L2_1	E19L2_2	E19L2_3	E19L3_1	E19L3_2	E19L3_3	E19L6_1	E19L6_2	E19L6_3	E19L7_1	E19L7_2	E19L7_3	E19L8_1	E19L8_2	E19L8_3	E19L9_1	E19L9_2	E19L9_3	E19N1_1	E19N1_2	E19N1_3	E19N2_1	E19N2_2	E19N2_3	E19N3_3	E19OL_1	E19OL_2	E19OL_3	E19P10_1	E19P10_2	E19P10_3	E19P11_1	E19P11_2	E19P11_3	E19P12_1	E19P12_2	E19P12_3	E19P1_1	E19P1_2	E19P1_3	E19P2_1	E19P2_2	E19P2_3	E19P3_1	E19P3_2	E19P3_3	E19P4_1	E19P4_2	E19P4_3	E19P5_1	E19P5_2	E19P5_3	E19P6_1	E19P6_2	E19P6_3	E19P7_1	E19P7_2	E19P7_3	E19P8_1	E19P8_2	E19P8_3	E19P9_1	E19P9_2	E19P9_3	E19X1_1	E19X1_2	E19X1_3	E19X2_1	E19X2_2	E19X2_3
365	161	432	432	281	494	440	356	374	246	203	247	138	333	563	292	138	459	427	438	398	293	187	316	342	367	655	273	273	359	534	612	464	449	607	504	375	457	433	396	510	596	609	342	335	742	245	373	379	87	238	494	178	265	541	559	861	422	350	608	375	462	640	338	933	672	426	892	975	0	317	309	376	737	475	575	774	525	572	762	413	399	531	663	585	860	467	511	666	344	401	556	416	285	1140	465	397	932	676	480	719	518	383	648	433	349	887	666	691	366	563	723	356	805	573
767	285	688	838	402	734	936	670	704	532	458	444	245	557	962	399	318	830	628	707	782	510	378	481	687	741	1252	477	546	677	1098	1243	960	797	1129	938	593	998	745	819	1095	1108	917	652	610	1222	439	587	708	121	441	863	405	532	1130	1184	1628	839	578	1029	808	678	1087	648	1631	1299	780	1745	1743	139	626	550	659	1418	833	1155	1603	709	1097	1331	587	713	1340	1272	1262	1601	1032	1070	1417	810	867	729	849	528	1835	905	877	1621	1352	971	1362	859	938	1177	1053	761	1753	1395	1503	584	1129	1293	598	1596	1146
1956	854	1880	2066	1126	1929	1982	1627	1687	1048	994	944	647	1591	2384	1045	786	1932	1539	1863	1900	855	706	883	1762	2012	3022	1492	1408	1707	2639	2993	2081	1899	2885	2322	1526	2471	1897	1967	2675	2622	2256	1729	1529	2967	988	1545	1101	310	1016	1330	720	908	2731	2998	3857	2087	1517	2615	1887	1795	2574	1272	3988	3066	1640	4315	4261	452	1394	1456	1655	3296	2112	2762	3580	1820	2582	2931	1323	1743	3142	3143	3079	3814	2522	2575	3334	1965	1939	1643	1903	1386	4450	2236	2059	3539	3304	2618	3129	1921	2219	2323	1897	1400	4415	3568	3915	1461	3009	3207	1273	3704	3015
2850	1519	3653	3018	2612	4341	2877	2319	2191	1121	1239	1235	1109	2737	4592	1704	1241	3177	3195	4038	2770	1042	843	1146	2612	2922	4959	2003	2296	2628	3292	3808	2897	2818	4233	3362	2843	3423	3122	2240	3482	4280	4682	2411	2330	4922	1852	2751	1922	606	1405	1800	918	1291	3870	4168	5620	2965	2831	5047	2323	3495	4985	1971	5695	4194	2710	5461	5408	486	1788	2051	2788	4311	3266	4077	4921	4422	4198	4869	3080	2580	3224	5075	3829	5351	3000	3463	4630	2310	2447	3464	2440	1848	7606	2819	2595	6095	4397	3027	4784	3858	2548	3220	2061	1545	5709	4109	4267	2923	4143	5254	2233	5288	4297
1773	927	2274	1966	1901	3309	2304	1508	1585	1133	1076	1038	664	1559	2858	967	769	2004	2113	2709	1695	1419	1035	1481	1553	1808	3538	1093	1360	1490	2910	2621	2762	2303	2622	2634	1907	1917	2121	2363	2554	3797	3234	1415	1383	4287	1623	2521	1407	401	1011	3229	1327	2366	2716	2667	4392	1807	1942	3356	1687	2410	3529	2101	4223	3689	2627	4161	4927	277	1057	1192	1616	3544	2187	2990	3248	3114	2912	4168	2272	2254	2470	3376	2362	4144	1953	2141	3997	1734	2011	2966	1669	1400	6604	2011	1922	4878	2899	1987	4513	3415	2463	4503	2560	2004	4915	2419	3022	2011	2482	3520	1832	3276	3021
2644	1089	3019	2605	2032	4270	5226	2832	3542	2403	2035	2140	892	2093	3877	1418	1043	2674	3556	4299	3288	2449	1981	2674	2523	2383	5544	1954	1781	2456	7122	5870	6846	5232	5392	6015	3576	3324	3661	5839	5713	8803	5618	2372	2633	5128	1437	2441	1964	525	1499	5651	2411	4296	5442	5161	8593	2907	2263	5056	3937	4378	7271	4974	8829	8235	5983	8682	11483	592	1973	1847	2923	7815	3883	6363	6803	4814	5500	8809	4245	4999	6431	8522	6243	9699	4891	5153	9238	4346	4873	5819	4174	3253	14649	4359	4372	11629	7358	5196	11146	8061	6168	9063	5223	4285	13203	6527	8100	3840	4220	6552	3825	6852	6207
4361	1982	5508	4768	4003	7623	7456	4311	5181	2704	2292	2612	1547	3681	7005	2402	1696	4346	6104	7436	5488	2423	1916	2734	4207	4230	8997	3232	3180	4068	10156	8983	9803	7836	8837	8845	6024	5380	5769	8072	8770	12917	9767	3995	4403	9972	3089	5147	2795	871	2207	5721	2566	4309	9022	8405	14067	5017	4043	8519	5658	7482	11417	7286	14628	12578	9314	13855	17568	526	2835	2851	4679	11704	6643	9951	10993	8867	9538	13205	7107	7392	8497	13035	9039	14441	7333	7877	13417	5939	6757	9181	6320	4954	21917	6670	6435	17195	10852	7333	15679	11905	7762	10605	5829	4678	16987	9803	11362	6451	6833	11293	6174	11547	9919
2140	916	2578	2738	2128	4228	3174	1748	1899	1006	862	1035	622	1489	2899	842	805	2237	2569	3089	2337	1050	696	1124	1900	2134	4835	1207	1321	1534	4540	4180	4492	3643	3947	3772	2502	2077	2486	3501	3961	5855	4662	1770	1919	8286	2864	4772	1007	452	994	2860	1201	1918	4602	3945	7169	2338	2208	4041	2491	3120	4911	3858	7196	6593	4774	7169	8925	124	1098	1034	1650	5169	3074	4750	5257	4242	4680	6100	3088	3337	2328	3827	2362	5534	2746	2962	5683	2324	2907	4271	2631	2183	9962	3412	2927	5609	3245	2259	6143	4489	2852	5322	2708	2019	4290	2345	2730	2841	2904	4766	3043	5122	4879
