E19B1a_1	E19B1a_2	E19B1a_3	E19B1b_1	E19B1b_2	E19B1b_3	E19B2a_1	E19B2a_2	E19B2a_3	E19B2b_1	E19B2b_3	E19B2c_1	E19B2c_2	E19B2c_3	E19B2d_1	E19B2d_2	E19B2d_3	E19B3a_1	E19B3a_2	E19B3a_3	E19B3c_1	E19B3c_2	E19B3c_3	E19B4_1	E19B4_2	E19B4_3	E19B5a_1	E19B5a_2	E19B5a_3	E19B5b_1	E19B5b_2	E19B5b_3	E19B6_1	E19B6_2	E19B6_3	E19L10_1	E19L10_2	E19L10_3	E19L1_1	E19L1_2	E19L1_3	E19L2_1	E19L2_2	E19L2_3	E19L3_1	E19L3_2	E19L3_3	E19L6_1	E19L6_2	E19L6_3	E19L7_1	E19L7_2	E19L7_3	E19L8_1	E19L8_2	E19L8_3	E19L9_1	E19L9_2	E19L9_3	E19N1_1	E19N1_2	E19N1_3	E19N2_1	E19N2_2	E19N2_3	E19N3_1	E19N3_2	E19N3_3	E19OL_1	E19OL_2	E19OL_3	E19P10_1	E19P10_2	E19P10_3	E19P11_1	E19P11_2	E19P11_3	E19P12_1	E19P12_2	E19P12_3	E19P1_1	E19P1_2	E19P1_3	E19P2_1	E19P2_2	E19P2_3	E19P3_1	E19P3_2	E19P3_3	E19P4_1	E19P4_2	E19P4_3	E19P5_1	E19P5_2	E19P5_3	E19P6_1	E19P6_2	E19P6_3	E19P7_1	E19P7_2	E19P7_3	E19P8_1	E19P8_2	E19P8_3	E19P9_1	E19P9_2	E19P9_3	E19X1_1	E19X1_2	E19X1_3	E19X2_1	E19X2_2	E19X2_3
233	219	204	231	183	267	133	137	212	47	55	139	153	251	120	186	217	290	203	331	348	410	341	260	193	197	1014	831	919	621	510	653	505	450	485	854	675	890	360	103	503	81	58	253	81	66	125	85	0	0	553	519	613	316	433	430	718	740	866	459	434	513	393	482	471	220	176	190	131	94	149	528	449	521	1182	645	733	451	393	401	538	438	477	582	536	531	628	692	809	490	498	518	583	569	566	438	497	576	645	546	575	258	181	134	960	700	778	656	574	657	491	437	485
548	577	421	479	413	564	268	247	365	128	122	262	349	472	300	407	473	625	434	750	805	969	809	611	532	427	2001	1975	1996	1235	1139	1350	1014	998	1021	2043	1778	2025	943	241	1293	251	194	683	159	123	210	215	64	101	1230	1314	1421	806	1224	1139	1730	1595	1792	1432	1380	1583	1255	1379	1458	586	665	723	243	207	278	1142	970	1133	2478	1573	1554	1026	875	939	1127	928	1027	1389	1169	1219	1493	1412	1260	1143	974	1179	1449	1345	1418	1042	950	1033	1383	997	1129	498	389	302	1860	1496	1542	1425	1287	1455	1200	1161	1295
1065	1197	868	948	887	1177	588	596	722	233	447	560	835	1022	649	843	979	1272	891	1428	1624	1913	1537	1352	1290	937	3639	3634	3522	2450	2282	2538	2026	1810	1828	3701	3266	3226	2094	624	2711	598	450	1438	315	269	416	394	222	268	2313	2420	2560	1378	2488	2053	3490	3043	3085	2337	2427	2580	2003	2542	2468	1104	1153	1180	537	500	594	2218	1928	2192	3744	3265	2976	1935	1616	1768	2025	1921	1978	2427	2114	2266	2754	2609	1581	2085	1924	2071	2743	2459	2811	1844	1690	2174	2375	1947	2148	943	786	687	3200	2951	2893	2844	2851	2852	2326	2233	2430
1960	1893	1760	1776	1661	2389	1131	1127	1663	490	652	1053	1101	1504	977	1198	1624	2299	1703	3451	3006	3206	3105	2288	1929	1976	7931	7347	8557	5178	4632	6401	3831	3482	4566	8392	6911	8108	2990	985	4468	713	555	2732	538	514	919	607	492	593	4746	4808	6066	2466	4371	4037	6258	5620	6803	5428	4880	6867	4642	5290	6489	2525	2043	2782	1012	905	1266	4392	3753	4678	9544	6092	7132	3892	3543	4010	4208	3846	3722	4913	4494	4406	6323	6027	7082	4622	4183	4527	5420	5794	5858	3875	3748	4312	5363	4995	4740	2090	1665	1250	7225	6411	7303	5068	4966	6010	4603	4421	5416
5165	4971	4236	4960	4259	6356	3192	2994	4503	1259	1360	2699	2553	4032	2721	2929	4150	6562	4566	9422	8243	8954	8753	6416	5091	5264	22904	21528	25376	14823	13352	18102	10915	9296	11993	23596	19919	23296	8032	2436	12899	2040	1597	7630	1369	1376	2451	1690	1136	1490	12890	12869	16533	6357	10663	10219	17740	16132	19221	14210	13328	17194	12361	14436	16435	6874	5608	7346	2602	2457	3452	12506	10923	13086	26330	16510	19236	10957	9715	11123	11798	11112	10235	13350	12143	12328	17595	17198	19952	12352	11599	12836	15252	15906	15814	11618	11010	12547	15702	14847	14017	6020	4903	3654	20930	18493	20583	14436	13584	16646	12665	12320	14937
5452	5102	4142	5257	4183	6697	3778	3309	5362	1329	1314	3168	3061	4830	2910	3116	4103	7402	5176	10436	9006	9785	9977	7105	5648	5997	26850	24192	28114	17579	15877	21238	12260	10861	13549	25565	21805	25576	10229	3094	16521	1822	1526	6891	1751	1721	3317	1652	1141	1451	12875	12885	16398	6012	8983	9525	20911	18509	22527	10602	9718	13292	9090	10778	13220	5172	4121	5859	2936	2704	4051	14140	11788	14359	27517	17854	21585	11287	10163	12085	13044	11850	11233	14387	12818	13618	19232	19171	26300	13985	12911	13477	14549	15469	15528	13655	13479	14750	19360	18043	18020	7264	5718	4468	24808	20751	23820	15689	14843	18044	13350	12153	15276
2636	2351	1799	2388	1784	2789	1440	1083	1983	580	462	1128	1156	1810	1024	1100	1568	2914	1926	4200	5062	5507	5432	2649	1986	2365	11851	11012	13122	7711	6834	9549	4998	4182	5581	13929	11847	14924	4239	1140	6864	577	636	2450	797	749	1573	816	611	758	6190	6237	8120	3259	5364	5415	8440	7804	9557	8234	7907	10374	7255	8448	10446	4227	3399	4780	1146	1013	1483	6667	5067	6222	15200	8463	10689	5294	4598	5345	5651	5204	4435	6037	5589	5881	8837	8490	15812	6224	5903	6231	8055	8313	8432	6024	5773	5464	8376	7291	7145	3158	2501	1729	10045	8726	9845	6494	6569	8010	6672	6099	7942
448	475	365	404	305	456	158	137	255	71	88	92	156	269	90	135	218	390	253	535	1085	1268	1304	326	323	344	1784	1445	1932	869	921	1262	623	513	761	2715	2399	3325	681	65	741	163	100	362	168	92	248	70	122	192	1222	1253	1735	746	1283	1449	966	880	948	2405	2448	3498	2229	2723	3599	1225	1027	1563	152	108	208	929	796	926	2381	1145	1427	784	727	827	952	634	527	1025	767	794	1244	1184	2748	1163	750	864	1971	1596	1617	714	541	504	951	727	713	461	319	250	1330	937	1174	781	853	978	1221	1156	1548
