E19B1a_1	E19B1a_2	E19B1a_3	E19B1b_1	E19B1b_2	E19B1b_3	E19B2a_1	E19B2a_2	E19B2a_3	E19B2b_1	E19B2b_2	E19B2b_3	E19B2c_1	E19B2c_2	E19B2c_3	E19B2d_1	E19B2d_2	E19B2d_3	E19B3a_1	E19B3a_2	E19B3a_3	E19B3b_1	E19B3b_2	E19B3b_3	E19B3c_1	E19B3c_2	E19B3c_3	E19B4_1	E19B4_2	E19B4_3	E19B5a_1	E19B5a_2	E19B5a_3	E19B5b_1	E19B5b_2	E19B5b_3	E19B6_1	E19B6_2	E19B6_3	E19L10_1	E19L10_2	E19L10_3	E19L1_1	E19L1_2	E19L1_3	E19L2_1	E19L2_2	E19L2_3	E19L3_1	E19L3_3	E19L6_1	E19L6_2	E19L6_3	E19L7_1	E19L7_2	E19L7_3	E19L8_1	E19L8_2	E19L8_3	E19L9_1	E19L9_2	E19L9_3	E19N1_1	E19N1_2	E19N1_3	E19N2_1	E19N2_2	E19N2_3	E19N3_3	E19OL_1	E19OL_2	E19OL_3	E19P10_1	E19P10_2	E19P10_3	E19P11_1	E19P11_2	E19P11_3	E19P12_1	E19P12_2	E19P12_3	E19P1_1	E19P1_2	E19P1_3	E19P2_1	E19P2_2	E19P2_3	E19P3_1	E19P3_2	E19P3_3	E19P4_1	E19P4_2	E19P4_3	E19P5_1	E19P5_2	E19P5_3	E19P6_1	E19P6_2	E19P6_3	E19P7_1	E19P7_2	E19P7_3	E19P8_1	E19P8_2	E19P8_3	E19P9_1	E19P9_2	E19P9_3	E19X1_1	E19X1_2	E19X1_3	E19X2_1	E19X2_2	E19X2_3
81	0	0	58	0	148	741	623	285	1610	1137	1416	0	40	116	59	44	85	249	149	111	2295	1169	2974	86	61	144	0	54	85	451	341	358	351	254	284	235	77	55	214	203	281	193	133	111	173	34	86	912	355	6226	2491	4768	237	225	336	38	0	75	91	194	324	152	208	183	176	192	255	1808	263	191	539	358	136	382	144	64	124	319	154	157	139	198	160	273	106	174	372	156	193	133	146	143	425	106	127	272	211	173	414	417	328	1069	425	630	382	165	181	118	101	153	138	162	141
283	94	307	202	176	576	1339	1251	1025	3951	2228	4225	74	135	505	241	108	226	844	645	514	5950	3299	7125	467	279	636	223	168	210	1650	1112	1499	1350	1024	1058	870	441	453	910	945	1294	832	352	432	601	162	344	1893	1225	15968	7212	13885	1001	822	1313	161	117	406	858	730	1536	771	917	866	763	698	1160	4510	755	599	1461	1529	680	1409	524	286	403	1504	710	743	766	934	786	1344	594	835	1723	719	891	887	693	604	1599	571	632	1650	785	607	2172	1809	1329	2683	1485	1405	1831	699	929	483	358	766	555	713	556
982	430	1413	861	896	2171	3869	1821	2419	4732	2940	4948	288	519	1680	528	387	779	2276	2227	1709	6760	4674	7426	1473	1014	1905	1083	687	1037	6121	3735	4977	4667	3935	3947	2980	1764	2029	3379	3376	4523	3095	819	1509	1977	465	1055	1135	1902	21873	10330	18977	3724	2802	4619	645	443	1474	3685	2696	5544	2283	2525	2539	2946	2224	3611	9230	1195	985	2600	5268	2420	4554	1611	825	1345	4152	2571	2723	2578	3154	2314	4254	1814	2566	5234	2059	2814	2856	2204	2003	5005	1630	1689	5326	2905	2359	7315	5566	4306	6941	3473	3744	6070	2259	2909	1657	1184	2466	1924	2143	1871
2827	966	3425	2713	2446	5416	6715	3428	4713	4573	3329	5755	992	1217	3855	932	913	2075	5247	4911	4419	6169	5192	8079	3565	2480	5076	2765	1723	2360	14505	9257	12424	11332	9664	10148	8207	4109	5192	9757	8606	12313	8281	2661	4296	5246	1612	3229	2029	1405	18975	10254	17024	9633	6814	11642	2184	1447	3713	8390	6768	11516	7785	7551	7329	8921	6874	10694	14913	3022	1668	4602	14095	6871	13245	5119	2947	4061	12326	7799	8814	7226	9748	7296	12119	5835	7584	14771	6732	8822	8422	7312	6465	14407	5295	5401	14928	9716	7757	21707	17828	13889	17274	9218	9055	16094	7404	8959	5209	3065	6894	5621	5736	5319
4243	1341	4946	4194	3585	7495	8200	4568	6490	4078	3128	3315	1539	1795	5694	1425	1264	2853	7206	6874	6686	4065	3171	6020	5206	3642	7927	3870	2451	3312	21826	13776	18005	16960	14212	15265	12688	5758	7404	15676	13425	19263	12232	4145	6707	8025	2590	5178	3058	1679	13271	7085	13666	14541	9536	16544	3631	2257	5000	11224	9313	15730	13459	12768	12029	14799	11311	18366	17247	3612	2241	6259	21428	10850	21251	8301	5029	6639	20876	12372	14589	11956	16145	12413	20189	10112	12271	24643	11887	15391	13661	12116	10839	23068	9026	9278	24934	16681	12807	26563	26530	23304	25712	15166	13609	26124	12096	15613	8867	4810	10501	8935	8863	8373
4130	1266	4714	4371	3671	7180	7167	4011	6450	2910	1953	2075	1661	2032	5411	1442	1100	2768	6921	6404	6510	2655	2013	3642	5055	3659	7829	3699	2448	3031	19912	12577	16923	15508	12808	14372	11754	5544	6872	15072	12804	19021	11449	4347	6665	8269	2779	5208	3032	1891	4733	2756	4773	14451	8973	15408	3792	2225	4767	9890	8292	13655	14586	12637	11939	15075	12221	18792	15177	3715	2417	6354	21089	10902	20327	8916	5519	7072	22693	13140	15516	12143	16486	13261	20434	10924	12837	25576	12691	16350	14047	13037	11266	25077	9808	9814	25310	17880	13382	26480	26070	24406	26076	15213	14004	25816	13171	16168	8995	5036	10808	9172	8977	8652
2664	712	2850	2555	2316	4107	3940	2050	3603	1732	1264	1211	1194	954	3103	1208	570	1554	3832	3580	4054	1476	1166	2280	2821	2290	5063	2044	1437	1745	11068	7249	8943	8360	7403	7824	7329	3026	3847	9290	7516	11219	6827	2753	3920	5998	1886	3441	2091	1233	3402	1732	3340	7819	4987	8621	2444	1546	3111	4927	4307	6927	9641	8227	7932	9846	7869	12241	9523	2648	1701	4331	12238	6907	12255	6588	4137	5421	14939	8321	10166	7870	11270	8205	14757	7180	7863	16563	8318	10761	9417	8608	7679	16796	6566	6318	16562	12065	8725	26274	22592	16004	18019	10241	8598	16882	9135	10470	5940	3519	7093	6707	6174	5877
603	198	722	519	462	819	1082	544	862	498	447	345	275	227	703	136	80	418	948	713	711	648	513	760	645	525	982	370	359	442	2373	1473	1782	1622	1659	1763	1647	746	882	2281	1654	2262	1767	480	806	1423	526	806	491	212	1965	1141	1964	1775	943	1688	562	250	406	966	804	1455	2064	1732	1575	2124	2104	2961	3037	597	310	1206	2775	1409	2485	1549	953	1216	4084	1700	2100	1808	2721	1859	3082	1450	1672	3869	1660	2234	1900	1848	1925	4277	1581	1576	4211	2880	1771	5948	4678	3189	3904	2058	1715	4069	1822	2288	1450	789	1752	1778	1626	1561
