C83L1_1	C83L1_2	C83L1_3	C83L2_1	C83L2_2	C83L2_3	C83L3_1	C83L3_2	C83L3_3	C83L4_1	C83L4_2	C83L4_3	C83L5_1	C83L5_2	C83L5_3	C83L6_1	C83L6_2	C83L6_3	C83L7_1	C83L7_2	C83L7_3	C83L8_1	C83L8_2	C83L8_3	C83L9_1	C83L9_2	C83L9_3	C83N1_1	C83N1_2	C83N1_3	C83N2_1	C83N2_2	C83N2_3	C83N3_1	C83N3_2	C83N3_3	C83P1a_1	C83P1a_2	C83P1a_3	C83P1b_1	C83P1b_2	C83P1b_3	C83P1c_1	C83P1c_2	C83P1c_3	C83P1d_1	C83P1d_2	C83P1d_3	C83P1e_1	C83P1e_2	C83P1e_3	C83P1f_1	C83P1f_2	C83P1f_3
504	613	722	660	552	442	1539	1417	627	1064	654	384	1088	487	690	225	1291	411	5928	4304	2268	2230	1362	1122	325	374	574	1246	1025	863	863	883	548	1038	932	694	897	965	1132	854	779	847	1090	742	748	1151	943	488	963	1238	992	1335	0	1382
7457	8533	7210	7501	8757	5240	8661	11319	6027	7815	8387	4995	8368	9281	7484	5241	14255	8374	19544	20385	12228	12900	8422	6710	4010	4680	4951	15216	16775	12920	12944	14109	9853	12661	13479	8946	12441	15759	10864	10232	13682	10807	11558	13219	9245	13372	14109	8506	12159	19376	14283	16524	1370	18616
18674	19594	17017	17434	21137	13036	19252	22275	13415	15896	17617	11610	19387	23233	17032	14020	31007	19953	31326	31159	20116	21144	16719	12790	9924	11846	9836	30531	29949	30813	30508	30373	24783	30759	30504	21955	30588	30361	26434	24107	30567	23828	28905	30506	23383	30237	30349	20996	28286	29836	30565	30082	28820	29951
2245	2289	1894	2503	2427	1383	2890	2835	1548	1797	2526	1449	2437	3256	1936	2603	3979	2348	4418	4780	2678	5054	1801	2322	1620	1346	1800	4304	4731	3396	4064	3979	2893	3656	4449	2556	3639	4716	3161	3331	4620	2804	3236	4102	2634	3715	4116	2641	3590	5464	3826	5289	6864	5285
1537	1328	833	1168	1346	811	1141	1379	811	798	1051	760	1080	1802	889	0	1917	1222	1178	1233	1108	1044	824	1033	542	516	467	2545	2797	1884	2451	2532	1612	2023	2311	1234	2475	2684	1870	2478	2283	1286	1928	2469	1414	2316	2806	1542	2153	2921	2127	3314	4075	2935
2111	2050	1146	1565	1902	1149	1471	1593	1251	1058	1349	871	1410	2250	1250	798	2554	1934	1185	1337	1248	856	1001	1000	610	669	402	3861	4084	2791	3389	3548	2324	3293	3117	1779	3583	3670	2629	3508	3050	1736	2885	3713	1955	3119	3561	1919	3107	3999	2866	4539	5804	4000
2190	2390	1223	1619	2083	1263	1360	1599	1229	1294	1282	731	1617	2228	1484	933	3067	2220	1374	1480	1398	942	1025	1100	631	707	438	4421	4009	3092	3422	4067	2414	3624	3017	1759	3702	3591	2882	3695	2900	1831	3112	4113	2255	3283	3805	1838	3289	4078	2812	4776	5642	3992
486	467	244	406	299	258	358	359	229	282	275	151	372	445	327	84	583	517	286	283	300	225	194	217	161	193	94	901	842	656	669	754	568	775	612	445	881	783	668	808	556	388	650	784	456	721	763	415	648	849	575	1060	0	800
