C83L1_1	C83L1_2	C83L1_3	C83L2_1	C83L2_2	C83L2_3	C83L3_1	C83L3_2	C83L3_3	C83L4_1	C83L4_2	C83L4_3	C83L5_1	C83L5_2	C83L5_3	C83L6_1	C83L6_2	C83L6_3	C83L7_1	C83L7_2	C83L7_3	C83L8_1	C83L8_2	C83L8_3	C83L9_1	C83L9_2	C83L9_3	C83N1_1	C83N1_2	C83N1_3	C83N2_1	C83N2_2	C83N2_3	C83N3_1	C83N3_2	C83N3_3	C83P1a_1	C83P1a_2	C83P1a_3	C83P1b_1	C83P1b_2	C83P1b_3	C83P1c_1	C83P1c_2	C83P1c_3	C83P1d_1	C83P1d_2	C83P1d_3	C83P1e_1	C83P1e_2	C83P1e_3	C83P1f_1	C83P1f_2	C83P1f_3
1459	846	2949	1213	1024	1709	418	457	747	307	501	819	586	401	1057	348	872	2220	1299	722	2169	1072	754	1096	623	564	1540	1558	1412	3057	1287	1258	2410	744	788	1719	766	745	2528	945	690	1924	1281	1242	2912	1722	1052	2682	1477	1914	3542	1181	1037	2462
2496	1758	6443	2758	2336	4593	895	902	1887	723	1102	1812	1107	892	2145	595	1899	4806	2613	1740	4843	1919	1548	2556	1259	1057	3504	1996	1624	3983	1617	1588	2938	927	909	2318	1093	1429	4709	1725	1534	4472	2075	2471	5987	3275	2517	6347	2311	3053	6618	2187	2286	4959
7215	4306	15749	6710	5486	10980	2142	2103	4432	1794	2438	4214	2913	2195	5387	1438	4272	10952	6724	4047	11162	4946	3683	5967	2966	2404	7939	5304	4762	11464	4440	4144	8913	2469	2507	6306	3473	3739	12387	4324	3639	10644	6581	6741	16352	9718	6856	16723	6748	8424	19612	5943	5660	13646
10877	6446	22545	9340	7387	14407	3104	3030	6541	2490	3467	5667	4173	3255	7825	1855	5635	13862	9376	5260	14833	7203	5131	8328	3876	3142	10496	11098	10013	22930	9359	8704	18683	5223	5279	12316	5555	5755	19603	5915	5018	14492	10462	10871	25264	13763	9563	23518	11608	14079	23469	8524	8276	19179
10004	6027	20613	7648	6035	12644	2734	2773	6209	2428	3181	5153	3743	3021	7260	1453	4542	11740	8010	4483	12866	6936	4574	7118	3294	2578	8877	14882	12942	23140	12435	11338	24390	6714	6660	16120	5653	5831	20008	5297	4454	12785	10586	10873	25146	12326	8521	20232	11861	15253	23321	8006	7561	17603
4743	2715	9781	3536	2578	5536	1642	1584	3505	1179	1660	2542	2063	1552	3805	377	1823	5136	3702	1899	5483	3083	1899	3200	1489	1227	4139	12360	11098	23259	10835	9854	20809	5819	5834	13266	2914	3004	11178	2537	2006	5621	5154	5373	13144	5549	3741	8851	7057	8291	18915	3713	3293	7978
1329	790	2394	1047	626	1412	586	534	1039	346	506	761	776	472	987	50	498	1347	1019	480	1406	974	462	950	412	437	1286	5090	4358	10093	4424	3980	8173	2406	2360	5269	937	861	3133	740	535	1466	1612	1377	3477	1647	1009	2235	2468	2628	5600	1009	775	2036
314	159	440	226	154	368	140	114	261	119	109	233	187	129	239	0	125	305	318	137	401	243	110	185	98	87	297	1460	924	2486	1085	962	2055	622	545	1440	222	246	856	198	112	357	454	426	1032	533	236	633	568	800	1716	266	188	566
