C83L1_1	C83L1_2	C83L1_3	C83L2_1	C83L2_3	C83L3_1	C83L3_2	C83L3_3	C83L4_1	C83L4_2	C83L4_3	C83L5_1	C83L6_1	C83L6_2	C83L6_3	C83L7_1	C83L7_2	C83L7_3	C83L8_1	C83L8_2	C83L8_3	C83L9_1	C83L9_2	C83L9_3	C83N1_1	C83N1_2	C83N1_3	C83N2_1	C83N2_2	C83N2_3	C83N3_1	C83N3_2	C83N3_3	C83P1a_1	C83P1a_2	C83P1a_3	C83P1b_2	C83P1c_1	C83P1c_2	C83P1c_3	C83P1d_1	C83P1d_2	C83P1d_3	C83P1e_1	C83P1e_2	C83P1e_3	C83P1f_1	C83P1f_2	C83P1f_3
692	467	507	1003	858	581	332	571	581	645	1161	818	477	351	618	880	757	1023	248	303	688	420	559	63	281	204	245	218	218	267	296	245	279	501	646	523	589	744	609	676	1635	687	1529	700	1103	679	960	1033	937
1792	1300	1513	2536	2461	1314	954	1270	1462	1677	2723	2112	1214	1086	1621	2025	1756	2394	818	969	1782	1421	1417	310	933	794	1007	784	828	811	807	806	970	1362	1492	1408	1815	2052	1910	1921	4311	1961	4007	2047	3092	2309	3045	2685	2687
3263	2621	3067	4057	3997	1849	1628	1964	1939	2279	3768	3047	1835	1751	2386	2945	2743	3578	1459	1715	3448	2876	2130	699	2237	2199	2311	1681	1884	1718	1683	1655	1830	2415	2823	2344	2954	3466	3512	3384	6335	3032	6725	4452	5612	4929	5277	4730	5053
2758	2762	3272	3008	3119	1165	1483	1756	1008	1330	2729	1763	1437	1553	1583	2093	1827	2866	1058	1422	3396	2701	1497	678	3393	3718	3854	2472	3055	2366	2739	2428	2517	1886	2580	1725	2124	2907	3526	3114	4410	2215	5177	5247	6123	5714	4779	4455	4692
2506	2332	2702	2507	1578	1634	1073	1441	721	1209	1976	1639	1688	2322	1321	1640	1646	1786	869	1180	1985	1890	1055	346	5387	5963	6022	4088	4835	3695	2985	3665	3828	2254	2628	1876	1565	2798	4005	3292	2622	1102	3450	5838	6151	5674	4188	4380	3633
3056	2318	2951	2478	2462	1437	1695	1850	1173	2160	2313	1890	942	651	1812	1612	1452	1769	1199	1340	1806	2216	1642	371	7901	8683	8622	5737	6883	5508	4244	5017	5101	2394	2316	1936	967	3222	5007	3462	4404	1621	5141	7848	7129	7312	2576	2708	3232
13849	11371	13323	14188	13849	5199	6080	4926	5909	8537	5574	6676	4435	2312	6846	5600	6367	7490	4840	7783	8076	8829	9061	1855	16083	17817	17260	10331	13593	10600	7712	9196	9005	6125	6533	6093	2879	13316	18412	13204	22423	9218	26407	27348	22651	24411	10243	13004	13478
582	344	346	497	638	204	254	320	308	547	294	504	219	88	365	342	291	305	283	306	279	328	485	168	1880	2047	2118	1633	1834	1365	1308	1175	1519	623	437	315	186	780	881	718	1602	303	1458	1709	1578	962	575	556	578
