E13B4_1	E13B4_2	E13B4_3	E13B5_1	E13B5_2	E13B5_3	E13H1a_1	E13H1a_2	E13H1a_3	E13H1b_1	E13H1b_2	E13H1b_3	E13H1c_1	E13H1c_2	E13H1c_3	E13H1d_1	E13H1d_2	E13H1d_3	E13H1e_1	E13H1e_2	E13H1e_3	E13L1_1	E13L1_2	E13L1_3	E13N1_1	E13N1_2	E13N1_3	E13N2_1	E13N2_2	E13N2_3	E13OLa_1	E13OLa_2	E13OLa_3	E13OLb_1	E13OLb_2	E13OLb_3	E13OLc_1	E13OLc_2	E13OLc_3	E13OLd_1	E13OLd_2	E13OLd_3	E13OLe_1	E13OLe_2	E13OLe_3	E13ORa_1	E13ORa_2	E13ORa_3	E13ORb_1	E13ORb_2	E13ORb_3	E13ORc_1	E13ORc_2	E13ORc_3	E13ORd_1	E13ORd_2	E13ORd_3	E13P1_1	E13P1_2	E13P1_3	E13P2_1	E13P2_2	E13P2_3	E13P3_1	E13P3_2	E13P3_3	E13P4_1	E13P4_2	E13P4_3	E13P5_1	E13P5_2	E13P5_3	E13P6_1	E13P6_2	E13P6_3	E13P7_1	E13P7_2	E13P7_3	E13P8_1	E13P8_2	E13P8_3	E13P9_1	E13P9_2	E13P9_3	E13X1_1	E13X1_2	E13X1_3	E13X2_1	E13X2_2	E13X2_3	E13X3_1	E13X3_2
1032	562	412	159	114	154	1193	903	1076	799	303	177	1347	953	867	927	983	3746	908	790	3656	844	623	517	2835	1781	1208	1556	1296	877	0	146	0	1138	718	741	921	578	727	1330	1182	1500	1116	857	596	1069	703	510	1173	841	528	1299	470	568	765	624	648	959	862	966	741	883	951	1281	1174	838	1229	793	597	954	548	519	1144	821	673	1219	752	473	951	1002	640	606	423	678	709	449	791	458	227	364	375	167
6638	4567	3092	836	693	1107	9506	7767	7766	4450	2003	1233	10114	6267	6108	6994	6160	22304	6856	6778	22838	7387	5170	3935	13642	9250	7211	7757	6842	4350	1359	1498	677	7085	6258	4955	6379	4949	5195	9807	9478	9863	7336	6937	4262	8224	5428	4174	8929	6545	4109	8007	4207	4189	6025	5760	4428	5979	5855	6591	5426	6898	6460	8697	8509	6730	7214	6802	5581	6222	4843	4587	6736	6032	4696	6969	4854	3725	3694	3866	2826	3991	3380	4833	4660	3416	4109	3620	1802	2573	2217	1240
16862	11592	8079	1548	1814	2840	24500	20162	21691	10648	4658	3084	25726	16136	16111	17320	16104	25973	17284	16846	26794	19020	14551	11728	29770	21390	16759	16723	15388	10629	4096	4609	2234	17985	15706	13437	15754	12217	13448	23595	22431	24451	20471	17932	11857	20305	13908	11229	22108	16560	11237	20708	10850	11618	15871	14853	12616	14554	14398	15673	13207	16974	15180	21787	21724	17638	18004	17081	14178	14766	11645	11012	16024	14038	11677	16094	10473	8461	8144	8473	6639	9999	7902	11734	12435	8261	10093	8710	4834	6285	5064	2598
3925	2527	1781	374	381	731	5247	4396	4837	2674	1065	732	6345	3647	3797	4047	3743	13479	4177	4049	13875	5187	3823	3077	6583	4761	3714	3725	3451	2334	784	1039	620	4319	3896	3486	3325	2628	2953	5125	5132	5694	4895	4393	2845	5536	3527	3051	5771	4004	2727	4925	2591	2739	3809	3671	2887	3355	3310	3878	2866	3942	3382	4740	4817	4006	4137	3909	3291	3678	2709	2591	3742	3295	2645	3967	2722	2001	2041	2208	1674	2406	1845	2861	2737	1881	2387	1971	1149	1328	1285	636
3591	2421	1545	275	297	481	3817	3038	3392	2417	963	694	6098	3610	3409	3516	3499	13457	3740	3661	13238	5450	4122	2953	1851	1325	968	985	888	612	479	563	294	4472	3586	3036	1841	1468	1787	2939	2922	3247	4413	4289	2774	5844	3517	3281	5747	3665	2546	4807	2455	2498	3732	3200	2582	2511	2341	2400	1931	2551	2119	3225	3249	2837	3227	2677	2121	2518	1797	1902	2178	2061	1473	3467	2556	1548	1881	2089	1432	2455	1755	2505	2057	1266	1982	1061	619	730	561	312
7548	4996	3279	486	447	815	7459	6507	6725	5047	2098	1328	13234	7630	7123	7942	7686	26121	8047	7313	25935	9848	7877	5669	2400	1691	1230	1328	1195	896	974	1233	541	8918	7468	6850	3812	3070	3293	5996	5613	6081	9840	9020	6216	10860	6848	6459	11591	7886	5301	10357	5334	5303	7592	7025	5360	4790	4578	4723	3861	5100	4214	6894	7262	5558	6360	5263	4658	4420	3654	3962	3964	4317	2961	7357	5193	3143	3731	3855	2999	4659	3697	5035	4089	2598	3281	1765	928	1320	651	443
10009	6806	4533	582	713	1103	11029	8972	9657	6748	2825	1857	17565	10854	9819	10635	10422	26781	11019	9473	27093	10533	8147	6129	3463	2476	1893	1825	1666	1241	1496	1840	914	12082	10169	9439	5115	4275	4524	8249	7835	8815	13518	12638	8477	13733	8543	7696	15434	10313	7333	14263	7227	7333	10598	9445	7446	6352	5541	6276	5463	6890	5694	9255	9507	7683	8488	7191	6254	5701	4853	4988	5328	5521	3947	9415	6736	4101	5146	5025	3922	6653	5016	6806	5226	3569	4264	2340	1292	1609	817	501
7015	4656	3211	309	468	768	8102	6621	7016	4536	1912	1268	12962	7368	7131	7682	7260	24336	7720	6526	22178	4526	3361	2634	2730	1878	1519	1501	1294	1063	1130	1440	784	8326	6962	6693	3810	2958	3313	6021	5330	6218	10089	8647	6083	8460	5342	4791	10580	7124	5124	9764	5255	5058	7562	6798	5241	4174	3565	4142	3897	4871	3755	6460	6420	5336	5898	4730	4419	3707	3240	3399	3745	3870	2665	6477	4520	2765	3773	3205	2663	4733	3398	4829	3625	2369	3018	1651	969	1058	664	324
