E13B4_1	E13B4_2	E13B4_3	E13B5_1	E13B5_2	E13B5_3	E13H1a_3	E13H1b_1	E13H1b_2	E13H1b_3	E13H1c_3	E13H1d_2	E13H1e_2	E13L1_1	E13L1_2	E13L1_3	E13N1_2	E13N1_3	E13N2_2	E13N2_3	E13OLa_1	E13OLa_2	E13OLb_1	E13OLb_2	E13OLb_3	E13OLc_3	E13OLd_3	E13OLe_3	E13ORa_1	E13ORa_2	E13ORa_3	E13ORb_1	E13ORb_2	E13ORb_3	E13ORc_1	E13ORc_3	E13ORd_3	E13P1_1	E13P1_2	E13P1_3	E13P2_1	E13P2_2	E13P2_3	E13P3_3	E13P4_1	E13P4_3	E13P5_1	E13P5_2	E13P5_3	E13P6_1	E13P6_2	E13P6_3	E13P7_1	E13P7_2	E13P7_3	E13P8_1	E13P8_2	E13P8_3	E13P9_1	E13P9_2	E13P9_3	E13X1_1	E13X1_2	E13X1_3	E13X2_1	E13X2_2	E13X2_3	E13X3_1	E13X3_2	E13X3_3
363	180	206	440	370	608	505	552	412	629	424	451	375	209	237	265	484	601	435	576	78	83	581	432	458	453	599	356	583	366	414	593	423	508	403	298	410	460	326	458	485	414	437	373	417	301	507	338	323	611	345	397	522	368	340	272	304	281	535	358	475	473	337	349	448	271	296	431	404	260
630	427	407	1027	770	1127	1025	1161	884	1319	909	978	833	567	503	551	850	1143	883	1112	179	106	1263	1045	1100	1089	1300	871	1367	835	865	1178	784	1206	969	732	978	998	642	859	1010	813	939	733	853	716	923	752	778	1148	841	924	1041	730	712	564	544	552	1046	788	1032	923	715	753	733	568	634	724	659	394
1186	850	872	2299	1700	2387	2287	2579	1913	2805	2211	2161	2019	1376	1091	1373	2000	2480	1984	2449	468	277	3058	2296	2497	2429	2989	2036	2789	1966	2128	2852	1770	2747	2118	1746	2255	2054	1416	2127	2525	1748	2147	1857	1972	1617	2207	1597	1764	2266	1537	1735	2027	1561	1456	1069	1136	1148	2427	1786	2350	2127	1517	1809	1648	1236	1418	1716	1506	878
1561	1248	1158	3106	2538	3884	3278	3558	2670	3906	2644	2873	2643	1747	1497	1938	3470	4335	3545	4451	551	479	3725	2673	2949	3685	4183	2402	3437	2258	2810	3753	2558	3698	2426	2008	2738	2802	2118	3198	3415	2818	3188	2085	2769	2096	3180	2273	2473	2577	1801	2127	2561	2045	1869	1406	1515	1615	3243	2203	3129	2954	2374	3175	2897	2190	2481	2779	2709	1580
1814	1568	1097	2518	1938	2926	2845	3022	2320	2940	2810	3225	2712	1589	1331	1477	2944	3633	3023	3627	481	365	3396	2530	2361	3044	3451	2563	3264	2166	2011	3281	2486	2814	2466	1689	2449	2337	1968	2487	2671	2337	2490	1836	2397	1670	2447	1904	1869	2637	2200	1879	2081	1733	1567	1184	1519	1427	2725	2040	2517	2613	1988	2587	2570	1940	2037	2407	2261	1570
4112	3486	2494	4453	3377	3723	6433	5859	4621	5348	7017	7744	6460	3691	3114	2849	5400	5171	4826	4321	1072	743	8007	6009	5030	6004	7188	6522	7367	5172	3850	7133	5687	5525	6142	3867	5349	4962	4356	4862	5165	4692	4429	4444	5067	3420	4294	3789	2856	5073	4533	3526	3458	3495	2380	1992	2839	2186	5767	4771	5051	4923	3377	2981	4695	3248	2495	2982	2664	1239
6252	5096	3821	7574	5968	7035	9858	9035	7188	8616	9314	10936	9215	5724	4784	4672	10810	10511	9915	9246	1754	1280	11041	8699	7539	10735	12227	8655	10248	7562	6223	10807	8862	9241	8133	5222	7870	7996	7069	8110	8842	7837	7654	6162	7853	5479	6840	6329	5060	6598	5549	4714	5319	5032	3618	3174	4044	3300	8587	7022	7814	8852	6036	5655	8968	6529	5111	5943	5264	2612
4864	3921	2850	5640	4871	5893	6288	6179	4856	6017	4868	6713	5372	3632	3136	3247	9328	9780	9224	9244	1216	1004	6113	4767	4353	7942	9187	4737	5665	4224	3776	7551	5588	6593	4480	2856	4496	5510	4822	5998	6574	5762	5645	3163	5116	3749	4867	4459	3829	3792	3287	2952	3515	3189	2280	2196	2646	2221	5183	4371	4910	7036	5315	5244	7749	5776	4845	5830	4914	2871
1406	1048	698	523	481	649	539	596	425	571	495	687	490	297	282	330	1122	1022	1182	1021	137	168	657	426	424	818	1090	507	704	293	340	673	456	592	467	251	412	622	428	588	630	513	527	285	469	323	529	345	406	466	343	317	416	271	229	270	241	252	531	386	501	739	480	622	995	685	506	641	415	281
