E13B4_1	E13B4_2	E13B4_3	E13B5_1	E13B5_2	E13B5_3	E13H1a_1	E13H1a_2	E13H1a_3	E13H1b_1	E13H1b_2	E13H1b_3	E13H1c_1	E13H1c_2	E13H1c_3	E13H1d_1	E13H1d_2	E13H1d_3	E13H1e_1	E13H1e_2	E13H1e_3	E13L1_1	E13L1_2	E13L1_3	E13N1_1	E13N1_2	E13N1_3	E13N2_1	E13N2_2	E13N2_3	E13OLa_1	E13OLa_2	E13OLa_3	E13OLb_1	E13OLb_2	E13OLb_3	E13OLc_1	E13OLc_2	E13OLc_3	E13OLd_1	E13OLd_2	E13OLd_3	E13OLe_1	E13OLe_2	E13OLe_3	E13ORa_1	E13ORa_2	E13ORa_3	E13ORb_1	E13ORb_2	E13ORb_3	E13ORc_1	E13ORc_2	E13ORc_3	E13ORd_1	E13ORd_2	E13ORd_3	E13P1_1	E13P1_2	E13P1_3	E13P2_1	E13P2_2	E13P2_3	E13P3_1	E13P3_2	E13P3_3	E13P5_1	E13P5_2	E13P5_3	E13P6_1	E13P6_2	E13P6_3	E13P7_1	E13P7_2	E13P7_3	E13P8_1	E13P8_2	E13P8_3	E13P9_1	E13P9_2	E13P9_3	E13X1_1	E13X1_2	E13X1_3
1737	1111	948	655	721	630	1762	1389	1420	1054	755	755	1516	1062	1294	852	921	1228	1028	1060	1140	1760	1641	1119	544	484	474	439	321	429	603	353	123	1135	1169	844	886	779	701	1079	854	827	1381	1198	934	779	872	556	1123	866	961	1260	1218	992	1009	922	743	1146	889	910	1139	917	756	1495	1048	820	661	736	572	1772	640	406	1117	905	481	1085	1007	674	1603	943	1146	746	755	531
4991	3880	3059	1960	2011	1627	4963	3963	3793	2857	2097	1829	4518	2997	3508	2696	2853	3786	2870	3203	3407	5568	5091	3074	1612	1318	1190	1245	1029	964	1798	1103	400	3112	3159	2308	2758	2234	1994	2933	2297	2231	3925	3491	2526	2456	2657	1592	2964	2495	2477	3852	3901	2879	2913	2438	2133	3459	2411	2352	3074	2564	2229	4588	2821	2588	2087	1863	1521	5028	1903	1219	3522	2538	1398	3240	3467	2026	4363	2923	3036	2090	2127	1579
14333	11097	7951	5813	5587	4220	13024	11115	7641	7728	5654	3628	13640	10013	8839	9113	9186	10549	9315	10542	9821	14252	12988	5856	4105	3677	2381	3573	2975	2033	5565	3933	1330	8927	9858	6009	9010	7415	5098	8894	7399	6031	12123	11834	7065	6934	7085	3658	8651	7783	6065	11021	10809	7111	8625	7715	4986	10207	7754	6729	9276	8461	6106	15524	9476	7475	5197	5199	3687	14819	5778	3380	8610	7141	3876	8327	9270	5180	13435	9743	8477	6025	6199	3863
24927	19911	14638	10002	10176	7838	22425	19074	13080	13021	10167	6248	24036	18679	16017	16499	16975	18418	17675	18750	18561	23056	20921	9982	8157	7363	4920	6824	5792	4043	10921	7743	2468	16797	18573	11272	17006	14598	10014	16986	14376	11638	23177	22185	13910	12102	12971	6763	15841	14417	11872	18987	19587	13311	15780	14643	9273	17497	14435	12429	17440	15638	11033	27311	18433	13819	9166	9564	6809	24310	10265	6066	14708	12524	6875	14383	15929	9013	24340	17451	15386	10784	11009	6903
25292	19748	15134	10747	10773	8554	21023	18282	13356	13542	10324	7128	26577	19927	17850	18247	17420	19842	18636	20257	19659	20599	19007	9045	9917	9070	6121	8257	6827	4896	12307	8691	2798	17799	19250	12436	18782	16220	11451	18678	15886	12893	25139	24608	15459	12630	12988	7170	16855	15810	12928	19519	19453	14053	17711	15360	10808	18491	14830	12816	19052	16843	12302	27005	20362	15527	9360	10017	7175	25026	11087	6844	15030	12600	7452	14511	15655	9372	24615	18396	16143	11867	12247	7909
12660	10040	8009	6659	6861	5340	13234	10788	8639	8149	6601	4732	16342	12326	12106	10796	10254	12331	10686	11301	11353	10747	9923	5010	8057	7298	5281	6492	5364	4185	8035	5639	1805	10199	10976	7577	12628	10817	8099	12086	10674	8714	14987	13963	9460	6647	7180	4044	9687	9058	7990	9700	9598	7176	10313	9088	6529	11420	9286	8139	12304	10616	7770	18403	12962	10059	5831	6120	4846	15473	6778	4377	8056	7063	4158	7783	8884	5411	14313	10385	9493	7392	7599	5002
4240	3457	3220	3055	2959	2514	5014	4015	4129	3063	2218	1977	6122	4181	4955	3975	3276	4800	3402	3901	4237	4066	3866	2190	5281	4992	3874	4496	3457	2943	3750	2539	775	3412	3414	2880	5978	5106	4492	5699	5027	4331	5291	4728	3304	1979	2157	1321	3215	3191	2759	2780	2618	2150	4068	3005	2822	5000	3852	3598	5676	4750	3713	7918	5783	4782	2468	2508	2218	6264	2894	1989	2922	2212	1498	2837	2887	1961	4657	3495	3451	3545	3481	2324
1380	1230	1265	942	983	833	1789	1338	1641	934	806	766	1793	1417	1736	966	919	1426	1129	1091	1351	1489	1548	912	1867	1772	1580	1543	1128	1086	1395	720	343	944	892	930	2030	1649	1564	1691	1580	1569	1567	1205	1071	501	640	483	1112	867	1000	698	912	753	1115	916	883	1653	1165	1407	2127	1515	1326	2546	1728	1641	973	760	845	2289	898	703	905	675	477	1032	952	713	1523	1032	1290	1045	1117	855
399	348	415	339	313	241	504	463	615	331	213	276	472	368	543	346	229	444	302	348	408	561	468	328	609	629	557	575	366	422	518	241	123	217	208	291	679	489	577	554	459	512	425	379	275	109	247	166	387	283	310	67	246	222	339	262	315	507	356	419	633	538	424	798	551	554	313	254	317	716	335	260	300	151	171	312	271	227	409	347	359	225	295	290
