E13B4_1	E13B4_2	E13B4_3	E13B5_1	E13B5_2	E13B5_3	E13H1a_1	E13H1a_2	E13H1a_3	E13H1b_1	E13H1b_2	E13H1b_3	E13H1c_1	E13H1c_2	E13H1c_3	E13H1d_1	E13H1d_2	E13H1d_3	E13H1e_1	E13H1e_2	E13H1e_3	E13L1_1	E13L1_2	E13L1_3	E13N1_1	E13N1_2	E13N1_3	E13N2_1	E13N2_2	E13N2_3	E13OLa_1	E13OLa_2	E13OLb_1	E13OLb_2	E13OLb_3	E13OLc_1	E13OLc_2	E13OLc_3	E13OLd_1	E13OLd_2	E13OLd_3	E13OLe_1	E13OLe_2	E13OLe_3	E13ORa_1	E13ORa_2	E13ORa_3	E13ORb_1	E13ORb_2	E13ORb_3	E13ORc_1	E13ORc_2	E13ORc_3	E13ORd_1	E13ORd_2	E13ORd_3	E13P1_1	E13P1_2	E13P1_3	E13P2_1	E13P2_2	E13P2_3	E13P3_1	E13P3_2	E13P3_3	E13P4_1	E13P4_2	E13P5_1	E13P5_2	E13P5_3	E13P6_1	E13P6_2	E13P6_3	E13P7_2	E13P8_1	E13P8_2	E13P9_1	E13P9_2	E13P9_3	E13X1_1	E13X1_2	E13X1_3
1305	973	257	750	443	0	1767	1383	734	780	598	233	1942	1333	559	1673	1331	801	1369	1040	530	1184	642	314	1488	840	242	1335	517	0	1317	242	834	910	319	1559	1287	545	1621	1192	778	1860	1155	415	754	378	109	1007	785	214	1258	627	314	1330	831	367	889	756	261	852	654	0	1064	1333	256	812	407	425	362	152	860	281	0	285	280	252	1165	610	207	1044	506	0
4267	3971	861	2920	1360	481	7799	5679	2287	2624	2042	445	7464	5198	1663	5457	4804	2190	5773	3727	1641	4324	2341	915	4743	2788	629	4631	1591	579	4069	725	2924	3243	896	5394	4599	2155	6422	4414	2582	7033	4792	1459	2152	1420	306	3678	2672	675	4475	2421	956	4451	3245	954	3050	2699	866	2777	2516	301	5126	4969	911	2467	1290	1585	1159	354	2588	980	200	647	566	826	4364	1946	547	3216	1645	415
10130	9718	2531	6920	3404	1060	17845	13829	6102	6491	5345	1234	18029	12788	4641	13832	12114	5401	13684	9486	4565	10278	6194	2467	12158	7661	1742	10971	4543	1362	9245	2097	8791	8829	2252	13790	11618	5422	16050	11763	6400	18369	12678	4011	5201	4061	817	9627	6997	1738	11724	6799	2481	10993	8912	2436	8126	7068	2293	6835	6570	816	12472	11980	2375	5416	3545	4378	2915	939	5628	2771	617	1508	1388	2095	9848	5072	1452	8021	4233	1054
10760	10144	2926	7130	3340	1050	18516	15319	6777	6923	5557	1367	19616	13640	5312	15513	12859	6102	13938	10098	5163	10874	6910	2681	12265	8004	1884	10922	5022	1419	10173	2329	9702	9474	2551	15002	12782	6260	16911	11965	7092	20564	13588	4578	5612	4652	924	10551	8031	1937	13174	7365	2805	11834	9744	2879	8724	7278	2532	7228	7174	927	13339	12865	2647	5532	3835	4710	3036	1016	5970	2938	706	1704	1518	2155	10344	5590	1589	8686	4489	1005
4095	3879	1210	2647	1372	383	7256	5267	2706	2836	2294	541	7820	5126	2062	6118	4981	2291	5112	4135	2016	4613	2683	997	4766	3336	797	4570	1869	461	4336	947	3482	3667	899	5880	4679	2384	6957	4410	2797	7898	5259	1823	2383	1810	381	3826	2968	613	5251	2738	1068	4557	3612	1197	3292	2691	956	3060	2778	317	4866	4494	902	2271	1375	1807	1344	428	2279	1225	258	589	612	835	4948	2327	583	4101	1838	380
5571	5811	1530	3868	4027	608	10735	7643	3804	3826	3487	908	10434	7399	2758	9817	7823	3743	8212	6448	3316	6486	3671	1282	8498	7235	1566	7480	3338	705	5695	1313	5294	6345	1769	8621	7519	3263	10968	6821	4129	12034	7571	2539	4663	3075	848	5705	4955	1014	6863	3780	1581	6973	5530	1684	5329	4774	1345	4666	4094	574	6659	6413	1163	3288	2221	3001	2157	673	3338	1994	348	743	900	1335	8279	3672	937	6619	2664	735
8543	8626	2421	5372	2694	909	16178	11710	5616	5451	5204	1353	15633	11032	4316	13411	10702	5142	11707	9472	4072	9469	5536	1937	9839	5664	1693	9059	4121	1126	8319	1988	7333	8055	2215	11956	10916	4956	14919	9321	6523	18128	11152	3861	4714	3522	829	7981	6818	1466	9941	5448	2386	10155	7602	2318	6535	6635	1942	6559	5904	832	10233	10260	2037	4019	2850	4036	3103	989	4088	2663	601	1034	1304	1646	11056	4867	1314	8679	4003	1003
7128	7006	2003	4168	2041	729	12554	9295	4720	4137	3875	1127	12731	9037	3701	10168	8519	4349	8922	7215	3395	7164	4227	1568	7031	4267	1299	6655	3084	885	6936	1674	5856	6212	1703	8857	8431	4183	12234	7423	5295	14748	8996	3164	3688	2532	728	6205	5270	1156	7756	4278	1938	7669	6011	2006	5043	4776	1601	5412	4563	636	9196	9434	1821	3140	2026	3372	2289	776	3336	2209	550	775	965	1310	8038	3286	1004	6701	2969	719
1491	1236	477	788	306	126	2558	1634	1027	859	675	284	2452	1442	818	1998	1445	894	1763	1396	738	1411	852	392	1512	770	259	1200	511	210	1459	303	958	1068	373	1954	1641	874	1954	1318	944	2275	1468	718	828	539	165	1407	1053	272	1760	850	378	1604	963	466	967	930	385	1067	839	132	2943	2794	594	734	468	597	504	180	930	568	156	110	250	267	1362	642	236	1287	582	140
