C99L1_1	C99L1_2	C99L1_3	C99M1a_1	C99M1a_2	C99M1a_3	C99M1b_1	C99M1b_2	C99M1b_3	C99M1c_1	C99M1c_2	C99M1c_3	C99M1d_1	C99M1d_2	C99M1d_3	C99M2a_1	C99M2a_2	C99M2a_3	C99M2b_1	C99M2b_2	C99M2b_3	C99M2c_1	C99M2c_2	C99M2c_3	C99N1_1	C99N1_2	C99N1_3	C99N2_1	C99N2_2	C99N2_3	C99P1a_1	C99P1a_3	C99P1b_1	C99P1b_2	C99P1b_3	C99P1c_1	C99P1c_2	C99P1c_3	C99P1d_1	C99P1d_2	C99P1d_3	C99P1e_1	C99P1e_2	C99P1e_3	C99P1f_1	C99P1f_2	C99P1f_3	C99P1g_1	C99P1g_2	C99P1g_3	C99P1h_1	C99P1h_2	C99P1h_3
481	272	319	2077	1452	1427	1561	1477	1950	1408	1326	2070	1785	1619	1882	982	699	790	929	681	617	1085	760	793	818	689	713	352	526	471	579	507	1072	933	958	1048	899	865	1300	1127	1351	963	888	1129	568	593	795	871	795	884	97	172	191
945	604	648	4611	3334	3685	4170	3928	4742	3489	3610	4936	4579	4360	4813	2276	1644	1743	1969	1716	1451	2670	1955	2033	1709	1688	1666	864	993	954	1194	1169	2035	1847	1766	2133	2103	1797	2477	2406	2855	2147	1946	2725	1399	1378	1514	1734	1708	1662	234	338	342
2071	1423	1630	6507	5050	5561	6635	6273	7936	5841	6195	8219	7844	7326	8430	4141	3030	3318	3964	3662	2979	4925	4043	4006	3885	3724	3828	1811	2604	2478	2514	2935	4307	4250	4470	4233	4787	4210	5383	5198	5972	4831	4615	6603	2947	3028	3380	4082	4260	3919	619	904	857
3264	2244	2599	7089	5263	5692	7927	7438	9036	7041	7197	10097	9524	8871	10261	5340	4014	4407	5517	5213	4011	6615	5480	5273	6073	6162	6264	2923	4181	3985	3917	4546	6359	6653	7026	6391	7173	6705	7819	7838	8706	7406	7346	10114	4324	4365	5022	6278	6690	6429	1003	1440	1352
3854	2604	3076	5460	3944	4244	6615	6288	7796	6174	6315	8630	8425	7875	9129	5132	3865	4184	5564	5296	4009	6592	5353	5144	7121	7534	7489	3471	5076	4746	4503	5308	7431	7310	7849	7183	8041	7344	8361	8368	9372	8756	8586	12101	4796	4673	5578	7511	7697	7692	1153	1735	1662
3360	2250	2578	2797	1807	1941	3706	3440	4067	3468	3522	4724	4914	4611	5241	3318	2481	2664	3880	3627	2642	4332	3481	3389	6496	7058	6549	3047	4428	4102	3944	4608	6261	6252	6604	5938	6502	6038	6542	6648	7454	7553	7312	10535	3970	3756	4639	6427	6645	6649	1022	1530	1440
1952	1275	1436	1100	674	767	1033	1079	1426	949	915	1473	1390	1252	1544	1095	783	827	1381	1308	924	1494	992	1070	4115	4610	3830	1790	2625	2431	2385	2588	3623	3481	3610	3572	3642	3304	3578	3461	4024	4405	4259	5950	2455	2113	2651	3816	3958	3861	594	878	851
680	445	463	416	209	212	310	348	398	249	286	429	388	352	461	332	243	217	461	358	308	471	263	325	1352	1438	1183	547	731	685	954	838	1608	1254	1087	1498	1296	1115	1527	1310	1727	1537	1534	2001	1027	860	1097	1437	1310	1305	208	253	305
