C99L1_1	C99L1_2	C99L1_3	C99M1a_1	C99M1a_2	C99M1a_3	C99M1b_1	C99M1b_2	C99M1b_3	C99M1c_1	C99M1c_2	C99M1c_3	C99M1d_1	C99M1d_2	C99M1d_3	C99M2a_1	C99M2a_2	C99M2a_3	C99M2b_1	C99M2b_2	C99M2b_3	C99M2c_1	C99M2c_2	C99M2c_3	C99N1_1	C99N1_2	C99N1_3	C99N2_1	C99N2_2	C99N2_3	C99P1a_1	C99P1a_3	C99P1b_1	C99P1b_3	C99P1c_1	C99P1c_2	C99P1c_3	C99P1d_1	C99P1d_2	C99P1d_3	C99P1e_1	C99P1e_2	C99P1e_3	C99P1f_1	C99P1f_2	C99P1f_3	C99P1g_1	C99P1g_2	C99P1g_3	C99P1h_1	C99P1h_2	C99P1h_3
60	50	71	1576	1215	1484	1554	1349	1716	1281	1969	1729	1513	2099	1817	6134	7015	8244	9746	12680	15376	8688	8939	10190	0	0	0	0	0	0	889	743	663	354	1032	531	439	700	658	1116	1078	1006	1700	557	707	827	986	1053	1262	163	77	201
421	317	488	7215	6292	8327	6627	7135	9879	6784	9416	11326	7338	9859	11420	14630	16418	19795	20789	27630	28065	19675	19763	24738	454	326	458	364	233	358	4221	4853	3188	2376	4039	3186	3405	4359	4386	6406	5253	5900	8693	3225	4195	4626	5160	5337	6484	621	571	919
1693	1537	1968	19284	17292	22398	19074	21327	29430	19796	27124	29587	20959	27779	29710	11775	12806	14864	10518	13393	16101	14508	16268	18797	2611	1678	2293	1529	1209	1776	14000	17944	12194	10847	13971	11233	13020	14096	15682	22579	14376	16332	24909	11619	15736	18172	15272	17339	21880	2610	2776	4168
2943	2707	3332	24033	22136	27941	26375	30300	30129	27907	30890	29587	29349	30851	29710	14392	15949	18593	11982	15088	18676	17725	20818	23243	8779	6583	8638	5810	4997	6981	22114	29135	21032	19737	22014	18942	22026	23163	26327	29423	18490	20638	29345	19714	26406	29057	22208	25569	28558	4454	5001	7284
1967	1802	2497	7046	6195	7919	7250	8324	11272	7250	10123	11787	7793	10386	11761	3247	3439	3558	3551	4570	4861	3865	4292	4153	20232	15265	20552	13366	11916	16510	12087	15635	14394	13343	12402	10020	11746	11845	13692	19169	9757	11079	18154	11900	15362	18125	12793	14957	18258	3179	3652	4938
1350	1185	1609	2092	1608	1922	1444	1584	2392	1028	1681	1754	1085	1510	1522	475	523	636	2092	2915	3258	881	869	1054	26874	20675	27862	18054	16196	22866	3967	4534	8448	8217	3778	3035	3297	3068	3423	4533	2641	3011	4554	4874	6009	6892	5208	5859	6749	1965	2381	3394
910	859	1101	1427	1149	1226	801	1140	1501	486	883	1135	563	664	729	206	289	320	1667	2167	2450	481	569	666	19809	15632	21277	13850	12633	17503	1990	1985	5398	5130	1940	1430	1371	1131	1199	1759	1111	1283	2025	2544	3034	3705	2783	3226	3878	1211	1459	2263
235	170	222	415	314	464	285	347	538	181	356	492	222	288	447	100	168	216	344	529	639	191	149	259	4487	3628	4818	3447	2968	3925	470	524	1225	1122	496	356	347	339	373	536	317	343	605	521	676	878	631	691	939	282	349	600
