sample	tissue_type
C58-A	darkorange
C58-B	red
C58-C	darkgreen
C58-D	darkblue
C58-E	darkorange
C58-F	darkorange
C58-H	darkorange
C58-I--L1	darkblue
C58-J	darkblue
C58-L-L1	darkblue
C58-L-L3	darkblue
C58-L-L4	darkblue
C58-L-L5	darkblue
C58-M-L1	darkblue
C58-M-L2	darkblue
C58-N	darkblue
C58-O	darkgreen
C58-P	red
C58-Q	darkgreen
C58-B-Sec	red
