C51-A_1	C51-A_2	C51-A_3	C51-B_1	C51-B_2	C51-B_3	C51-C--firstR-_1	C51-C--firstR-_2	C51-C--firstR-_3	C51-C--macro-_1	C51-C--macro-_2	C51-C--macro-_3	C51-D_1	C51-D_2	C51-D_3	C51-E_1	C51-E_2	C51-E_3	C51-F_1	C51-F_2	C51-F_3	C51-G_1	C51-G_2	C51-G_3	C51-H_1	C51-H_2	C51-H_3
235	296	235	159	390	639	994	1392	1202	739	1374	1168	107	354	73	361	302	115	430	529	248	563	821	467	406	439	269
511	582	530	356	914	1101	2194	2469	1963	1434	2113	1938	299	552	87	623	406	158	883	875	570	1108	1233	801	728	822	514
668	716	395	543	761	734	1890	1613	1164	1319	1191	1046	374	395	108	512	238	141	723	454	491	836	614	429	714	541	322
1161	1343	619	716	860	683	1362	887	581	857	411	433	770	578	79	489	252	0	803	390	401	722	208	149	898	491	397
1405	1496	753	401	503	270	1190	693	394	765	330	362	1000	634	0	336	0	0	493	167	188	520	104	0	765	340	252
1483	1781	900	541	851	446	1131	917	551	709	416	419	1106	844	98	377	102	0	733	297	352	583	263	111	907	507	250
1046	1369	814	867	1392	760	752	568	482	329	295	233	842	822	117	418	163	53	1151	636	596	536	357	175	851	618	272
596	894	581	826	1611	1022	385	248	310	119	183	124	569	592	217	375	187	168	1372	809	847	411	376	214	798	539	284
