E4B10_1	E4B10_2	E4B10_3	E4B11_1	E4B11_2	E4B11_3	E4B12_1	E4B12_2	E4B12_3	E4B13_1	E4B13_2	E4B13_3	E4B14_1	E4B14_2	E4B14_3	E4B15_1	E4B15_2	E4B15_3	E4B16_1	E4B16_2	E4B16_3	E4B17_1	E4B17_2	E4B17_3	E4B18_1	E4B18_2	E4B18_3	E4B19_1	E4B19_2	E4B19_3	E4B1_1	E4B1_2	E4B1_3	E4B20_1	E4B20_2	E4B20_3	E4B21_1	E4B21_2	E4B21_3	E4B22_1	E4B22_2	E4B22_3	E4B2_1	E4B2_2	E4B2_3	E4B3_1	E4B3_2	E4B3_3	E4B5_1	E4B5_2	E4B5_3	E4B6_1	E4B6_2	E4B6_3	E4B7_1	E4B7_2	E4B7_3	E4B8_1	E4B8_2	E4B8_3	E4B9_1	E4B9_2	E4B9_3	E4H1_1	E4H1_2	E4H1_3	E4L10_1	E4L10_2	E4L10_3	E4L11_1	E4L11_2	E4L11_3	E4L1_1	E4L1_2	E4L1_3	E4L2_1	E4L2_2	E4L2_3	E4L3_1	E4L3_2	E4L3_3	E4L4_1	E4L4_2	E4L4_3	E4L5_1	E4L5_2	E4L5_3	E4L7_1	E4L7_2	E4L7_3	E4L8_1	E4L8_2	E4L8_3	E4L9_1	E4L9_2	E4L9_3	E4N1_1	E4N1_2	E4N1_3	E4N3_1	E4N3_2	E4N3_3	E4O1_1	E4O1_2	E4O1_3	E4O2_1	E4O2_2	E4O2_3	E4P10_1	E4P10_2	E4P10_3	E4P11_1	E4P11_2	E4P11_3	E4P14_1	E4P14_2	E4P14_3	E4P1_1	E4P1_2	E4P1_3	E4P2_1	E4P2_2	E4P3_1	E4P3_2	E4P3_3	E4P5_1	E4P5_2	E4P5_3	E4P7_1	E4P7_2	E4P7_3	E4P9_1	E4P9_2
299	201	712	487	285	702	396	192	560	265	600	435	282	559	489	278	509	490	327	503	629	248	761	895	208	915	427	267	491	608	222	211	261	229	337	477	294	617	378	312	653	412	480	371	981	543	402	571	329	471	1036	483	370	819	385	238	608	336	313	502	384	258	668	248	310	290	521	477	675	278	142	375	484	416	779	450	165	807	1060	668	2019	332	230	590	515	411	990	221	326	348	403	739	937	580	507	634	198	339	358	132	173	247	120	103	121	178	286	344	893	806	1178	595	821	1702	963	866	2442	265	533	1274	674	786	572	554	1376	354	330	991	331	229	737	1051	958
1144	900	2303	1534	1061	2300	1535	689	2107	1079	1966	1637	1114	2074	1736	903	1702	1819	1203	1738	2231	1063	2387	2761	745	3679	1416	1016	1570	2151	803	779	1053	890	1221	2041	1194	2075	1482	1128	1725	1480	1840	1473	3014	1863	1202	2590	1270	1660	3191	1897	1265	3059	1413	978	2200	1329	951	1976	1411	915	2107	1213	1375	1519	1781	1574	2350	1013	785	1349	1702	1301	2606	1452	770	2914	4552	3497	8876	1198	838	2009	1997	1388	3315	935	1162	1359	1648	3073	3622	2076	1677	2760	739	1262	1089	533	719	885	438	508	453	969	1121	1505	3732	3398	5355	2489	3013	6019	4077	4827	10564	1306	1751	5265	2772	3264	2832	2720	6517	1489	1335	2797	1173	1129	3281	4479	3985
4035	3345	7643	4687	3322	6870	5240	2522	7467	4028	7064	5957	4434	7100	6790	3391	5695	6586	4727	6516	8091	4167	8721	10636	3055	11379	5047	3653	5428	7124	2999	2943	4182	2854	3772	6171	4099	6688	4978	4139	5348	5107	6131	4903	9745	5611	3969	7525	4545	5466	10712	6329	4322	10189	4512	3461	7251	3998	3559	6811	5093	3472	7954	2560	2771	3295	5997	5419	8058	3602	2842	4587	5561	4487	8580	4676	2802	8922	9702	7568	18530	3582	2840	5648	6123	5004	10085	3234	4045	4841	6437	9759	11290	5937	5319	7641	3119	5022	5025	2384	3092	3808	1864	2007	2193	2769	2794	4023	8562	8282	11903	7410	9389	17066	8999	10780	22962	3688	5600	14352	7591	8968	6072	5982	13722	5235	5752	9303	3301	3549	8296	10511	9654
7231	6040	12959	7454	5201	11108	9794	4610	13653	7226	13107	10592	8404	13316	12870	6226	10385	12077	8902	12221	14892	7788	16086	19155	5499	20071	8993	6307	9031	12095	5410	5204	7479	4916	6608	10367	7271	11647	8513	7352	9329	9285	10704	8548	16732	9510	6946	12720	8248	9705	19461	10991	7284	17327	8022	6166	12751	6984	6247	12258	9299	6313	14554	2897	3189	3827	10259	9505	14233	6424	5228	8350	9636	7771	14624	7680	4725	14768	11857	9275	22205	5480	4648	8691	10271	8510	16859	5864	7310	8761	11119	16132	18540	9208	8541	12153	6243	9825	10223	4798	6280	7397	3627	4052	4398	4222	3990	6023	12148	11723	15899	12194	15205	26937	11339	13320	28069	5819	8914	22527	11379	13425	7439	7384	16318	9910	11043	17251	5135	5647	12780	14430	13265
7887	6311	13716	7441	5177	11083	11124	5153	15633	7979	14353	11515	9449	15256	14895	6880	11651	13274	10281	14023	16927	8751	17853	20716	5955	21873	9669	6530	9452	12498	6211	5767	8345	5323	7133	11041	7933	12853	9170	8129	10276	10150	11464	9266	17488	10176	7540	13576	9001	10636	21231	11578	7633	17880	8744	6856	13958	7552	6604	13395	10446	7151	16434	1846	1943	2486	11091	10160	15038	7173	5828	9268	9916	8107	15409	7956	4880	15347	7716	6070	14433	5365	4501	8171	10932	8884	17330	6679	8243	9809	11306	15878	18370	8968	8319	11591	7455	11786	12484	5762	7604	8605	4340	4940	5399	3857	3430	5519	10276	10030	13037	12186	14954	26816	7845	9358	20333	5671	8700	21609	9990	11977	5141	5071	10657	11484	12615	19587	5010	5387	12391	11556	10506
5556	4506	9453	5083	3467	7674	8116	3611	11160	5770	10447	8201	6869	11164	10549	5101	8349	9544	7374	10233	12275	6266	12958	14342	4160	15593	6704	4568	6580	8701	4408	4082	5826	3677	5052	7675	5461	9097	6268	5900	7137	7258	8018	6470	11871	7187	5334	9521	6290	7593	14826	8063	5325	11972	6330	4975	10113	5383	4658	9508	7310	5073	11798	960	1053	1317	7826	6967	10222	5083	4240	6722	6963	5723	10639	5564	3413	10696	4441	3484	8266	3602	3054	5470	7538	6096	12235	4662	5826	6656	7513	10953	12437	5931	5687	7635	5578	8688	8971	4137	5383	6012	3377	3541	3930	2570	2302	3591	6819	6484	8374	8433	10174	18368	4601	5447	12159	3917	6024	14366	6759	8015	3132	2938	6063	8446	9047	13831	3396	3638	8452	7409	6716
1366	1002	2273	1105	729	1786	2212	807	3015	1377	2564	1856	1797	3084	2648	1365	2276	2336	1977	2704	3185	1408	3290	2873	963	4052	1601	1005	1421	1938	1100	889	1274	788	1145	1643	1218	2176	1188	1516	1746	1728	1902	1413	2426	1617	1252	2099	1415	1857	3371	1691	1141	2283	1725	1351	2816	1533	1096	2522	2027	1285	3122	137	188	200	1959	1779	2461	1339	956	1733	1558	1378	2471	1423	693	2722	940	623	1790	872	589	1429	1823	1326	2946	1165	1504	1585	1151	2487	2565	1187	1303	1420	1739	2255	2538	1050	1398	1360	1035	924	1060	521	420	709	1678	1351	1857	1900	2140	4159	821	974	2532	875	1181	3081	1409	1489	740	577	1370	2346	2268	3499	799	745	2043	1613	1182
259	135	365	203	135	371	328	178	473	206	488	247	206	464	383	196	353	329	241	495	442	240	598	611	123	757	255	124	314	272	190	184	262	146	208	300	241	386	201	167	366	216	437	252	543	337	202	358	253	374	571	314	190	510	318	143	409	281	154	352	330	239	483	0	0	0	257	266	449	238	142	248	317	206	412	189	116	587	298	153	463	171	81	392	348	272	434	207	304	234	171	478	487	249	266	338	159	429	375	195	276	264	168	185	122	89	81	115	328	264	295	408	405	782	163	207	401	185	218	645	382	294	136	104	391	466	360	550	244	139	365	406	275
