E4B10_1	E4B10_2	E4B10_3	E4B11_1	E4B11_2	E4B11_3	E4B12_1	E4B12_2	E4B12_3	E4B13_1	E4B13_2	E4B13_3	E4B14_1	E4B14_2	E4B14_3	E4B15_1	E4B15_2	E4B15_3	E4B16_1	E4B16_2	E4B16_3	E4B17_1	E4B17_2	E4B17_3	E4B18_1	E4B18_2	E4B18_3	E4B19_1	E4B19_2	E4B19_3	E4B1_1	E4B1_2	E4B1_3	E4B20_1	E4B20_2	E4B20_3	E4B21_1	E4B21_2	E4B21_3	E4B22_1	E4B22_2	E4B22_3	E4B2_1	E4B2_2	E4B2_3	E4B3_1	E4B3_2	E4B3_3	E4B5_1	E4B5_2	E4B5_3	E4B6_1	E4B6_2	E4B6_3	E4B7_1	E4B7_2	E4B7_3	E4B8_1	E4B8_2	E4B8_3	E4B9_1	E4B9_2	E4B9_3	E4H1_1	E4H1_2	E4L10_1	E4L10_2	E4L10_3	E4L11_1	E4L11_2	E4L11_3	E4L1_1	E4L1_2	E4L1_3	E4L2_1	E4L2_2	E4L2_3	E4L3_1	E4L3_2	E4L3_3	E4L4_1	E4L4_2	E4L4_3	E4L5_1	E4L5_2	E4L5_3	E4L7_1	E4L7_2	E4L7_3	E4L8_1	E4L8_2	E4L8_3	E4L9_1	E4L9_2	E4N1_1	E4N1_2	E4N1_3	E4N3_1	E4N3_2	E4N3_3	E4O1_1	E4O1_2	E4O1_3	E4O2_1	E4O2_2	E4O2_3	E4P10_1	E4P10_2	E4P10_3	E4P11_1	E4P11_2	E4P11_3	E4P14_1	E4P14_2	E4P14_3	E4P1_1	E4P1_2	E4P1_3	E4P2_1	E4P2_2	E4P2_3	E4P3_1	E4P3_2	E4P3_3	E4P5_1	E4P5_2	E4P5_3	E4P7_1	E4P7_2	E4P7_3	E4P9_1	E4P9_2	E4P9_3
1193	826	511	1265	830	665	554	347	514	640	555	455	641	787	554	871	737	352	306	333	197	752	818	748	656	1032	526	1018	471	899	522	542	320	217	685	630	724	1155	586	694	1047	731	1153	1097	982	514	694	1087	728	1127	706	1195	1026	1140	574	969	772	1227	684	558	863	634	144	639	688	1126	545	585	333	358	127	559	534	548	1420	644	880	2735	443	917	1293	835	1086	1216	814	1004	440	571	231	1453	1776	1401	562	1765	179	288	177	150	162	120	103	105	78	721	526	354	1279	1029	1352	2218	1358	1581	3582	1464	2647	2047	1343	2217	1420	1451	1268	827	1457	1718	991	191	403	1250	1264	1659	1155	1835	870
2027	1417	984	1993	1291	990	1159	747	1088	1371	1002	749	1238	1410	979	1622	1290	648	576	666	358	1480	1550	1392	1190	1838	911	1770	801	1477	1028	969	590	381	1271	1060	1212	1953	1043	1250	2005	1346	1836	1866	1672	886	1231	1842	1326	2015	1321	2062	1713	1854	1033	1836	1351	2048	1145	921	1568	1288	216	924	952	2000	1049	1075	614	624	203	1288	1183	1062	2292	1069	1422	3723	688	1304	1918	1285	1613	2110	1344	1616	920	1189	440	2300	2900	2176	861	2549	846	1089	586	541	467	410	320	420	226	1059	727	564	2090	1578	1997	3655	2125	2411	5296	2310	3772	3116	2167	3446	2470	2467	1947	1237	2123	2411	2069	333	719	1866	1961	2437	1800	2801	1393
3645	2315	1465	2755	1597	1238	2489	1597	1976	2902	1893	1397	2377	2654	1703	2851	2163	1041	1036	1218	620	2915	2657	2516	1941	2973	1319	2966	1103	1969	1951	2205	1169	729	2121	1682	2214	3334	1763	2333	3262	2333	2956	2991	2431	1580	1942	2789	2674	3642	2161	3224	2480	2540	1746	3079	2346	3308	1728	1351	2923	2536	302	920	899	3907	1717	1789	1103	1212	323	2412	2415	1949	3255	1566	1912	3727	687	1260	2657	1764	2002	3725	2311	2435	2023	2692	893	3562	4060	2962	1249	3537	2899	3053	1581	1620	1359	1189	878	1081	587	1256	866	720	2553	2152	2354	4867	3131	2983	6089	2592	4064	4259	3077	4549	4155	3655	2790	1280	2168	2458	4060	608	1351	2457	2592	2996	2213	3597	1606
4397	3300	2068	2907	1906	1390	3452	2394	3190	3397	2806	2079	3483	4000	2669	3894	3122	1608	1754	2085	1066	3916	3775	3783	2481	3800	1925	3002	1308	2294	3084	3320	1962	899	2965	2273	2843	4254	2426	3148	4460	3310	3657	3825	3386	1905	2311	3784	3230	4399	3016	3290	2924	2955	2315	4106	3277	4053	2265	1812	4029	3689	489	535	506	5137	2491	2550	1932	2153	524	3832	3652	3180	3851	1878	2286	2238	399	827	2802	1883	2177	4803	2845	3375	3013	3670	1608	3107	3670	3060	1289	3603	5378	5812	3083	3030	2631	2126	1883	2271	1169	1127	797	602	2551	1986	2446	4226	2465	3021	4029	1623	2959	4241	2853	4912	3530	3254	2767	872	1442	1764	6037	1013	2180	2376	2449	2974	1914	3056	1456
6362	4781	3028	4082	2541	2017	5496	3841	5123	5314	4210	3124	5698	6377	4142	5919	4663	2531	2898	3374	1738	5987	5762	5729	3841	5584	2884	4374	1975	3360	4637	5035	3066	1431	4504	3509	4433	6250	3841	4980	6723	5123	5249	5638	5047	2802	3602	5608	4773	6491	4513	4801	4312	4292	3660	6371	4867	5969	3513	2780	6290	5712	827	490	417	7282	3816	3708	2905	3314	824	6018	5738	4853	5506	2780	3301	2255	424	881	3895	2648	3030	7133	4293	4885	4564	5740	2520	4353	5277	4313	1803	5100	8539	9083	4914	4738	4148	3407	3086	3686	1953	1481	1032	750	3483	2751	3296	5839	3463	4215	4601	1937	3485	5940	4095	6866	4904	4831	3927	1014	1585	1906	9088	1656	3389	2985	3275	3938	2492	4169	1992
7124	5372	3457	4613	2948	2352	6533	4516	6027	6082	5029	3623	6848	7507	4858	6910	5500	3067	3628	4142	2223	6979	6625	6716	4446	6384	3257	5023	2277	3975	5162	5590	3605	1683	5310	4133	5207	7249	4410	5886	7848	5932	6008	6457	5772	3356	4140	6471	5517	7365	5508	5469	5088	4996	4391	7435	5735	6900	4135	3265	7313	6574	997	469	418	8265	4331	4285	3405	3961	1018	7041	6649	5748	6191	3199	3872	2353	536	958	4280	3006	3345	8225	5065	5560	5124	6396	3023	4852	6166	4952	1959	5682	9576	10122	5595	5212	4721	3856	3727	4327	2231	1669	1265	862	4074	3119	3836	6596	3982	4934	5124	2125	3779	6739	4757	7888	5810	5705	4715	1129	1767	2017	10413	2031	4117	3355	3719	4374	2856	4743	2381
4798	3656	2412	3046	2014	1679	4603	3098	4282	4033	3550	2555	4810	5035	3390	4670	3758	2168	2683	2967	1668	4672	4592	4615	2897	4246	2206	3349	1663	2843	3432	3608	2476	1201	3613	2837	3446	5004	3010	3983	5371	3975	4041	4276	4007	2250	2749	4401	3700	5014	3830	3551	3466	3406	3175	4940	4067	4666	2899	2363	4952	4607	780	311	304	5572	3029	3018	2419	2802	799	4999	4602	4012	4173	2195	2792	1570	393	623	2763	1966	2254	5507	3410	3789	3300	4237	2166	3182	4087	3360	1344	3592	6144	6508	3809	3282	3188	2624	2744	3063	1583	1051	835	605	2763	2058	2697	4171	2609	3340	3297	1405	2451	4545	3078	5272	4029	3750	3229	742	1106	1336	6743	1528	2945	2088	2347	2892	1989	3036	1703
1060	754	550	708	415	372	971	586	985	745	700	536	853	1023	689	872	855	462	557	522	365	964	938	1010	550	954	497	602	384	550	662	761	588	252	745	561	684	1038	659	667	1120	828	947	953	877	557	602	1046	718	1006	757	738	751	737	670	986	855	1017	598	567	1082	885	158	96	72	1199	601	619	531	606	188	1001	850	934	944	425	679	341	66	165	628	382	572	1202	611	957	614	828	502	758	798	729	357	751	1106	1430	738	652	679	491	516	610	333	199	205	130	728	488	715	1015	538	836	815	344	598	1113	588	1224	917	717	697	194	280	354	1484	300	649	560	535	781	509	690	425
