E6B1_2	E6B2_1	E6B2_2	E6B2_3	E6B3_1	E6B3_2	E6B3_3	E6B4_1	E6B4_2	E6B4_3	E6B5_1	E6B5_2	E6B5_3	E6B7a_1	E6B7a_2	E6B7a_3	E6B7b_1	E6B7b_2	E6B7b_3	E6B7c_1	E6B7c_2	E6B7c_3	E6B7d_1	E6B7d_2	E6B7d_3	E6H1a_1	E6H1b_1	E6H1b_2	E6H1b_3	E6H2a_1	E6H2a_2	E6H2a_3	E6H2b_1	E6H2b_2	E6H2b_3	E6H3a_1	E6H3a_2	E6H3a_3	E6H3b_1	E6H3b_2	E6H3b_3	E6H3c_1	E6H3c_3	E6L1a_1	E6L1a_2	E6L1a_3	E6L2_1	E6L2_2	E6L2_3	E6N1_1	E6N1_2	E6N1_3	E6N2_1	E6N2_2	E6N2_3	E6OL_1	E6OL_2	E6OL_3	E6P10_1	E6P10_2	E6P1_1	E6P1_2	E6P1_3	E6P2_1	E6P2_2	E6P2_3	E6P3_1	E6P3_2	E6P3_3	E6P4_1	E6P4_2	E6P4_3	E6P5_1	E6P5_2	E6P5_3	E6P6_1	E6P6_2	E6P7_1	E6P7_2	E6P7_3	E6P8_1	E6P8_2	E6P8_3	E6P9_1	E6P9_2	E6P9_3
4099	1591	1166	1345	907	1536	856	1555	1203	1006	1768	1942	1296	2020	1376	1294	2216	1397	915	2684	2005	1287	1309	1211	1136	1885	3384	3125	1587	1145	1200	1415	1324	1644	1924	1667	1384	1684	793	919	1467	5917	3980	5262	3435	2904	723	599	498	4308	2806	385	1062	1610	871	2057	1666	2233	11682	303	1759	1139	1147	1088	1678	1329	1779	1443	1149	1267	613	731	1769	1224	1292	1678	945	1637	1198	1252	4711	2559	1643	3112	1831	1834
3027	3266	2471	2839	1876	3366	1974	3395	2743	2401	4033	3484	2891	3405	3104	2548	4145	2853	1872	4533	3782	2543	2665	3000	2582	2772	4531	4408	2296	2773	2549	3225	3052	3432	4080	3117	2556	2757	1715	1934	2885	7220	2066	7765	3784	2817	1239	1094	960	9472	4244	796	2278	3771	1483	3476	3305	3480	8694	740	3809	2803	2444	2392	3490	2965	3190	2730	2340	2302	1391	1523	3742	2560	2794	2934	1867	3562	2745	2433	5768	3569	2808	5416	3858	4043
908	4612	3619	3851	2740	4981	2948	5236	4410	3737	6505	5308	4743	4076	4632	3363	5295	4352	2392	6313	4958	3000	4434	4185	3711	3610	5579	4075	2946	4539	4409	4802	4969	5406	6056	4439	3519	3602	2427	2732	3897	3662	843	7495	2546	1824	1689	1412	1116	16058	4421	1160	3549	5436	2087	4821	4476	4054	1158	904	6126	4627	4163	3703	5427	4581	4146	3621	3141	3138	1941	1934	5386	3652	3828	3859	2699	4977	4390	3785	5925	4638	3720	7893	6359	6623
400	5935	4432	4491	3295	5918	3401	6460	5497	4458	7773	6588	5866	4431	5246	3573	6373	5328	2931	7798	5999	3431	5666	5687	4800	3957	5802	3969	3578	6036	5735	6280	6432	6805	7465	5347	4629	4406	3162	3235	5305	1228	307	7434	1822	1564	2074	1766	1430	18966	3987	1335	4315	5967	2309	5519	5325	4393	206	633	7850	5863	5260	4654	6510	5480	4663	4277	3894	3908	2480	2313	6472	4497	4889	4480	3405	6056	5474	4613	5960	5501	4651	9337	7836	8357
155	6788	4806	4867	3541	5302	3711	6455	5260	4520	7605	6671	6265	4601	5141	3658	6740	5784	3468	8084	6544	3836	6952	6753	5845	4847	5800	3384	4153	6418	5585	6662	6734	6765	8168	5850	5202	5369	3455	3354	6102	486	384	6477	1747	1549	2429	1840	1801	17588	3250	1457	4062	5718	2447	5869	6193	4822	37	200	7707	5850	5198	4643	6591	5668	4633	4229	4438	4159	2694	2588	6831	4900	5456	4573	3631	6452	5693	5267	5800	5587	5004	8992	7646	8994
40	4187	3037	3221	2190	3177	2126	3854	3235	2587	4330	3659	3745	2899	3219	2268	4450	3521	2328	5666	4137	2792	5443	5502	5363	4618	3475	1769	2560	4293	3527	4082	4359	4291	4843	3541	2882	3105	2049	1893	2992	171	205	4089	812	1046	1637	1258	1194	8462	1562	778	2048	2609	1186	3603	3860	3437	0	48	4604	3581	2855	2583	3571	3054	2956	2797	2753	2756	1883	1778	4139	2954	3395	2981	2187	4270	3206	3047	3324	3410	3107	5895	4638	5592
0	2630	1803	1977	1418	1806	1151	2340	1844	1410	2560	1922	2096	1788	1814	1377	2868	2139	1622	3648	2331	1866	3766	3817	3980	3353	2273	1041	1284	2517	1815	2267	2707	2452	2598	1689	1527	1524	1369	1136	1625	39	40	2781	540	828	1099	798	852	4497	977	468	1365	1578	775	2290	2299	2093	0	0	2491	2012	1459	1570	2152	1782	1895	1664	1741	1775	1281	1176	2515	1819	2183	1865	1253	2811	1951	1804	2149	2033	1660	3214	2480	3094
0	1070	547	632	607	747	417	1057	634	446	945	746	715	707	680	552	1057	819	513	1336	781	680	1088	1335	1112	988	806	394	419	878	679	1108	959	831	807	551	333	348	620	468	656	0	0	1135	224	362	421	277	280	2629	465	216	747	757	337	803	787	711	0	0	975	688	558	767	808	703	754	593	691	674	487	498	1031	679	831	669	494	1567	890	712	837	711	530	1132	920	1015
