E6B1_1	E6B1_2	E6B2_1	E6B2_2	E6B2_3	E6B3_1	E6B3_2	E6B3_3	E6B4_1	E6B4_2	E6B4_3	E6B5_1	E6B5_2	E6B5_3	E6B7a_1	E6B7a_2	E6B7a_3	E6B7b_1	E6B7b_2	E6B7b_3	E6B7c_1	E6B7c_2	E6B7c_3	E6B7d_1	E6B7d_2	E6B7d_3	E6H1a_1	E6H1a_2	E6H1a_3	E6H1b_1	E6H1b_2	E6H1b_3	E6H2a_1	E6H2a_2	E6H2a_3	E6H2b_1	E6H2b_2	E6H2b_3	E6H3a_1	E6H3a_2	E6H3a_3	E6H3b_1	E6H3b_2	E6H3b_3	E6H3c_1	E6H3c_3	E6L1a_1	E6L1a_2	E6L1a_3	E6L2_1	E6L2_2	E6L2_3	E6N1_1	E6N1_2	E6N1_3	E6N2_1	E6N2_2	E6N2_3	E6OL_1	E6OL_2	E6OL_3	E6P1_1	E6P1_2	E6P1_3	E6P2_1	E6P2_2	E6P2_3	E6P3_1	E6P3_2	E6P3_3	E6P4_1	E6P4_2	E6P4_3	E6P5_1	E6P5_2	E6P5_3	E6P6_1	E6P6_2	E6P7_1	E6P7_2	E6P7_3	E6P8_1	E6P8_2	E6P8_3	E6P9_1	E6P9_2	E6P9_3
454	568	311	190	222	110	175	87	454	299	280	203	164	143	216	209	152	562	402	289	312	164	130	736	625	655	267	248	96	347	274	254	267	288	371	232	248	262	346	319	390	270	287	513	377	1795	960	190	133	319	288	344	1339	265	92	131	157	102	224	195	168	294	242	191	88	222	191	217	175	213	401	249	314	284	207	296	257	162	396	299	271	561	311	228	216	140	128
753	1220	1427	1008	1504	514	853	485	1934	1201	1688	1004	740	579	1009	1065	927	2504	1892	1617	1273	751	775	3453	2956	2738	1270	1190	515	1755	1162	1350	1237	1246	1500	991	1214	1261	2050	1375	1929	1598	1582	2395	2448	2924	3542	849	718	1522	1481	1793	4424	1415	509	734	949	639	938	1045	916	1200	972	795	618	1070	892	858	734	1369	1773	1150	1680	1311	986	1441	907	550	1874	1396	1235	1771	1179	1214	799	703	600
255	1737	3806	2935	3930	1406	2300	1377	5521	3965	4946	2537	2071	1819	2736	2587	2287	7063	5496	4602	3595	2622	2076	5402	4808	4470	3083	2381	1176	4442	2719	3755	3519	3609	4279	2849	3677	3490	5104	4043	4571	4706	4465	6788	8698	2259	6572	1667	1540	4064	4044	5296	10134	3011	1466	2015	2733	1666	2420	2684	2123	3526	2973	2727	1789	2942	2696	2038	1966	3050	4755	3474	4684	3549	2965	3795	2285	1658	5083	4155	3826	3923	3454	3261	1889	1562	1608
44	1665	5107	3845	5059	1800	2865	1821	7422	5505	6566	3404	2774	2435	3593	3327	2706	9586	7505	6057	4548	3293	2641	2442	2056	1843	4256	2957	1501	5897	3532	4991	5389	5294	6046	4099	4807	4895	6541	5426	5724	6334	6075	9666	2986	722	6838	1717	2061	5724	5280	6996	12098	3578	1932	2690	3554	2075	3118	3415	2571	4782	4173	3881	2531	3887	3670	2859	2794	3808	6452	4986	6084	4761	3979	5005	2965	2236	6968	5634	5205	5359	5051	4530	2621	2051	2009
0	2163	1568	1317	1347	620	1040	505	2859	2263	2116	1293	1010	880	979	939	733	3087	2379	1490	1598	1072	651	1273	1098	835	1822	1172	544	2753	1719	1933	2548	2407	2973	1838	2072	2052	2645	2183	1875	2033	1909	3310	810	70	2651	506	521	1923	1715	1990	5854	1192	499	783	990	523	1085	1041	628	2109	1702	1592	766	1181	1125	1063	934	1271	2444	1737	1798	1618	1266	1439	1161	932	2365	2047	1690	2824	2507	2250	1054	729	812
0	2992	1485	1314	1115	513	932	426	2607	2353	1938	1198	1003	835	794	807	659	2731	2186	1207	1539	1105	604	1696	1578	1091	1272	789	381	2028	1322	1358	2106	1904	2540	1451	1575	1707	2008	1784	1297	1606	1559	2698	162	0	2171	319	413	1721	1596	1792	6033	814	429	751	957	452	1032	903	495	2163	1731	1714	655	980	1092	823	933	1134	2307	1620	1635	1471	1077	1366	964	891	2217	1733	1541	2084	1889	1639	886	594	701
0	2913	1491	1395	1141	577	823	387	2860	2448	2022	1194	1018	917	872	843	696	2900	2398	1350	1559	1240	689	1656	1550	1077	381	214	89	494	310	258	645	533	686	606	490	479	791	650	581	1175	1146	2018	49	0	1936	304	421	1705	1575	1836	6397	850	563	922	1203	597	986	817	469	1981	1694	1711	769	1074	1206	837	978	1143	2219	1549	1696	1612	1201	1544	834	834	2218	1733	1536	631	576	396	621	519	538
0	858	873	611	603	320	500	213	1724	1383	1260	609	576	608	631	602	515	1610	1252	773	810	643	355	657	636	459	154	92	50	229	181	162	390	324	497	352	340	331	488	508	408	1046	1080	1688	0	0	1113	161	233	868	768	890	4851	745	495	764	976	538	504	392	280	938	798	734	557	669	752	403	482	604	1129	728	775	1058	722	991	397	372	1468	890	803	342	332	224	387	300	301
39	248	339	240	245	123	189	62	629	521	444	200	204	179	216	253	213	707	424	291	375	266	148	220	231	162	53	35	0	69	65	71	117	511	160	109	99	119	141	157	154	372	393	533	0	0	473	78	107	325	275	378	1805	236	191	308	286	181	171	137	108	357	266	294	178	309	233	124	187	195	473	219	312	378	213	329	165	124	492	308	273	122	97	48	155	93	102
