E6L2_3	E6B5_3	E6B7d_3	E6H1a_3	E6H1b_3	E6H2a_3	E6H2b_3	E6H3a_3	E6H3b_3	E6N1_3	E6N2_3	E6OL_3	E6B1_1	E6B1_2	E6B1_3	E6B2_1	E6B2_2	E6B2_3	E6B3_1	E6B3_2	E6B3_3	E6B4_1	E6B4_2	E6B4_3	E6B5_1	E6B5_2	E6B7a_1	E6B7a_2	E6B7a_3	E6B7b_2	E6B7b_3	E6B7c_1	E6B7c_2	E6B7c_3	E6B7d_1	E6B7d_2	E6H1a_1	E6H1a_2	E6H1b_1	E6H1b_2	E6H2a_1	E6H2a_2	E6H2b_1	E6H2b_2	E6H3a_1	E6H3a_2	E6H3b_1	E6H3b_2	E6L1a_1	E6L1a_2	E6L1a_3	E6L2_1	E6L2_2	E6N1_1	E6N1_2	E6N2_1	E6N2_2	E6OL_1	E6OL_2	E6P10_1	E6P10_2	E6P10_3	E6P1_1	E6P1_2	E6P1_3	E6P2_1	E6P2_2	E6P2_3	E6P3_1	E6P3_2	E6P3_3	E6P4_1	E6P4_2	E6P4_3	E6P5_1	E6P5_2	E6P5_3	E6P6_1	E6P6_2	E6P6_3	E6P7_1	E6P7_2	E6P7_3	E6P8_1	E6P8_2	E6P8_3	E6P9_1	E6P9_2	E6P9_3
2313	1273	1105	202	880	1885	1928	946	1091	606	1152	960	452	421	269	1762	1308	1069	1289	1030	819	2540	959	1801	1050	829	768	638	418	1944	1728	1181	1225	981	938	991	309	250	903	910	1635	1659	1375	1365	1340	1112	1601	1104	136	301	143	3180	1870	942	825	1869	1449	1393	735	345	309	290	1401	1184	1310	913	990	1183	678	661	595	1199	924	661	1518	1153	1207	437	471	310	2324	2043	1760	873	969	449	1377	1155	1593
2962	2728	2253	507	1598	3459	3812	2063	2339	1184	2499	1824	873	870	553	3649	2625	2221	2509	2133	1846	5697	2010	4141	2411	1718	1403	1263	829	3963	3793	2589	2521	1934	1842	2104	648	626	2085	1848	3316	3113	3059	2779	2490	2185	3351	2265	285	524	278	4150	2518	1956	1750	3915	3170	2806	1493	694	485	636	2728	2451	2749	1973	2261	2600	1283	1342	1162	2366	1882	1412	2762	2369	2571	870	1063	643	4555	4498	3449	1703	1980	882	2894	2351	3082
3139	4812	3564	854	2860	6638	5790	3344	3757	2035	4891	3187	1657	1764	1217	6187	5234	4404	4406	4421	3401	10285	3482	7782	4437	3566	2754	2539	1542	8386	6868	5059	4946	3740	3874	3828	1396	1188	3555	3589	6214	5254	5786	5295	4870	3845	5970	4339	489	935	542	4531	2743	3932	3746	7959	5677	5329	2875	1391	906	1054	4581	5147	5040	3208	4194	4531	2183	2626	2272	4102	4109	2551	4798	5080	5023	1459	2020	1275	8449	8853	7017	3216	3682	1801	5556	4315	5967
2813	7662	5758	1478	4431	10474	9245	5629	6747	3648	8310	4177	2700	3010	1927	9778	8654	7373	6890	7369	5644	16447	5730	12926	7217	5887	4577	4320	2493	13754	11387	8206	8309	6390	6249	5898	2228	2155	5815	5373	9951	8103	9296	8460	7720	6514	10026	7629	733	1369	921	4350	2613	6859	6267	12935	9694	7151	4155	2360	1393	1641	6976	8560	8143	5194	6953	7483	3485	4368	3534	6432	6880	4333	7790	8644	7683	2029	3326	1961	13310	14251	11329	4602	5103	2765	8455	6982	8853
1920	9402	6765	1855	5061	12162	10863	6937	8974	4646	10434	4332	3240	3727	2260	11966	10644	9288	8452	9001	6996	19816	6944	16013	8880	7282	5631	5326	3207	16859	14257	10032	10114	7660	7898	7004	2657	2688	7062	6239	11944	9353	10953	9830	9172	7961	12745	9873	828	1555	1136	3350	1988	8856	7963	16183	12671	7596	4647	2868	1688	1912	8309	10676	9553	6369	8579	9255	4244	5455	4232	7703	8424	5474	9543	10722	9175	2281	3989	2332	15985	17263	13738	5042	5329	3192	9794	8286	10023
1172	8412	6142	1785	4557	10481	9938	6348	8557	4527	10804	3502	2942	3438	1945	11118	9973	8807	7841	8336	6455	17712	6327	14842	8269	6831	5030	4985	3014	15729	13551	9188	9075	7127	7383	6171	2455	2455	6276	5333	10723	8124	9434	8485	8336	7386	12110	9588	695	1390	1039	1910	1051	8822	7699	15752	12255	6280	3908	2599	1429	1605	7636	10002	8675	5851	7838	8699	3939	4946	3820	6734	7936	5284	8778	10104	8317	1923	3559	2165	14517	15842	12839	4108	4173	2766	8473	7458	8503
613	5363	4005	1207	2719	6044	5943	3995	5629	3102	7556	1941	1794	2157	1060	7042	6619	5554	5263	5112	4072	10884	3755	9519	5197	4522	3075	3216	1993	10173	8924	5855	5826	4277	4710	3755	1544	1544	3546	2947	6544	4837	5331	4783	4895	4498	8099	6497	385	848	688	973	563	6330	5273	10955	8469	3661	2287	1592	734	863	4505	6715	5311	3726	4812	5672	2677	3185	2413	3848	5013	3493	5631	6613	5355	1137	2109	1372	9126	9986	8324	2272	2076	1445	5006	4256	5020
222	2209	1748	462	1075	2370	2278	1617	2104	1414	3253	897	613	836	411	3168	2440	2130	2236	2096	1569	4570	1469	4068	2169	1714	1178	1191	725	3875	3669	2246	2402	1611	1884	1480	606	583	1240	1184	2543	1911	1917	1801	1448	1462	2756	2419	88	279	238	390	208	2620	2208	4430	2954	1554	984	645	198	224	1931	2514	2049	1525	1935	2355	1012	1121	733	1538	1628	1212	2106	2476	1812	443	872	496	3893	3249	3103	1012	844	605	1973	1817	2014
56	790	550	149	400	698	777	443	720	416	1100	293	184	292	96	949	830	586	588	646	572	1532	424	1124	814	585	367	341	203	1112	1027	807	666	463	555	524	219	217	414	356	899	462	588	524	377	356	824	670	0	74	72	104	64	874	703	1338	880	541	274	271	58	66	522	656	610	459	705	638	347	398	207	457	439	408	689	702	619	151	312	187	1248	1060	964	302	276	178	615	499	520
