E6H2a_3	E6P5_1	E6B7d_3	E6H1b_3	E6N1_3	E6N2_3	E6P6_1	E6P8_1	E6B1_1	E6B1_2	E6B1_3	E6B2_2	E6B2_3	E6B3_1	E6B3_2	E6B3_3	E6B4_2	E6B4_3	E6B5_1	E6B5_2	E6B5_3	E6B7a_1	E6B7a_2	E6B7a_3	E6B7c_1	E6B7c_2	E6B7d_1	E6B7d_2	E6H1a_1	E6H1a_2	E6H1a_3	E6H1b_1	E6H1b_2	E6H2a_1	E6H2a_2	E6H2b_1	E6H2b_2	E6H3a_1	E6H3a_3	E6H3b_1	E6H3b_2	E6H3b_3	E6H3c_1	E6H3c_2	E6L1a_1	E6L1a_2	E6L1a_3	E6L2_2	E6L2_3	E6N1_1	E6N1_2	E6N2_1	E6N2_2	E6OL_1	E6OL_2	E6OL_3	E6P10_1	E6P10_2	E6P10_3	E6P1_1	E6P1_2	E6P1_3	E6P2_1	E6P2_2	E6P2_3	E6P3_1	E6P3_2	E6P3_3	E6P4_2	E6P4_3	E6P5_2	E6P5_3	E6P6_2	E6P6_3	E6P7_2	E6P7_3	E6P8_2	E6P8_3	E6P9_1	E6P9_2	E6P9_3
573	743	657	855	124	98	158	940	754	0	249	407	387	975	553	255	678	1003	296	347	946	397	358	489	2905	1740	342	694	734	79	583	873	382	537	501	1002	332	655	931	359	367	437	119	0	478	83	0	573	118	185	0	155	84	1054	353	1047	809	739	381	810	388	225	248	207	349	563	77	223	784	879	741	659	0	319	271	409	165	260	430	305	186
1655	1788	3031	2777	2317	2024	640	3282	3633	459	1885	1000	1856	3299	3180	1160	2837	3950	1475	1626	3704	2558	1805	2470	7452	4788	1439	2589	3088	404	2199	3525	1592	2034	1765	3601	1586	1797	3620	1251	2328	2907	491	363	2460	376	143	1982	317	2102	1205	1945	1099	3106	1341	3203	2873	2161	1772	2932	1842	984	1709	1759	1551	2151	255	597	2076	2776	2372	2844	381	1778	1149	2047	874	992	1443	1569	828
9166	6096	16257	13947	12938	11908	2318	15721	15892	1995	8144	5577	7516	15047	13414	4798	10810	15724	6351	7134	14452	13601	9250	11963	22241	14271	9246	14598	14112	1335	10176	14216	7510	11193	10624	13581	6096	12943	16879	9953	12514	15565	3836	2171	14714	3360	1240	7795	2157	15507	8508	14236	8961	8435	4485	9368	12200	9089	8897	14937	10884	5710	9496	11704	10381	12302	2359	4224	8526	10519	9283	10665	1647	7063	7594	11229	3151	4394	5619	6058	3060
18094	11874	29800	24275	23719	21836	4451	27646	26673	3785	14671	10754	13703	26973	23904	8743	20109	28434	12051	12993	26106	24491	17362	21474	29972	23203	17758	26439	23820	1976	18018	26134	14891	21674	20443	23692	10919	25102	29857	20379	22611	28603	6796	3510	26028	6858	2591	14203	4140	29518	15708	26498	17070	14044	8075	16302	22765	16908	16540	27936	20867	11179	17631	22794	19900	22649	4943	7718	15029	18555	16812	18671	2950	12796	15751	21461	6072	8279	10764	10833	5202
6729	4836	8968	9150	4675	4243	1311	9300	6836	1168	4007	3349	4318	7738	6728	2418	6451	8739	3321	3779	7851	6249	4264	5464	8692	5460	5516	8130	8563	847	7276	9496	5662	8025	6987	8689	3991	7684	10015	5470	6075	7375	1487	1098	6759	1949	730	5040	1549	5730	3238	5350	3435	3877	2204	4754	8779	6930	5119	8775	6176	3201	4189	5484	4709	7757	1432	2312	6384	6809	6383	6513	1127	3601	4544	6300	2125	2804	4129	3184	1793
4993	2869	5282	6338	2358	2312	555	6052	3428	572	1917	1686	2094	4181	3135	1191	3377	4551	1616	1809	3997	2842	1930	2593	2535	1836	2979	4770	5517	592	5348	6383	3964	5322	4559	4824	2358	4565	6434	3100	3332	3886	409	581	3737	1124	489	2636	884	2971	1501	2609	1574	942	685	1731	5671	4424	3018	5384	3636	2004	2409	2722	2618	5561	1049	1539	3935	3942	3378	3521	532	1787	2792	3744	1442	1904	2490	1707	1064
2597	893	2484	3240	1895	2034	199	2762	1701	188	998	489	728	1868	1149	504	988	1555	673	647	1675	1377	957	1366	1610	1045	1096	1903	2574	223	2661	2871	1851	2445	2060	1495	712	1901	3066	1562	1616	1915	135	297	2227	501	323	695	246	2235	1132	1952	1128	400	140	646	2597	1928	1450	2595	1588	977	1424	1410	1635	2903	563	789	1553	1629	1028	1109	146	760	1210	1771	713	873	900	681	504
620	474	756	1034	1088	1407	82	730	1042	112	531	213	397	1108	615	270	483	724	300	336	871	893	607	822	939	678	346	616	685	0	811	687	533	634	603	458	226	683	1202	770	771	890	101	148	1145	217	76	323	71	1586	716	1278	776	233	155	361	830	576	398	969	496	383	919	652	945	1004	149	299	468	596	424	556	68	333	409	855	184	283	400	268	232
