C77-A_1	C77-A_2	C77-A_3	C77-B_1	C77-B_2	C77-B_3	C77-C_1	C77-C_2	C77-C_3	C77-D_1	C77-D_2	C77-D_3	C77-G_1	C77-G_2	C77-G_3	C77-H_1	C77-H_2	C77-H_3	C77-J_1	C77-J_2	C77-J_3	C77-K_1	C77-K_2	C77-K_3
1503	831	1598	1292	1079	1140	1348	1573	1313	1273	1604	1788	757	537	632	687	812	907	1551	1731	1261	1447	1380	1614
4188	3042	5043	4399	3765	3822	4803	4721	4959	4179	5530	5409	1869	1568	1961	1628	2372	2614	5318	5587	4625	5194	5356	5595
6042	5051	7349	6918	5366	5728	8282	9605	8905	7860	9836	9328	2381	2794	2834	2662	3643	3385	9514	10013	8718	9151	9761	9832
6154	5245	6805	6587	5016	5394	8505	10570	9241	8313	9994	9390	2024	2988	2583	2946	3781	3078	10023	10202	9316	9641	10539	9731
4063	3361	4094	4501	3190	3199	5399	7680	6331	5698	6780	6614	1264	1947	1816	2130	2744	1514	6567	6810	6297	6782	6721	6635
3527	2964	3207	3782	2517	2498	4546	6827	5239	5159	5711	5980	1075	1748	1447	1889	2411	1088	5895	5815	5402	5972	6066	5810
2744	2351	2650	3118	1924	1912	3315	5628	3939	4466	4657	4636	1010	1447	1054	1517	1889	883	4976	4772	4683	5121	5091	4982
1764	1305	1639	1741	1179	1159	1977	3566	2367	2636	2849	3175	635	861	591	928	1251	434	3277	3022	2891	2798	2917	2799
