E2P5_1	E2L4_1	E2L4_2	E2X2_1	E2P10_1	E2P9_1	E2B2a_1	E2X3_1	E2P10_2	E2P9_2	E2B2a_2	E2X3_2	E2P10_3	E2P9_3	E2B2a_3	E2X3_3	E2P2_1	E2P1_1	E2B2b_1	E2A1a_1	E2P2_2	E2P1_2	E2B2b_2	E2A1a_2	E2P2_3	E2P1_3	E2B2b_3	E2A1a_3	E2P3_1	E2L1_1	E2B2c_1	E2A1b_1	E2P3_2	E2L1_2	E2B2c_2	E2A1b_2	E2P3_3	E2L1_3	E2B2c_3	E2A1b_3	E2P4_1	E2L2_1	E2B3a_1	E2A2a_1	E2P4_2	E2L2_2	E2B3a_2	E2A2a_2	E2P4_3	E2L2_3	E2B3a_3	E2A2a_3	E2L3_1	E2B3b_1	E2A2b_1	E2P5_2	E2L3_2	E2B3b_2	E2A2b_2	E2P5_3	E2L3_3	E2B3b_3	E2A2b_3	E2P6_1	E2B3c_1	E2N1_1	E2P6_2	E2B3c_2	E2N1_2	E2P6_3	E2L4_3	E2B3c_3	E2N1_3	E2P7_1	E2B1a_1	E2X1_1	E2N2_1	E2P7_2	E2B1a_2	E2X1_2	E2N2_2	E2P7_3	E2B1a_3	E2X1_3	E2N2_3	E2B1b_1	E2N3_1	E2P8_2	E2B1b_2	E2X2_2	E2N3_2	E2P8_3	E2B1b_3	E2X2_3	E2N3_3
499	94	104	572	302	347	300	523	356	281	746	250	500	353	549	669	402	185	266	314	298	184	301	577	407	264	351	618	380	185	147	537	364	277	354	354	492	240	363	463	146	276	161	329	230	298	255	383	368	375	401	461	163	319	362	193	194	337	552	562	218	492	513	212	398	239	327	340	221	439	40	505	297	516	423	636	374	445	304	515	255	597	369	504	379	388	242	347	564	536	214	398	300	463	259
1075	401	320	1879	1119	1274	1039	1624	1449	924	2272	1266	1703	1515	2059	2232	1288	657	989	1597	1213	820	1204	1837	1455	1049	1513	2261	928	662	724	2077	1506	1163	1203	1418	1690	1095	1231	1924	613	959	1171	1249	852	1116	1109	1495	1211	1328	1451	1752	637	1283	1518	932	831	1439	1961	1700	891	1769	2024	992	1457	995	1197	1470	822	1476	290	1766	1346	1457	1293	2007	1431	1470	1519	1625	923	1905	1194	1898	1327	1338	828	1455	1801	1699	1001	1504	1274	1801	1317
2963	1227	1229	7050	4176	4613	4055	5814	6044	3581	8963	5431	6876	5853	7577	8342	4775	2304	3879	6465	4830	3352	4855	6816	5442	4123	5152	8774	3004	2279	2934	8046	5823	4245	4460	6108	6665	4569	4266	6914	2641	3297	4845	4802	3297	4397	4583	5534	4612	5546	4989	7027	2060	5363	5848	3743	3104	5739	7345	6543	3986	6974	8430	3926	5552	3620	5019	6148	3580	5686	1398	7187	5313	4106	4330	7397	5330	5238	6278	6019	3571	7031	4771	6859	4727	4317	3253	6274	6717	6248	4340	5450	5371	6392	4832
6469	2737	2504	16620	9927	11087	9753	13118	14521	8663	21062	12960	16406	13702	18457	19141	11671	5689	9340	16250	11650	8010	11979	17327	13299	10002	13001	22230	6663	5754	7687	19574	13570	10529	11244	14578	15823	10730	11204	17665	6366	7961	10978	11020	8276	10522	10416	12623	10780	13248	11150	16032	4954	12015	13025	8704	7750	12789	16480	16150	9091	16408	18297	9299	12080	8530	11774	12893	8875	13540	3086	15524	12711	9328	10527	17920	12155	12552	14864	14637	8603	16817	11397	17425	11226	10596	7789	14940	15451	14179	10333	12672	12419	15437	11731
8428	3403	2827	21424	13056	14780	12971	16943	19116	11033	27583	16404	22438	17063	24515	24704	14966	7260	12075	22003	15457	10174	16094	23377	17326	12904	17522	27373	8569	7412	10429	27003	17400	13610	15456	19794	21220	13610	15367	23870	8260	10352	13702	12773	10801	13542	12940	14855	13906	17178	13660	18897	6511	14620	15647	11493	10152	15492	19044	21851	11513	19655	20899	12085	13733	10919	15865	14913	11486	17968	3669	17684	16764	11984	14049	23830	16112	16360	19639	20040	11265	22073	14987	23116	14572	13630	9964	19422	19983	18614	13198	16251	16199	20074	14830
6595	2551	2095	16260	9842	11328	9905	12915	14856	8817	21495	12316	16979	13097	18831	19016	11759	5492	9115	16906	11970	8036	12530	17697	13232	9831	13564	22646	6593	5372	8330	20823	13555	10600	12136	15061	16553	10609	12281	18149	6156	8004	9441	8628	8704	10467	9154	9994	11038	13121	9649	12164	5022	9595	10327	9159	7783	10142	12880	17046	9090	13205	13876	9256	9213	8329	12582	10055	9340	13693	2611	11630	13165	9140	10918	19002	12078	12450	15156	15657	8504	16909	11530	18350	11160	10193	7460	15112	14838	14626	9984	12595	12498	15724	11250
1693	816	450	4417	2518	2665	2686	3794	3709	2375	6172	3236	4606	3527	5020	4904	3085	1528	2307	4686	3044	2387	3633	5168	3565	2954	3488	5624	1744	1434	2473	6298	4057	3107	3384	4201	4258	2811	3521	4679	1438	2435	2494	2350	2514	3044	2439	2721	3089	3659	2304	2863	1365	2390	2699	2488	2408	2225	3570	4904	2594	3087	3446	2389	2249	2325	3408	2236	2804	3941	591	2890	3290	2278	2891	4854	3332	3319	3899	3959	2339	4704	2916	4778	2697	2504	1921	3953	4231	3724	2713	3283	3135	4182	2729
281	187	96	718	396	308	419	444	661	322	798	483	725	597	889	818	506	345	453	711	456	336	416	742	539	317	584	1120	280	205	407	1028	508	428	583	512	694	374	703	865	216	601	406	210	383	407	367	389	373	614	280	505	225	402	390	337	352	370	537	754	281	326	736	311	357	331	481	401	411	595	0	535	539	501	442	898	629	460	686	582	267	868	463	736	492	482	244	652	536	588	501	529	498	888	511
