E2P10_1	E2P9_1	E2B2a_1	E2X3_1	E2P10_2	E2P9_2	E2X3_2	E2P10_3	E2P9_3	E2X3_3	E2P2_1	E2P1_1	E2B2b_1	E2P2_2	E2P1_2	E2P2_3	E2P1_3	E2B2b_3	E2P3_1	E2L1_1	E2B2c_1	E2P3_2	E2L1_2	E2B2c_2	E2P3_3	E2L1_3	E2B2c_3	E2L2_1	E2B3a_1	E2P4_2	E2L2_2	E2B3a_2	E2P4_3	E2L2_3	E2B3a_3	E2A2a_3	E2P5_1	E2L3_1	E2A2b_1	E2P5_2	E2L3_2	E2P5_3	E2L3_3	E2A2b_3	E2P6_1	E2L4_1	E2B3c_1	E2P6_2	E2L4_2	E2B3c_2	E2N1_2	E2P6_3	E2L4_3	E2B3c_3	E2N1_3	E2P7_1	E2B1a_1	E2X1_1	E2P7_2	E2B1a_2	E2X1_2	E2P7_3	E2B1a_3	E2X1_3	E2B1b_1	E2X2_1	E2X2_2	E2N3_2	E2B1b_3	E2X2_3	E2B2a_2	E2B2a_3	E2A1a_1	E2B2b_2	E2A1a_2	E2A1a_3	E2A1b_1	E2A1b_2	E2A1b_3	E2P4_1	E2A2a_1	E2A2a_2	E2B3b_1	E2B3b_2	E2A2b_2	E2B3b_3	E2N1_1	E2P8_1	E2N3_1	E2P8_2	E2B1b_2	E2P8_3	E2N3_3
990	858	1136	1068	485	701	686	1180	843	1336	1396	1063	1006	1138	535	1276	863	1341	777	896	922	688	431	592	662	472	800	1156	1215	465	577	596	738	414	546	1131	975	549	944	528	283	504	267	638	1151	335	632	559	233	432	510	902	268	525	761	1130	1152	674	713	839	138	510	907	553	1862	949	287	1210	1362	637	892	1139	1031	1002	947	1345	1035	796	976	1053	845	689	1262	473	672	687	768	1034	1340	509	1322	837	1660
2688	2577	3270	3203	1541	2048	1910	3577	2579	3437	3778	3026	3273	2818	1581	3641	2665	3538	2419	2554	2917	1749	1296	1512	1839	1392	2437	2837	3239	1113	1603	1739	1954	1229	1707	3175	2420	1901	2657	1344	773	1620	838	1837	3345	974	2102	1635	613	1350	1501	2291	714	1351	2028	3237	3197	2193	1960	2508	605	1535	2986	1622	4277	2926	922	2894	3960	1881	2531	3740	3133	2981	2899	3983	2822	2472	2934	2631	2224	1919	3837	1575	1832	1863	2083	2262	3155	1441	3143	2404	4220
6648	5694	6923	7418	4066	4619	4747	8363	5444	7764	7736	6977	7247	6403	4067	7706	6391	7560	5462	5716	7287	4527	3191	3976	4438	3160	5307	6851	7829	2432	3674	4565	4221	2591	3784	6838	5071	4087	6425	3057	1992	3899	2031	4615	6992	2154	4777	4551	1100	3297	2996	5341	1627	3135	4377	6721	7195	5582	4712	5653	2070	3485	6621	3150	9054	6328	2471	5641	8005	3752	5731	7820	7623	5992	6722	8250	6745	5872	7411	5777	5037	5208	9187	3934	4947	4685	4786	5058	7115	3621	6351	5002	8216
10328	8992	10615	12089	6710	7590	7914	13567	9071	12758	11674	11734	11592	9195	6955	11196	10688	11742	9090	9264	11919	7379	5266	6804	7797	5445	8519	10376	12896	4367	5823	7367	7227	3831	6603	11544	8306	7150	10898	5112	3555	6520	3373	7506	11103	3349	7990	7675	1944	5513	5284	8708	2599	5155	6834	10588	11990	9009	7465	9547	3785	5473	11415	5377	13414	9747	4140	8365	12432	5675	8982	12399	12971	9949	10958	13273	11109	10024	12265	9620	8287	8490	15977	6790	8309	7896	8016	8162	11179	6118	9937	9079	12763
12134	10125	11407	13677	7859	8561	9421	15092	10506	14624	12203	14006	12778	9345	8152	11305	12653	13774	10598	10518	14133	8635	6044	8186	9354	6337	10442	12238	15563	5626	6470	8435	9648	4077	8010	13449	9823	8436	12860	6087	4501	7451	4043	9150	12815	3800	9112	9196	2326	6407	6421	10335	2902	6291	8108	11433	14176	10490	8188	11166	4673	5871	13267	6256	15224	10692	4957	9368	13669	6314	10230	13907	15274	11364	12623	16590	13347	11929	14470	11406	10165	10095	18758	8157	10069	9856	9537	9256	12042	7268	11502	10864	14403
10192	8899	9413	11692	7091	7409	7993	13225	9626	12110	10028	12464	11453	6930	7647	8538	10918	12067	9638	8957	12640	7770	5111	7366	8853	5719	9210	11131	13284	5658	5732	7697	9425	3275	7405	12486	9437	7762	11191	5260	3999	6889	3603	7995	11097	3121	7797	8399	2027	5384	5693	9046	2309	5426	7257	9892	12513	8856	7023	10279	4148	4950	12451	5605	12673	9134	4473	7815	11987	5469	8760	12067	13027	9534	10986	14856	11601	10138	12704	10550	9092	9218	17250	7015	8689	8911	8897	8293	10697	6449	9599	10295	12382
6273	5331	6006	7220	4386	4234	5105	7884	6150	6498	5933	7877	8140	3767	4806	4770	7223	8825	6374	5708	8287	4702	3191	4569	6001	3526	6231	6719	8531	4296	3654	4962	7574	1759	4796	8061	6133	4805	7284	3147	2472	4440	2384	5516	7128	2083	4847	5404	1325	3237	4241	5767	1481	3694	5024	6443	8696	5175	4201	6804	2457	2897	7933	3365	8018	5434	2748	5474	7377	3713	5989	8397	8386	6559	7018	9559	7031	6660	7784	7888	5711	5519	11084	4356	4998	6181	6449	5178	6944	3988	6020	6332	8638
3230	2593	3079	3107	1937	2091	2173	3696	2904	3038	2954	3630	5007	2163	2165	2567	3601	5556	2928	2684	4391	2051	1318	2075	2880	1628	3203	3515	4506	2712	1874	2585	5065	777	2605	3954	3239	2441	3421	1285	954	1998	1102	2805	3349	1194	2165	2523	621	1415	2568	2754	788	1819	3297	3303	4541	2370	1761	3514	819	1321	4286	1617	4445	3152	1394	3501	3703	1983	2821	4380	3659	3576	3215	4595	3452	2990	3862	4996	2884	2569	5470	1998	2230	2966	4362	2896	4733	2110	3070	3316	5960
1001	885	875	1138	654	581	744	1282	1104	906	1334	1136	2112	971	682	1072	1084	2464	1261	991	1540	797	418	602	1221	539	1264	1545	1842	1211	713	944	2317	287	1163	1581	1162	665	953	366	258	695	338	923	1369	605	720	959	197	437	1423	956	341	667	1775	1239	1625	691	473	1230	176	346	1503	522	1495	1410	474	1792	1336	713	998	1410	1247	1536	1053	1774	1354	869	1385	2562	1101	947	1655	519	695	1009	2092	1280	2601	788	1036	1179	3305
