E2P10_3	E2P9_3	E2P2_3	E2P1_3	E2P3_3	E2L1_3	E2A1b_3	E2P4_3	E2L2_3	E2B3a_3	E2A2a_3	E2L3_2	E2P5_3	E2L3_3	E2B3b_3	E2A2b_3	E2L4_1	E2L4_2	E2P6_3	E2B3c_3	E2P7_3	E2B1a_3	E2X1_3	E2B1b_3	E2X2_3	E2N3_3	E2P10_1	E2P9_1	E2B2a_1	E2X3_1	E2P10_2	E2P9_2	E2B2a_2	E2X3_2	E2B2a_3	E2X3_3	E2P2_1	E2P1_1	E2B2b_1	E2A1a_1	E2P2_2	E2P1_2	E2B2b_2	E2A1a_2	E2B2b_3	E2A1a_3	E2P3_1	E2L1_1	E2B2c_1	E2A1b_1	E2P3_2	E2L1_2	E2B2c_2	E2A1b_2	E2B2c_3	E2P4_1	E2B3a_1	E2A2a_1	E2P4_2	E2L2_2	E2B3a_2	E2A2a_2	E2P5_1	E2L3_1	E2B3b_1	E2A2b_1	E2P5_2	E2B3b_2	E2A2b_2	E2B3c_1	E2N1_1	E2P6_2	E2B3c_2	E2N1_2	E2N1_3	E2P7_1	E2B1a_1	E2X1_1	E2P7_2	E2B1a_2	E2X1_2	E2B1b_1	E2X2_1	E2N3_1	E2B1b_2	E2X2_2	E2N3_2	E2P8_3
517	706	229	249	198	164	277	230	330	236	248	386	168	67	155	197	303	120	201	127	247	221	269	234	207	464	774	1427	706	656	735	721	733	607	601	576	997	784	852	945	721	580	689	612	563	705	800	733	716	797	598	436	492	599	346	866	761	649	498	739	561	435	772	962	759	694	576	507	523	822	1014	512	444	731	389	1060	970	1346	630	464	793	1031	1352	1296	567	873	796	381
1567	1855	748	800	665	487	775	628	799	775	755	1100	452	262	468	638	791	293	571	303	555	599	620	679	683	1212	2249	3872	2188	1996	1972	2121	2148	1732	1591	1359	2787	2363	2353	2735	2066	1580	1787	1721	1531	1893	2261	2062	2095	2265	1540	1189	1330	1416	917	2650	2006	1891	1344	1996	1357	1356	2473	2415	2431	1780	1508	1342	1326	2075	2927	1503	1380	2025	1190	3032	2518	3534	1734	1386	2195	2916	3979	3383	1438	2178	2171	1012
3491	4360	1793	1750	1288	1021	1972	1300	1986	1559	1689	2785	1096	491	1052	1431	1735	651	1470	678	1310	1335	1483	1596	1712	2965	6151	9743	5422	5429	5099	5678	5619	3950	3993	3087	6478	5485	6001	6602	5394	4228	4860	4551	3688	4294	5480	5298	5585	5489	3862	2982	3499	3711	2249	6856	5159	4570	3632	5212	3519	3506	5732	5698	5585	4650	3712	3404	3191	5279	7284	4010	3389	4993	2564	7838	6144	8904	4617	3615	5894	7030	9792	8011	4039	6323	5844	2336
7231	8879	3929	4140	3217	2346	4108	3182	4100	3503	3401	5696	2391	1016	2360	3052	3518	1580	3217	1409	2976	3021	2828	3308	3221	6124	12976	19372	11342	10603	10616	12218	11506	8631	8048	6374	13968	12626	12428	13801	11328	9188	10530	8881	7498	8201	11592	10748	12529	11918	8374	6265	7612	7843	4624	13638	10703	10349	7809	11392	8086	7782	11703	11117	12141	9574	8332	7479	6562	10898	15581	8803	7835	11335	5948	16469	12636	16018	9492	7581	10947	13724	17525	17738	8368	11352	12267	4990
10348	12993	5817	6185	4724	3547	5965	4487	6312	5183	4987	8124	3480	1381	3452	4451	4695	2420	4838	2088	4323	4456	3687	4771	4274	9063	17651	26801	15599	14946	15675	17349	16360	12081	11836	9018	19286	18161	18081	18537	16393	13988	15574	12276	10719	11449	15937	15445	18045	17007	12169	9240	11170	11382	7029	18725	15797	14846	11341	16614	12037	10897	16860	15468	17122	13810	12190	11496	9507	15678	23045	13113	11277	16816	8730	23195	17471	19238	13935	10573	13372	19595	22389	24868	12045	14445	17761	7202
10712	12965	6064	6762	5085	3900	6014	4790	6405	5706	5154	8019	3672	1455	3882	4593	4406	2466	5084	2271	4363	4559	3226	4664	3996	9324	18560	26791	16016	14609	15701	17269	16550	12253	12233	9035	20093	19848	17889	18425	16512	14866	15694	12113	11110	11280	16535	15394	18520	16592	12485	9226	11679	11322	7315	19093	15892	15087	11477	16842	12112	11245	16633	15002	17997	13412	12240	11899	9593	15244	24036	13309	11637	17722	9374	23978	18131	16853	13766	10703	11901	19328	20029	26234	11781	12569	17620	7610
7013	8909	4239	4966	3492	2672	4005	3232	4682	3860	3458	4722	2455	947	2687	3045	2808	1824	3483	1517	2958	3045	1686	3000	2335	6447	11701	18186	10158	9445	10318	11096	10191	8021	8227	5925	13343	14160	12227	11160	10309	11239	10569	7419	7582	7324	10359	10121	12103	10868	7814	5968	7428	7317	4995	12781	10448	10222	7560	11359	8074	7240	11307	9695	11716	8867	8500	7821	6109	10269	15570	8956	7607	11524	6288	16167	11878	8499	9268	6718	5960	12265	11378	16585	7418	6840	11751	5046
2066	2284	1184	2027	1059	755	1307	892	1417	1196	1034	1143	719	210	787	916	855	707	1063	400	749	790	470	756	632	1991	3245	4468	2621	2710	2875	2646	2741	2077	2591	1573	3813	5544	3405	2849	2736	4413	3043	1873	2389	2289	3067	2590	3315	2961	2240	1633	2034	2129	1450	3652	3134	3056	1996	2964	2171	1747	3205	2554	3111	2698	2295	2201	1564	2742	4558	2498	1660	3150	1809	4682	3452	2231	2567	1762	1170	3333	2779	4778	1825	1608	2926	1369
