E2P10_1	E2P9_1	E2B2a_1	E2X3_1	E2P10_2	E2B2a_2	E2X3_2	E2P10_3	E2P9_3	E2P2_1	E2P1_1	E2B2b_1	E2A1a_1	E2P2_2	E2P1_2	E2B2b_2	E2A1a_2	E2P2_3	E2P1_3	E2B2b_3	E2A1a_3	E2P3_1	E2L1_1	E2B2c_1	E2A1b_1	E2P3_2	E2L1_2	E2B2c_2	E2A1b_2	E2P3_3	E2L1_3	E2B2c_3	E2A1b_3	E2P4_1	E2L2_1	E2B3a_1	E2A2a_1	E2P4_2	E2L2_2	E2B3a_2	E2P4_3	E2L2_3	E2B3a_3	E2P5_1	E2L3_1	E2B3b_1	E2A2b_1	E2P5_2	E2L3_2	E2B3b_2	E2A2b_2	E2P5_3	E2L3_3	E2B3b_3	E2A2b_3	E2P6_1	E2L4_1	E2B3c_1	E2N1_1	E2P6_2	E2L4_2	E2B3c_2	E2P6_3	E2L4_3	E2B3c_3	E2N1_3	E2P7_1	E2B1a_1	E2X1_1	E2P7_2	E2B1a_2	E2X1_2	E2P7_3	E2B1a_3	E2X1_3	E2P8_1	E2X2_1	E2N3_1	E2P8_2	E2B1b_2	E2X2_2	E2N3_2	E2P8_3	E2B1b_3	E2X2_3	E2N3_3	E2N1_2
2138	453	329	1376	1394	602	848	2240	545	423	141	857	2332	516	326	1654	1574	340	197	1344	866	951	251	933	842	335	395	997	784	402	294	711	713	1091	643	1097	170	859	1516	913	1298	829	561	1555	336	1660	1394	1432	1003	2130	1735	2235	620	1457	1527	1089	421	1454	1778	1352	313	1465	1698	298	1260	1601	533	1627	868	1367	1288	791	282	974	720	1277	1189	1286	1328	1796	293	1732	1148	1071	555	1167	2309
3817	930	608	3006	3593	1059	1824	4736	1034	846	301	2281	5634	966	541	3818	3459	850	314	2974	1258	1259	507	2261	1783	784	606	2259	1828	1049	450	1699	1477	2274	1014	2475	348	2084	2746	1947	3094	1811	1099	3669	589	4136	3349	3213	2435	4421	4183	5124	1388	4010	3503	2335	621	3011	4263	3421	728	3040	3896	693	2611	3437	1257	3411	1731	3249	3499	1932	698	2328	1680	1991	1662	3426	2122	3871	589	3538	1793	2166	865	1951	5291
7833	1865	1157	5853	8696	2470	4337	11267	1959	1655	563	5353	11192	1869	977	8989	7346	1949	683	7128	1819	1721	969	5392	3262	1671	1325	5739	3536	1965	796	3828	3204	4734	1674	5727	684	4916	6154	3997	7061	3643	2683	8117	1005	10149	7551	7947	5421	11470	10603	13141	3190	8957	8722	5597	829	7529	9683	7978	1569	8271	8383	1733	5948	8801	2716	7764	4102	8101	8554	4495	3055	5885	4096	2831	1939	7645	3047	9502	818	9228	3068	5241	1176	4328	12814
11344	2717	1638	8926	14828	3821	7041	18319	2699	2395	766	8963	16716	2787	1547	15105	10711	3177	981	11383	2322	2012	1404	8697	5244	3003	2196	8915	5535	3479	1183	6117	4617	6845	2150	9721	1279	7886	9511	6468	11824	5724	4286	11500	1309	16794	12369	11538	9917	19969	18334	19224	5193	15168	14033	8690	979	12121	15724	13153	2949	13965	13890	3031	9760	14245	4143	12570	6396	13830	14266	7267	4871	9984	6801	3398	1821	12627	3699	15184	902	15308	3878	8341	1367	6972	21773
11873	2924	1538	9841	16284	4121	7641	20441	2764	2533	805	9641	18336	3044	1708	17207	11441	3441	986	12302	2205	1838	1479	9453	5821	3383	2469	9741	6144	4096	1306	6709	5019	7117	2071	10989	1538	8514	10431	7158	13037	6265	4902	10160	1342	18337	13934	10261	11745	22610	19941	17716	5777	16504	15171	9530	892	13660	17576	14546	3590	15833	15636	3400	11276	15178	4435	14087	7061	15065	15738	7961	4843	10880	7563	3233	1476	13928	3385	16327	737	17328	3982	8898	1253	7956	24720
7336	1932	823	6867	10580	2685	5010	13640	1679	1651	510	6218	13568	2046	1127	11406	8217	2285	527	8044	1416	1019	913	6227	4316	2214	1687	6498	4446	2730	822	4462	3535	4399	1392	7335	1120	5470	7277	4745	8646	4219	3297	6027	976	12175	9540	5777	8436	15727	13702	10263	3813	10504	10240	6215	580	9115	11828	9544	2523	10976	10683	2326	7797	9844	2931	9487	4618	10174	10354	5240	2160	7286	5329	2087	917	9139	1825	11053	433	11770	2383	6038	744	5390	16711
2428	705	313	2269	3219	866	1541	4138	615	476	276	1848	5674	611	302	3439	3284	727	161	2691	644	462	233	2061	1800	765	460	1891	1672	794	181	1519	1399	1462	580	2555	488	1453	2626	1437	2584	1334	1064	2131	422	3959	3281	1743	2560	4955	4558	3559	1079	3262	3379	2125	258	2814	3917	2840	796	3435	3391	673	2592	3221	1033	3234	1529	3341	3296	1586	429	2286	1732	903	455	2932	774	3453	177	3546	893	1853	297	1783	5125
690	262	80	840	844	250	447	1185	235	119	126	517	2072	178	91	1152	1231	190	49	761	245	86	0	628	638	213	108	529	523	208	0	441	530	416	262	714	96	420	727	384	662	455	277	696	210	1101	969	507	854	1476	1318	1052	327	896	1008	655	125	971	1253	887	160	1150	963	190	752	875	354	917	429	901	921	426	98	691	553	288	151	923	233	1054	49	1182	268	598	82	532	1768
