E2P10_1	E2P9_1	E2B2a_1	E2X3_1	E2P10_2	E2P9_2	E2B2a_2	E2X3_2	E2P10_3	E2P9_3	E2B2a_3	E2X3_3	E2P2_1	E2P1_1	E2B2b_1	E2A1a_1	E2P2_2	E2P1_2	E2B2b_2	E2A1a_2	E2P2_3	E2P1_3	E2B2b_3	E2A1a_3	E2P3_1	E2L1_1	E2B2c_1	E2A1b_1	E2P3_2	E2L1_2	E2B2c_2	E2A1b_2	E2P3_3	E2L1_3	E2B2c_3	E2A1b_3	E2P4_1	E2L2_1	E2B3a_1	E2A2a_1	E2P4_2	E2L2_2	E2B3a_2	E2A2a_2	E2P4_3	E2L2_3	E2B3a_3	E2A2a_3	E2P5_1	E2L3_1	E2B3b_1	E2A2b_1	E2P5_2	E2L3_2	E2B3b_2	E2A2b_2	E2P5_3	E2L3_3	E2B3b_3	E2A2b_3	E2P6_1	E2L4_1	E2B3c_1	E2N1_1	E2P6_2	E2L4_2	E2B3c_2	E2N1_2	E2P6_3	E2L4_3	E2B3c_3	E2N1_3	E2P7_1	E2B1a_1	E2X1_1	E2P7_2	E2B1a_2	E2X1_2	E2P7_3	E2B1a_3	E2X1_3	E2P8_1	E2B1b_1	E2X2_1	E2N3_1	E2P8_2	E2B1b_2	E2X2_2	E2N3_2	E2P8_3	E2B1b_3	E2X2_3	E2N3_3
635	782	573	480	372	347	432	502	626	631	680	3161	507	483	545	577	352	419	488	608	446	600	716	812	692	456	353	472	171	337	364	557	580	407	595	414	709	738	517	434	425	464	442	351	538	535	541	417	725	340	600	532	365	199	410	490	434	277	533	461	468	0	489	543	207	124	378	361	246	85	610	608	772	574	572	469	291	473	399	418	590	716	685	508	582	540	472	445	383	349	460	575	596
796	1036	684	620	429	475	605	619	783	921	871	871	691	786	579	814	461	466	587	756	615	722	921	989	838	593	480	807	238	348	389	677	697	531	795	467	922	822	630	494	500	565	500	398	603	602	702	481	969	493	719	622	429	239	514	652	578	280	708	558	635	120	595	724	293	149	428	487	306	85	728	635	1056	757	677	599	373	588	615	501	731	934	861	736	775	735	638	613	533	524	552	793	743
1136	1497	1283	971	707	723	926	892	1209	1378	1404	751	1026	1190	836	1365	727	686	897	1196	989	1131	1365	1417	1255	855	866	1503	382	558	685	1040	1115	804	1088	728	1419	1269	942	842	736	950	828	741	918	896	1068	652	1293	792	1129	937	675	430	808	968	840	575	943	738	934	231	915	1204	420	224	647	680	555	210	1052	1023	1421	1037	1151	953	590	834	918	784	1154	1740	1597	1103	1244	1221	993	795	829	897	875	1194	1061
3071	4128	3236	2661	1898	2209	2289	2506	3287	3815	3561	2042	2691	3154	1968	3199	2150	2062	2271	2846	2646	3235	3258	3313	3405	2530	2050	3451	1007	1747	1602	2419	3133	2265	2865	1706	3556	3465	2501	1896	2078	2420	2050	1697	2534	2535	2817	1674	3426	2532	2618	2260	1607	1300	1830	2353	2124	1648	2344	1848	2588	689	2396	3043	1130	670	1623	1735	1411	591	2957	2503	4087	2578	2972	2528	1537	2255	2354	2233	3199	3922	3982	3171	3067	3091	2539	2319	2144	2067	2325	3301	2779
5758	8201	5382	5246	3767	4439	3849	4918	6411	7077	6484	3762	6068	6280	4856	6245	4192	4159	4502	5241	5362	6444	7207	7306	6499	5172	4258	6160	1921	3327	3145	4640	5521	4537	5946	3484	6761	7214	4838	3462	3985	4606	3951	2813	4766	4909	5854	3660	6760	4402	5536	4616	3205	2507	3519	4466	4127	3020	5364	4219	5210	1381	4920	5704	2572	1346	3199	3250	2893	1111	5909	5422	7754	5622	6284	4985	2947	4513	4441	4305	6441	6256	6806	6535	5283	5411	4778	4570	4357	3139	4387	5604	5157
4925	5427	6045	3357	2909	2291	4992	3464	5100	3594	7296	2485	4847	4295	4771	6374	2831	2530	4352	6267	3300	3739	6216	8224	5528	2896	4106	7076	1744	1868	3400	5817	4070	2130	5909	4693	6564	4714	4486	4419	3071	2964	3625	4498	3636	2863	5108	5189	5613	2081	5994	4289	2798	1044	4155	4831	3585	1340	5161	4260	5075	528	4133	5321	2364	517	3203	3916	2737	453	4734	4928	6551	4597	3767	3210	2718	3089	3157	3214	3655	7092	6014	4153	4884	4726	4453	2840	3260	3733	4586	3601	4246
13394	15393	15085	9468	8192	6409	12660	9619	13858	10219	18532	7100	13262	12052	13370	18115	7976	7124	12552	17679	9505	10475	17378	22767	14683	8014	11427	18992	4911	5355	9170	16959	10884	6115	15751	13054	17861	13316	12026	11718	8863	8586	10484	11179	10170	8338	13824	13703	15281	5562	15589	12250	8049	2944	11881	13002	10002	3707	14318	11448	13457	1201	11427	14827	6695	1372	8761	11287	7795	1121	12533	13550	17418	12379	10830	9102	7051	8817	8994	8644	10162	18904	16441	11174	13611	13442	12256	8090	9366	9697	12479	10118	11711
16482	20317	16116	12818	10269	9433	13448	12617	17909	15239	20223	9181	17386	15398	16499	20741	10744	10065	15203	19600	13067	14791	22427	26596	18518	11510	13660	22360	6247	7904	10904	18780	14320	9177	19269	15878	21165	18316	15012	12811	11196	11327	12420	11276	13569	11792	17055	15587	19992	7841	18273	14355	9760	4536	13331	14930	12373	5439	18010	13811	16219	1993	13846	17714	8213	2109	10437	12884	9926	1611	15920	17074	21289	15995	14582	12186	8313	11598	11622	10954	14403	21650	19542	15230	16376	16474	15009	11047	12080	11850	14521	13320	14762
1812	2266	1837	1358	1131	834	1791	1419	2202	1597	2688	882	2066	1756	2129	2844	1288	1305	1997	2521	1406	1654	2840	3912	2365	1328	1605	3429	888	954	1492	2763	1879	1013	2748	2129	3021	2219	2248	1955	1352	1149	1549	1573	2126	1244	2494	2336	2335	773	2575	1998	1161	328	1962	2046	1378	482	2236	1953	2438	311	1676	2367	1103	294	1354	2040	1255	109	2044	3223	2923	2127	1403	1521	978	1079	1197	1248	1535	2919	2807	1480	2373	1787	1650	864	1218	1599	1936	1567	1734
