E2P10_3	E2P9_3	E2P2_3	E2P1_3	E2P3_3	E2L1_3	E2A1b_3	E2P4_3	E2L2_3	E2B3a_3	E2A2a_3	E2L3_2	E2P5_3	E2L3_3	E2B3b_3	E2A2b_3	E2P6_1	E2L4_1	E2L4_2	E2P6_3	E2B3c_3	E2P7_3	E2B1a_3	E2X1_3	E2P8_2	E2B1b_3	E2X2_3	E2N3_3	E2B2a_1	E2X3_1	E2P10_2	E2P9_2	E2B2a_2	E2X3_2	E2P2_1	E2P1_1	E2A1a_1	E2P2_2	E2P1_2	E2B2b_2	E2A1a_2	E2B2b_3	E2A1a_3	E2P3_1	E2L1_1	E2A1b_1	E2P3_2	E2L1_2	E2B2c_2	E2A1b_2	E2B2c_3	E2B3a_1	E2A2a_1	E2P4_2	E2L2_2	E2B3a_2	E2A2a_2	E2L3_1	E2B3b_1	E2A2b_1	E2P5_2	E2B3b_2	E2A2b_2	E2B3c_1	E2P6_2	E2B3c_2	E2N1_2	E2N1_3	E2P7_2	E2B1a_2	E2X1_2	E2P8_1	E2B1b_2	E2X2_2	E2N3_2	E2P8_3
135	192	188	620	346	266	426	256	367	685	545	897	409	257	668	561	1507	594	159	216	819	219	369	347	1027	262	388	542	1400	1423	1106	714	1111	693	1485	2269	823	1048	1207	1056	493	482	420	1323	1626	815	1172	1328	1073	477	535	1291	1667	649	996	1005	930	1945	1774	1597	948	1429	1334	1602	887	1374	705	352	1224	1181	1062	1172	1138	776	343	317
478	718	751	1639	1049	906	1375	815	1043	1922	1648	3031	1457	757	1853	1532	4806	1860	425	707	2553	709	1206	1109	3336	944	1085	1308	4897	3995	3538	2101	3285	2462	4364	7147	2984	3362	3573	3332	1530	1481	1428	4148	5502	2898	3251	3674	3679	1619	1361	3856	5044	2454	3173	3634	3274	5648	5307	4625	3210	4061	3516	4903	3093	4536	2239	1144	4184	4043	3042	3635	3504	2519	1461	973
1335	1804	2011	3924	2525	2012	3304	1798	2606	4639	3696	6445	3421	1840	4468	3399	11277	4037	961	1955	5426	2059	2823	2259	7965	2681	2505	3156	11143	10529	8228	5443	7855	5922	10480	16802	6813	7564	8988	8348	4746	3612	3745	9867	11688	6744	8696	8666	8213	3947	3252	9894	12306	5661	7107	7901	7221	12256	12266	11817	7046	9844	8729	11701	7134	9970	5774	2728	9073	9046	7587	8371	9035	5945	3811	2373
2878	3246	3890	6307	4427	3131	5779	3225	4173	7009	5828	9716	5517	2972	6849	5486	18648	6827	1609	3623	8374	3873	5005	3646	14502	4849	4310	5531	19484	18860	14400	9506	13816	10475	18119	25707	13536	13889	15275	14725	9498	6083	6823	16692	18098	12485	15083	14448	13013	7159	4966	16160	19939	10604	11437	12681	11616	17747	18441	19535	11567	16010	14124	18909	13066	16079	10425	4678	16109	15449	12809	14661	15946	10805	8047	4441
4014	4428	5470	7767	6507	3962	8531	5081	5909	9070	7360	11788	7387	3675	8662	6906	24563	9814	2512	4927	10330	5225	6463	4734	20297	6222	6110	8716	25643	25128	18290	12217	18167	14004	25132	26122	20751	19332	19542	21083	14125	8384	10426	23239	23267	19607	20673	18880	16806	10856	6178	21888	25454	16608	16436	17239	14831	22036	23902	24327	15619	20748	17811	24141	17751	20090	16132	7342	22545	19982	16231	20656	20464	15211	12884	6182
4242	4656	6162	8333	7768	4591	10450	6689	7394	10949	8178	12338	8236	3862	9354	7307	26346	12297	3176	5603	11267	5295	6920	5418	21959	6563	6898	11230	26183	25508	17929	12900	18529	14677	26898	25880	24937	21112	19880	24590	16835	10097	12870	25951	25406	24544	22841	20463	18130	13549	6930	25037	26617	21389	19536	19930	16149	23379	25426	25429	16848	22579	18890	25777	19500	20745	20504	9409	23795	21737	16623	21594	20726	16879	16120	6989
2452	2876	3950	4878	5559	3025	8400	5524	5501	7671	5233	7152	5060	2431	5963	4710	17122	7910	2295	3509	7321	3262	4299	3349	13504	3811	4434	8954	15245	15345	9472	7391	10707	8733	18386	19247	18174	12970	10890	17250	12142	7729	9759	17468	15195	18546	15547	12410	11019	10355	4775	17254	16409	17052	13989	13716	9628	13689	15516	15885	10599	13668	11727	15769	12261	12242	15801	8082	13760	13069	9243	14121	11770	10130	12092	4494
486	651	946	1244	1466	656	2280	1493	1651	2127	1273	1499	1209	546	1530	1217	4057	2239	603	786	1906	700	977	810	2855	843	1093	2470	3450	3957	1882	1602	2329	2124	4218	4647	4038	2587	2370	4038	2829	2088	2585	4358	3398	5120	3365	2685	2764	2451	1290	4356	3793	4421	3114	3257	2184	3526	3589	3804	2495	2904	2246	3838	2946	2857	3986	2295	2950	2925	1827	3126	2517	2339	2672	992
