MmC1B1a_1	MmC1B1a_2	MmC1B1a_3	MmC1B1b_2	MmC1B1b_3	MmC1B1c_1	MmC1B1c_2	MmC1B1c_3	MmC1H1a_1	MmC1H1a_2	MmC1H1a_3	MmC1H1b_1	MmC1H1b_2	MmC1H1b_3	MmC1H1c_1	MmC1H1c_2	MmC1H1c_3	MmC1P1_1	MmC1P1_2	MmC1P1_3	MmC1P2_1	MmC1P2_2	MmC1P2_3	MmC1P3_1	MmC1P3_2	MmC1P3_3
1127	0	290	608	522	1231	642	479	859	1267	472	1248	922	1048	522	741	1003	1552	446	525	553	227	465	1076	191	369
2370	0	543	1104	996	2398	1263	900	1656	2377	900	2479	1769	1939	964	1463	1848	2937	834	973	1206	441	885	1853	383	700
3759	0	925	1971	1689	4193	2086	1479	2811	3810	1389	3969	2802	3186	1638	2663	3250	4898	1521	1862	1496	694	1370	3139	671	1216
2896	0	677	1643	1392	3227	1634	1087	2059	3005	1037	3220	2219	2503	1335	2088	2580	3744	1137	1337	1254	594	1130	2543	526	966
4181	3314	1074	2391	2123	4860	2531	1719	3098	4295	1611	4526	3209	3616	1959	3089	3926	5568	1759	2101	2312	1002	1930	3851	837	1460
6057	0	1612	3486	3079	6980	3646	2597	4603	6167	2375	6370	4387	5248	2958	4609	6046	8372	2611	3195	2947	1247	2456	5606	1192	2189
2234	0	516	1475	1204	2588	1295	902	1623	2408	721	2952	1986	2307	1139	1716	2128	2891	913	1078	860	427	833	2027	451	770
2341	0	590	1606	1209	2765	1334	946	1867	2608	936	3108	2146	2910	1225	2007	2528	3219	853	1163	1125	419	905	2109	474	806
2760	0	690	1253	986	3167	1546	1033	1999	2919	1068	1526	1215	1445	1213	2089	2801	2499	728	945	1376	473	1051	2310	477	879
