E16B10_1	E16B10_2	E16B10_3	E16B11_1	E16B11_2	E16B11_3	E16B12_1	E16B12_2	E16B12_3	E16B13_1	E16B13_2	E16B13_3	E16B14_1	E16B14_2	E16B14_3	E16B15_1	E16B15_2	E16B15_3	E16B17_1	E16B17_2	E16B17_3	E16B18_1	E16B18_2	E16B18_3	E16B19_1	E16B19_2	E16B19_3	E16B1_1	E16B1_2	E16B1_3	E16B20_1	E16B20_3	E16B21_1	E16B21_2	E16B21_3	E16B22_1	E16B22_2	E16B22_3	E16B2_1	E16B2_2	E16B2_3	E16B3_2	E16B3_3	E16B5_1	E16B5_2	E16B5_3	E16B6_1	E16B6_2	E16B6_3	E16B7_1	E16B7_2	E16B7_3	E16B8_1	E16B8_2	E16B8_3	E16B9_1	E16B9_2	E16B9_3	E16L10_1	E16L10_2	E16L10_3	E16L11_1	E16L11_2	E16L11_3	E16L1_1	E16L1_2	E16L1_3	E16L2_1	E16L2_2	E16L2_3	E16L4_1	E16L4_2	E16L4_3	E16L5_1	E16L5_2	E16L5_3	E16L6_1	E16L6_2	E16L6_3	E16L7_1	E16L7_2	E16L7_3	E16L8_1	E16L8_2	E16L8_3	E16L9_1	E16L9_2	E16L9_3	E16N1_1	E16N1_3	E16N2_1	E16N2_3	E16P10_1	E16P10_2	E16P10_3	E16P11_1	E16P11_2	E16P11_3	E16P12_1	E16P12_2	E16P12_3	E16P1_1	E16P1_2	E16P1_3	E16P2_1	E16P2_2	E16P2_3	E16P3_1	E16P3_2	E16P3_3	E16P4_1	E16P4_2	E16P4_3	E16P5_1	E16P5_2	E16P5_3	E16P6_1	E16P6_2	E16P6_3	E16P9_1	E16P9_2	E16P9_3	E16X1_1	E16X1_2	E16X1_3	E16X2_1	E16X2_2	E16X2_3	E16X3_1	E16X3_2	E16X3_3	E16X4_1	E16X4_2	E16X4_3
362	146	316	315	169	137	244	329	456	271	120	245	886	839	1013	245	361	344	350	250	548	404	239	571	232	271	554	243	263	190	499	334	326	515	692	148	310	269	233	271	71	311	239	497	453	211	219	252	296	173	83	237	1032	645	1053	432	315	473	742	799	956	1131	1315	1433	875	713	904	861	627	927	383	332	549	538	569	417	682	693	265	1111	947	1026	742	612	881	693	654	890	1527	1690	625	461	389	251	665	457	562	767	253	457	845	587	572	681	616	242	479	612	547	315	1128	890	812	711	638	860	1013	999	950	473	223	111	626	281	692	324	402	405	686	791	865	586	414	706
1566	737	993	886	755	429	1036	1317	1559	625	520	1014	3951	2862	3455	1052	1314	1166	1644	1172	1995	1548	987	1897	1093	1135	1261	937	866	890	1881	1515	1402	2121	2882	676	847	1122	744	740	815	903	795	2073	2014	759	939	992	1524	688	409	983	4209	2941	3737	1805	1181	1351	2899	3642	4381	5222	5376	6092	3718	2623	3604	3418	2728	3924	1641	1307	1984	1609	2300	1599	2151	2973	1034	4118	4104	5124	3060	2597	3525	2692	2944	3456	6031	6247	2599	1791	1695	953	2307	2101	2565	3397	1124	1943	3014	1998	2589	2387	2265	1120	1952	2290	2178	1546	4590	3847	3691	2625	2703	3451	4085	4021	4278	2128	930	791	2385	1437	2398	1152	1218	1730	2827	2988	3703	2504	1675	3063
5046	2705	3409	2381	2063	1033	3311	3618	5843	2221	1995	3476	12753	10150	13249	3841	3972	4047	5517	4097	6721	5559	3143	6863	3741	3717	4181	2947	2552	3403	5964	5443	5249	6274	8334	2339	3005	2602	2140	2347	2387	2688	1951	6647	6948	2624	2922	3067	4689	2459	1544	3182	13889	9726	13410	5593	3588	4833	9448	11486	12945	16087	16334	18427	11702	9109	11785	11578	8771	12980	4990	4385	7173	4998	7756	5264	6084	9103	2043	12210	12354	15292	8624	8036	11029	8491	9526	10739	19090	20472	7306	6117	5283	2779	8035	6676	8319	10567	3181	6498	10600	6787	8771	8363	6615	3712	6949	7871	7707	5800	13002	12386	11701	8075	8998	11022	12254	13435	12674	6782	3248	2873	7969	4680	7764	3749	4113	5590	9753	10512	12002	8191	5736	10193
8182	4614	5514	3712	3451	1596	5157	6114	10051	3653	3077	5601	19654	16280	21830	6335	5911	6517	8941	7193	10731	9906	5305	12329	6428	5866	6617	5490	4075	5537	9212	8353	9702	12032	16180	4208	5102	4089	3004	3966	3407	3872	2650	10078	10956	4223	4569	4778	7435	4065	2304	4446	22391	15681	22164	8546	5458	7587	13848	17076	19159	23507	23367	27470	17442	14346	17617	17072	12816	19134	7768	7557	11475	7977	11716	8338	8769	12993	2621	17280	16973	21344	12238	12189	15579	13058	14919	17117	27382	27079	10321	9004	9434	4928	14071	9774	12873	15879	5182	11016	17535	11620	15205	14100	9899	5845	10586	12864	12994	9554	18755	18366	16856	12574	14303	16769	17722	20013	18405	10814	5262	4729	12332	7794	11062	6170	6336	8484	16335	18027	20583	15670	11267	18948
7264	4434	4883	3315	3584	1322	4682	5339	9338	3002	2792	4589	15016	12861	16458	5309	4754	5745	8095	6739	8571	8908	5544	12701	5814	5088	5655	5031	3616	5565	6680	6778	9971	11909	17630	3704	4993	3657	2056	3624	2358	2805	1995	7812	8199	2992	3514	4433	5778	3023	1647	2870	18927	13985	20012	6865	4286	6329	8201	10293	12117	14651	14332	16825	13152	11037	13735	11290	8694	12805	6656	6663	8771	5930	8573	5967	5476	8510	1487	9848	10067	11851	7515	7606	9550	9553	11756	12586	15528	16634	6238	5431	8948	4803	13467	7110	9777	11630	4397	10631	15566	11574	14391	13197	8271	4668	8313	11011	12306	8376	10881	11001	10101	9830	10120	12541	11333	11998	11001	8754	4552	4159	8820	5978	8053	4899	4878	7195	14803	17435	17915	16762	12248	19149
5830	3781	4118	2705	3034	994	3677	4167	7687	2427	2587	3467	11674	10023	12979	4323	3782	4734	6802	6171	6972	7432	4877	10874	4605	4259	4302	4128	2987	5235	5049	5290	8572	10078	15560	2918	4394	3215	1631	2760	1578	2387	1564	6024	6734	2283	2778	3716	4593	2229	1222	1925	14762	11303	16052	4972	3140	4891	5818	7888	8960	11263	9824	12306	10067	8243	10935	8410	6524	9766	5057	5583	6850	4856	6860	4667	4146	6418	1128	6728	7081	8599	5785	6210	6715	7770	9217	9787	10530	11216	4322	3913	7712	3996	11864	5995	6545	8910	3514	9234	12694	9086	11852	11246	6388	3797	7143	9059	9709	7068	7639	7876	6930	7886	7878	9404	8126	8603	7946	6853	3671	3425	6549	4738	6588	4458	4056	5855	12179	15301	15383	14481	11290	16654
1417	880	963	661	730	271	909	964	1907	564	542	857	2759	2440	2902	1043	923	1188	1625	1466	1566	1977	1185	3072	1160	950	1032	974	673	1235	1130	1127	2147	2411	3806	814	1066	658	407	700	400	477	392	1376	1518	372	667	918	1142	531	332	504	3461	2641	3750	1162	763	1190	1589	1647	1955	2344	2371	2730	2379	1947	2410	2093	1485	2254	1186	1493	1402	1011	1351	882	884	1518	285	1783	1770	1806	1546	1487	1684	1755	2276	1930	2633	2930	1029	1011	1796	891	2796	1226	1630	2037	937	2418	2943	2124	2749	2585	1552	781	1574	2130	2365	1546	2092	1811	1550	1782	1643	1932	1972	2207	1995	1678	801	758	1499	1060	1589	719	794	1379	2923	3466	3667	3414	2643	3954
333	184	190	140	114	60	187	221	348	118	120	228	562	548	788	247	235	263	241	209	315	458	127	595	188	213	258	208	173	265	240	269	359	508	861	138	251	122	76	189	90	113	83	205	249	0	167	213	333	92	115	101	766	562	916	332	209	307	377	339	421	593	492	553	649	485	586	471	427	529	290	368	251	192	262	145	168	380	121	351	459	471	385	351	391	325	517	437	651	691	246	214	349	201	690	238	290	419	228	430	603	460	468	556	331	184	354	538	463	261	473	449	358	415	320	440	524	462	432	347	198	179	357	222	378	113	234	364	613	774	866	703	590	774
