E16B10_1	E16B10_2	E16B10_3	E16B11_1	E16B11_2	E16B11_3	E16B12_1	E16B12_2	E16B13_1	E16B13_2	E16B13_3	E16B14_1	E16B14_2	E16B14_3	E16B15_1	E16B17_1	E16B17_2	E16B17_3	E16B18_1	E16B18_2	E16B18_3	E16B19_1	E16B19_2	E16B19_3	E16B1_1	E16B1_2	E16B1_3	E16B20_1	E16B20_2	E16B20_3	E16B21_2	E16B21_3	E16B22_1	E16B22_2	E16B22_3	E16B2_1	E16B2_2	E16B2_3	E16B3_1	E16B3_2	E16B3_3	E16B4_1	E16B4_2	E16B4_3	E16B5_1	E16B5_2	E16B5_3	E16B6_1	E16B6_2	E16B6_3	E16B7_3	E16B8_1	E16B8_2	E16B8_3	E16B9_1	E16B9_2	E16B9_3	E16L10_1	E16L10_2	E16L10_3	E16L11_1	E16L11_2	E16L11_3	E16L1_1	E16L1_2	E16L1_3	E16L2_1	E16L2_2	E16L4_1	E16L4_2	E16L4_3	E16L5_1	E16L5_2	E16L5_3	E16L6_1	E16L6_2	E16L6_3	E16L8_1	E16L8_2	E16L8_3	E16L9_1	E16L9_2	E16L9_3	E16N1_1	E16N1_3	E16N2_1	E16N2_2	E16N2_3	E16P10_1	E16P10_2	E16P10_3	E16P11_1	E16P11_2	E16P11_3	E16P12_1	E16P12_2	E16P12_3	E16P1_1	E16P1_2	E16P2_1	E16P2_2	E16P2_3	E16P3_1	E16P3_2	E16P3_3	E16P4_2	E16P4_3	E16P5_2	E16P6_2	E16P9_1	E16P9_2	E16P9_3	E16X1_1	E16X1_2	E16X1_3	E16X2_1	E16X2_2	E16X2_3	E16X3_1	E16X3_2
1037	796	1197	524	1016	1417	388	748	321	167	170	620	488	384	390	604	725	154	540	346	162	620	997	244	283	838	1244	1246	1290	712	597	449	286	379	435	577	575	947	1386	1301	910	251	1175	1132	301	677	932	127	836	1162	277	975	752	717	588	742	1279	281	360	766	752	591	850	742	481	882	503	208	1090	815	1297	1139	637	1527	1155	882	1258	724	376	536	623	975	824	840	91	1101	373	1497	1950	872	1800	587	536	1064	983	733	1338	515	1061	1244	1221	1769	1103	1407	1561	975	959	469	146	1669	813	738	358	993	583	491	247	627	703	1116
5840	6435	6798	3142	7317	7876	3422	5725	2212	953	1509	4103	2489	2388	2578	3432	4632	861	4190	3106	1534	4276	5547	1437	2259	6197	8371	7932	6245	3588	3278	5668	2437	2093	4354	4495	4572	5853	6057	5456	6566	1993	7993	7567	2025	6810	4992	686	3277	5278	1790	4433	4412	4254	4412	6411	7927	1639	2484	2496	3116	2416	3672	3936	2613	4395	3017	1645	6669	3106	6208	4599	3807	7529	6045	4071	6173	2335	2313	2661	3034	4365	3605	3081	470	5927	2466	6910	10012	5985	8782	2699	3025	6340	5648	4762	7852	3658	8064	5489	6371	9345	8586	8235	9092	3002	4747	2944	1188	8198	4751	3871	2427	3849	4617	2678	2343	5010	5044	6605
13589	15192	16103	7359	17002	20535	10098	13811	6949	3315	3902	16923	9335	9132	7151	12226	13769	2659	11243	8883	5077	9837	11808	2957	6432	16691	23559	16973	13887	7772	8890	15623	7756	7170	13805	11137	9358	12742	13276	12287	14958	5476	17715	15558	5728	17471	15530	2515	10422	13653	5640	15552	16202	15845	11779	16433	20683	6385	9225	8041	9670	7399	11410	12818	10479	16550	10726	6262	17965	10124	17257	12136	11084	19793	15837	14153	17742	7269	8869	9590	8614	12300	9742	8788	1639	14640	7087	16761	19634	12051	17685	7058	8334	16166	13334	12014	18675	9109	22115	12583	16018	21608	20294	19883	21772	9837	11701	12140	5386	17933	12321	9224	8448	10952	12912	8816	7813	15336	16553	19134
17987	20989	21057	9837	23959	27908	13181	17636	10038	4772	5505	27129	14980	14584	9729	17232	19289	4153	15482	12443	7374	12943	14697	3925	8901	22874	28628	21197	17555	9438	11841	21779	10323	10599	19380	15600	10464	16480	16433	15613	19010	7118	22051	18573	7223	22163	21103	3601	14761	19236	8758	23577	25525	24922	14977	21636	28497	12723	17839	17995	17620	13240	22346	20054	17738	26950	21027	11730	25113	14386	24153	17794	15724	25621	25511	22841	26226	13638	16450	16368	12366	18451	13639	14141	2979	20994	10209	23078	22895	13990	20914	10154	11344	23298	18139	17353	25918	12412	29443	16417	20725	28050	25303	25004	28260	19220	19941	21195	14525	23475	16626	12277	12034	16221	17709	12323	11489	19882	20420	23984
13769	15024	14410	7032	17238	20539	6208	7797	6140	3098	2746	19088	10527	9733	5711	11638	9446	2159	6110	3894	3054	9462	11265	3194	3725	11682	14857	16374	13705	7248	3925	7713	5194	5291	8852	12940	7420	11929	13870	11978	14300	3658	11738	9753	3486	9729	10584	1957	6436	13522	6123	13442	15274	15789	7246	10324	15080	15402	21759	22206	22633	16316	27303	16166	14579	20967	27840	14933	16579	10956	17517	13459	12186	19004	26472	22350	23335	16094	16573	16644	10018	14745	12127	16343	3447	19010	9336	20662	15638	8698	14306	7416	8275	17770	12853	11348	18287	5970	14634	12787	15375	21584	16452	16109	19515	26304	24400	14866	23717	18176	12588	9238	8872	12146	11046	6194	5356	8820	12125	14084
6348	7518	6943	3370	7233	10056	3573	3514	4295	2679	2122	16525	9041	8318	3143	9244	6743	1477	3428	1980	1861	4424	4454	1588	1959	7453	8163	7298	5739	3108	1769	3558	2902	3304	5223	5770	3235	5347	5869	4760	6387	1687	5936	4495	2001	5315	7215	1348	4403	8754	3800	10601	12161	12686	4081	4978	6498	14974	19696	21953	21221	15408	25631	13357	12501	17973	26742	14100	11307	7928	11636	7738	7611	11822	21497	16810	17624	14301	14483	14641	5715	8777	7246	11357	2380	9818	4365	10719	4829	2669	4540	4578	5389	10833	6520	6345	9239	3158	6745	6127	7310	10655	7662	7506	9576	23357	21273	12770	25383	8850	5847	4103	5658	7117	7045	3893	3249	4880	10019	10612
1768	1900	2099	860	1851	2515	716	1561	1638	475	1204	8349	4096	3804	869	5514	2435	569	1357	580	603	1219	1359	307	1000	2449	2551	1695	1588	913	741	1571	1158	1871	2257	1633	973	1490	1792	1297	1874	438	2236	1223	880	2158	3847	659	1374	4422	1393	4610	4932	5288	1469	1144	2009	7623	10035	11197	11001	7259	12654	6898	6686	7800	13852	6988	4775	3215	5191	2758	2622	4137	9417	7364	7721	7092	6877	6417	1855	3235	2557	4688	889	2617	1187	2909	1457	625	1313	1705	2108	3809	2186	1730	2943	1128	2303	1658	1805	2968	2321	2103	3152	12035	10091	6344	13185	2695	1434	1313	2302	2438	2552	1552	1831	2043	3732	4751
450	607	544	284	475	810	276	462	477	125	323	1581	1031	737	176	722	695	107	413	189	175	390	352	0	113	725	597	453	490	248	223	316	326	373	396	542	343	406	550	418	662	122	568	276	128	622	583	249	161	890	451	1173	1277	1394	387	257	561	1364	1790	1598	1732	1253	2388	1314	1080	1338	2202	1434	1282	502	1525	496	641	938	2380	1359	1858	1213	1285	1327	494	794	722	882	176	740	368	830	361	206	382	382	698	999	656	422	734	328	445	484	555	886	600	479	938	2198	2471	1310	2370	850	374	409	639	576	577	318	337	638	820	1173
106	155	106	68	118	177	59	100	87	0	97	273	296	162	0	109	140	0	63	56	0	82	74	0	0	149	107	152	146	64	0	71	70	85	79	98	85	98	131	99	140	0	95	66	0	149	128	71	0	275	136	236	249	280	69	0	92	272	397	277	353	258	494	402	320	331	603	318	470	70	485	0	146	58	499	257	488	304	270	297	143	151	173	213	0	146	82	184	73	0	76	0	227	197	106	110	144	0	74	183	61	225	115	49	267	536	490	327	457	222	60	85	161	134	133	74	108	137	155	242
