E16B10_1	E16B10_2	E16B10_3	E16B11_1	E16B11_2	E16B11_3	E16B12_1	E16B12_2	E16B12_3	E16B13_1	E16B13_2	E16B13_3	E16B14_1	E16B14_2	E16B14_3	E16B15_1	E16B15_2	E16B15_3	E16B17_1	E16B17_2	E16B17_3	E16B18_1	E16B18_2	E16B18_3	E16B19_1	E16B19_2	E16B19_3	E16B1_1	E16B1_2	E16B1_3	E16B20_1	E16B20_2	E16B20_3	E16B21_1	E16B21_2	E16B21_3	E16B22_1	E16B22_2	E16B22_3	E16B2_1	E16B2_2	E16B2_3	E16B3_1	E16B3_2	E16B3_3	E16B4_1	E16B4_2	E16B4_3	E16B5_1	E16B5_2	E16B5_3	E16B6_1	E16B6_2	E16B6_3	E16B7_1	E16B7_2	E16B7_3	E16B8_1	E16B8_2	E16B8_3	E16B9_1	E16B9_2	E16B9_3	E16L10_1	E16L10_2	E16L10_3	E16L11_1	E16L11_2	E16L11_3	E16L1_1	E16L1_2	E16L1_3	E16L2_1	E16L2_2	E16L2_3	E16L4_1	E16L4_2	E16L4_3	E16L5_1	E16L5_2	E16L5_3	E16L6_1	E16L6_2	E16L6_3	E16L7_1	E16L7_2	E16L7_3	E16L8_1	E16L8_2	E16L8_3	E16L9_1	E16L9_2	E16L9_3	E16N1_1	E16N1_2	E16N1_3	E16N2_1	E16N2_2	E16N2_3	E16P10_1	E16P10_2	E16P10_3	E16P11_1	E16P11_2	E16P11_3	E16P12_1	E16P12_2	E16P12_3	E16P1_1	E16P1_2	E16P1_3	E16P2_1	E16P2_2	E16P2_3	E16P3_1	E16P3_2	E16P3_3	E16P4_1	E16P4_2	E16P4_3	E16P5_1	E16P5_2	E16P5_3	E16P6_1	E16P6_2	E16P6_3	E16P9_1	E16P9_2	E16P9_3	E16X1_1	E16X1_2	E16X1_3	E16X2_1	E16X2_2	E16X2_3	E16X3_1	E16X3_2	E16X3_3
130	0	135	200	130	141	91	82	136	63	0	44	311	157	196	159	35	69	191	63	248	161	52	211	108	60	382	134	107	158	131	177	145	160	142	73	72	154	58	120	104	259	106	62	153	185	157	132	189	100	183	121	103	173	39	48	222	363	341	353	163	111	161	158	135	323	228	228	334	255	140	349	324	166	388	174	128	331	141	208	456	178	164	343	135	153	158	65	70	337	141	78	311	100	170	225	170	127	148	192	153	575	111	93	232	223	215	442	283	241	111	114	155	93	80	153	166	60	124	177	81	130	307	98	140	202	103	131	333	141	74	72	65	0	119	155	302	493
256	96	274	485	275	290	207	141	241	128	47	83	688	372	453	341	84	159	433	171	521	328	92	377	232	129	632	352	227	328	270	403	309	396	298	137	124	325	102	289	215	562	211	138	330	399	374	279	388	225	397	244	194	343	100	111	521	732	788	917	412	227	388	319	254	664	562	454	810	631	362	698	708	366	832	421	226	763	301	528	972	414	396	844	287	296	338	147	137	662	297	205	656	240	403	585	404	272	353	389	327	1373	289	196	481	495	506	1110	738	504	328	290	381	222	204	414	400	143	257	378	194	292	636	210	293	546	234	272	894	308	146	176	136	97	330	383	694	1066
606	241	657	1070	634	777	517	288	596	312	117	227	1712	786	984	834	191	407	922	358	1226	800	210	879	549	305	1233	749	550	783	636	887	910	1034	645	336	494	672	232	629	536	1239	435	247	740	1118	933	825	969	579	1105	538	408	846	167	244	1180	1776	1869	2093	941	656	972	658	521	1466	1264	1018	1595	1523	869	1853	1512	762	1938	1023	560	1814	753	1214	2317	852	732	1694	576	611	755	306	292	1520	760	449	1509	488	828	1121	876	592	743	943	896	3029	601	453	1204	1274	1235	2549	1829	1361	995	697	983	591	576	1008	1033	271	527	766	471	660	1600	433	633	1108	531	723	2106	712	310	526	379	191	887	980	1518	2991
1067	449	1198	1945	1078	1435	957	463	936	616	215	412	3092	1476	2031	1457	336	855	1878	649	2332	1384	371	1471	1000	571	2248	1475	1047	1565	1232	1525	1706	1718	1166	555	726	1081	500	1180	955	2471	744	491	1340	2078	1494	1525	1596	903	1679	1037	779	1653	438	573	2201	3362	3407	3947	1749	1219	1887	1456	1118	3130	2751	2276	3889	2871	1696	3369	3129	1712	4122	1836	1171	3383	1521	2348	4465	1766	1562	3451	1225	1234	1726	680	698	3152	1384	946	2938	1073	1931	2704	1761	1210	1684	1649	1629	5090	1351	903	2431	2329	2350	4440	3042	2387	1724	1250	1782	1059	1002	1759	1892	590	1196	1693	871	1315	3005	941	1488	2514	999	1276	3939	1401	586	1028	738	360	1441	1891	2810	5377
1329	554	1607	2422	1381	1673	1176	612	1055	819	245	567	4214	1957	2846	1824	419	1103	2701	909	3174	1623	530	1836	1214	696	2846	2254	1421	2259	1741	1933	2193	2059	1473	669	1048	1278	693	1594	1259	3223	932	677	1761	2490	1788	1995	1906	885	1496	1491	1041	2214	645	953	2773	4708	4459	5311	2134	1536	2348	2276	1624	4857	4376	3505	5820	3774	2281	4413	4673	2678	6440	2389	1494	4475	2152	3244	6204	2556	2364	5200	1798	1803	2657	1070	1047	4587	1791	1411	3978	1744	3092	4284	2769	1858	2664	2069	1947	6468	2139	1271	3273	2844	2867	5075	3657	2867	2063	1484	2168	1223	1215	2064	2346	873	1971	2761	1094	1770	3920	1464	2476	4080	1366	1585	5256	1886	841	1397	867	467	1461	2623	3601	7127
1013	420	1225	2059	1137	1269	990	503	780	772	192	588	3827	1751	2726	1659	378	982	2691	928	3033	1399	468	1496	1116	610	2460	2052	1251	2191	1620	1685	1752	1447	1124	498	1012	1083	626	1472	1043	3097	791	589	1322	1832	1210	1461	1347	674	996	1475	957	2019	701	930	2492	4423	3929	4742	1667	1032	1733	2436	1683	5205	4584	3914	6436	2998	2004	3739	4889	2958	6778	2099	1260	3586	1962	2651	5372	2792	2417	5296	1839	1878	2743	1009	1112	4796	1630	1425	3775	1931	3596	5080	2999	2017	2974	1734	1453	5396	2192	1206	3117	2192	2130	3723	2511	1859	1358	1108	1814	1021	826	1648	1864	1042	2037	3158	978	1660	3227	1654	2748	4626	1047	1317	4539	1838	848	1200	766	415	1088	2184	3161	6138
564	261	900	1190	693	707	562	370	382	500	108	363	2438	1152	1719	1031	238	656	1861	596	2020	876	353	803	656	410	1511	1512	756	1372	1059	1063	1225	611	666	272	939	711	418	970	671	2371	497	420	905	907	700	820	741	412	449	1060	668	1309	572	727	1658	2977	2399	3070	871	605	1053	1840	1208	3893	3336	2721	4541	1954	1328	2410	3678	2171	5015	1424	779	2170	1328	1794	3546	2079	1824	3747	1347	1282	1970	748	815	3127	1024	948	2460	1485	2865	3719	2135	1483	2091	1058	704	3345	1658	816	2002	1308	1204	1906	1266	978	682	604	1059	550	436	922	1021	769	1572	2389	638	1093	2036	1251	2098	3508	713	819	3044	1178	679	708	410	260	741	1426	1966	3605
180	62	130	346	187	187	129	94	92	127	47	87	614	348	349	273	69	137	449	150	349	227	114	157	161	80	365	299	192	334	249	261	243	169	142	55	152	163	57	250	198	473	159	89	183	249	190	199	154	125	111	281	166	329	138	197	470	648	633	684	203	114	225	402	273	920	764	706	949	419	284	543	939	501	1347	417	153	505	351	341	821	487	437	1038	311	354	388	141	195	681	251	250	575	356	861	932	551	422	501	291	209	863	369	184	449	318	322	491	365	220	164	126	286	133	108	190	223	219	398	654	180	225	504	313	521	826	163	217	743	271	128	199	82	64	126	294	524	804
