E11B1_1	E11B1_2	E11B1_3	E11B2a_1	E11B2a_2	E11B2a_3	E11B2b_1	E11B2b_2	E11B2b_3	E11B2c_1	E11B2c_2	E11B2c_3	E11B3_1	E11B3_2	E11B3_3	E11B4_1	E11B4_2	E11B4_3	E11H1_1	E11H1_2	E11H1_3	E11L1_1	E11L1_2	E11L1_3	E11L2p_1	E11L2p_2	E11L2p_3	E11L2s_3	E11L3_1	E11L3_2	E11L3_3	E11L5_1	E11L5_2	E11L5_3	E11L6_1	E11L6_2	E11L6_3	E11L7_1	E11L7_2	E11L7_3	E11N2_1	E11N2_2	E11N2_3	E11N4_1	E11N4_2	E11N4_3	E11P10_1	E11P10_2	E11P10_3	E11P11_1	E11P11_2	E11P11_3	E11P13_1	E11P13_2	E11P13_3	E11P1_1	E11P1_2	E11P1_3	E11P2_1	E11P2_2	E11P2_3	E11P3_1	E11P3_2	E11P3_3	E11P4_1	E11P4_3	E11P7_1	E11P7_2	E11P7_3	E11P8_1	E11P8_2	E11P8_3	E11P9_1	E11P9_2	E11P9_3	E11X2_1	E11X2_2	E11X2_3	E11X3_1	E11X3_2	E11X3_3	E11X4_1	E11X4_2	E11X4_3
260	202	322	388	284	466	631	327	591	657	417	493	249	229	351	502	618	920	618	358	887	274	0	112	214	214	280	81	118	106	115	671	428	486	175	96	204	281	0	140	179	179	177	210	80	92	517	324	503	585	358	503	405	328	288	149	104	125	106	74	68	175	132	99	132	100	1103	564	427	471	466	528	835	481	814	541	427	654	438	294	341	149	96	123
1077	967	1600	2098	1706	2164	3135	2260	3053	3234	2010	2874	1449	1493	1808	2637	3000	3771	2899	2130	3652	673	303	435	1169	933	1802	317	589	389	353	3915	2387	2708	628	532	1107	1096	734	692	993	696	779	589	230	471	2574	1784	2327	2878	2049	2403	2369	1702	1766	945	385	594	538	453	309	858	482	461	597	191	4470	2932	2558	2479	2656	2359	4332	2707	4135	3024	2258	3495	1863	1555	1840	521	439	517
3977	3551	5586	7174	5992	7842	11470	8666	11567	10604	7360	10472	5190	5200	6463	9311	10310	13698	9897	7696	14213	1408	981	1531	3979	3167	6559	683	1956	1270	1258	13942	8904	9529	2716	2116	4139	3449	2411	2062	2726	1743	1996	1535	643	1073	8870	6546	8220	9865	7295	8357	7998	6023	6124	2561	1492	1961	1705	1246	1179	3031	1855	1545	940	737	15093	10249	9182	8610	9184	8152	14889	9325	14588	10454	8364	12807	6350	5083	6663	1933	1482	1609
7424	6723	10649	13365	11313	14641	21866	16636	22743	20274	13561	20131	9634	9629	12343	17568	19040	26841	18630	14558	27269	2058	1453	2425	7255	5962	12471	883	3347	2185	2128	26486	16745	18135	5339	3882	8078	6014	4340	3503	4375	2683	2906	2203	950	1542	17036	12800	15436	18411	13974	15723	14634	11197	11564	3955	2609	3417	2945	1966	2044	5225	3517	2675	979	1097	28542	19614	17360	16389	17167	15496	28321	17166	28475	19295	15963	24590	11971	9666	12830	3501	2627	2832
7695	6749	10496	13407	11493	15096	23240	17264	23289	20570	13460	20040	9833	9412	12162	18284	18765	26984	18707	14354	26720	2063	1382	2226	7473	6044	12951	775	3213	2237	2026	27302	16900	18629	5375	4212	8270	5995	4239	3450	3664	2492	2590	1893	914	1333	17803	12776	15428	19326	13815	15902	14923	11232	11403	3960	2664	3503	2907	1954	2210	5133	3609	2747	878	849	28942	19855	17585	17070	17906	15771	29267	18110	29483	19977	17037	25153	11665	9409	12508	3288	2868	2692
2346	2020	3177	4117	3254	4297	6648	4937	6665	5780	3693	5696	2613	2385	3364	5138	5369	7564	5344	4207	7172	561	497	749	2064	1764	3606	325	933	632	634	7743	4767	5132	1294	1238	2461	1861	1212	810	1138	775	726	657	356	375	5005	3634	4359	5464	4232	4660	4466	3170	3390	986	765	1149	932	534	622	1555	972	823	264	275	8287	5896	5101	5001	5061	4412	8249	4884	8130	5744	4911	6862	3622	2657	3588	970	882	853
330	244	393	559	370	647	907	623	943	834	553	767	364	355	408	596	753	1117	722	609	1058	122	0	102	250	220	625	107	137	128	105	1167	670	574	174	123	367	272	189	118	138	149	146	92	0	57	692	401	648	660	554	575	681	392	486	160	80	172	160	79	104	246	67	103	81	0	1220	740	748	857	645	566	964	610	1102	690	602	903	631	307	424	113	121	123
0	0	0	87	77	121	140	117	185	182	110	149	74	0	77	127	117	208	134	108	228	0	0	0	0	57	257	0	84	0	0	270	133	93	0	0	133	0	75	0	0	0	64	0	0	0	135	0	168	110	86	78	191	79	90	0	0	0	0	0	0	68	0	0	0	0	255	71	169	169	122	111	175	103	241	138	119	203	96	0	76	0	65	0
