E11B1_1	E11B1_2	E11B1_3	E11B2a_1	E11B2a_2	E11B2a_3	E11B2b_1	E11B2b_2	E11B2b_3	E11B2c_1	E11B2c_2	E11B2c_3	E11B3_1	E11B3_2	E11B3_3	E11B4_1	E11B4_2	E11B4_3	E11H1_1	E11H1_2	E11H1_3	E11L1_2	E11L2p_1	E11L2p_2	E11L2p_3	E11L3_3	E11L5_1	E11L5_2	E11L5_3	E11L6_1	E11L6_2	E11L6_3	E11N2_1	E11N2_2	E11N2_3	E11N4_1	E11N4_2	E11N4_3	E11N6_1	E11N6_2	E11N6_3	E11P10_1	E11P10_2	E11P10_3	E11P11_1	E11P11_2	E11P11_3	E11P13_1	E11P13_2	E11P13_3	E11P1_1	E11P1_2	E11P1_3	E11P2_1	E11P2_2	E11P2_3	E11P3_1	E11P3_2	E11P3_3	E11P7_1	E11P7_2	E11P7_3	E11P8_1	E11P8_2	E11P8_3	E11P9_1	E11P9_2	E11P9_3	E11X2_1	E11X2_2	E11X2_3
1616	1688	2519	3487	3205	4419	8223	8003	11302	5997	4763	6921	3235	2597	4015	3031	3669	4937	2030	2371	3958	0	1283	1328	2096	792	2656	2110	2538	817	719	1538	315	297	288	1890	1523	1608	260	223	335	7056	5725	7608	6234	4796	5338	5306	3463	4398	326	369	607	551	584	614	545	517	713	7962	6396	6606	6139	5706	6250	9324	6638	11516	4433	4816	7023
2177	2212	2975	3997	3840	4862	9729	9565	13505	8003	6484	8854	4151	3336	4910	2757	3405	4297	2877	3369	5345	472	1827	2243	2886	1149	4411	3419	4379	1237	1365	2216	709	566	0	3485	3020	0	733	618	0	7461	5973	8480	7570	5705	6541	6196	3916	5395	458	619	1046	828	864	949	831	845	1137	9880	7958	8060	7288	7279	7543	10546	7467	12902	5158	5550	7830
1879	1849	2410	2963	2696	3454	7751	8000	11034	7574	6495	8048	3385	2766	4573	2367	2764	3734	2735	3222	5493	522	1937	2227	3243	1097	5480	4095	5295	1186	1469	2487	950	582	864	5440	4510	7230	1133	792	1151	5481	4325	6279	5886	4400	5053	4666	2980	3936	540	565	953	779	737	839	843	827	956	8058	6860	7077	6244	6087	6650	8623	5591	10134	3546	4087	5673
1058	1116	1525	2427	1989	2618	5387	5435	8002	5936	5506	6839	2162	1812	3438	1228	1289	2088	2170	2540	4613	319	1578	1802	2933	814	5964	4187	5798	1012	1304	2319	700	358	859	6380	5562	9139	1080	738	1167	2849	2152	3388	3685	2588	3232	2631	1577	2243	457	382	0	0	0	0	572	539	504	6056	4636	4973	4566	3993	5043	4967	3260	6009	1538	1491	2526
294	311	455	1307	1012	1255	2243	2152	3501	3525	3670	4443	707	461	1324	536	627	662	1575	1853	3007	164	977	1163	1889	441	4835	3283	4662	581	907	1550	376	152	421	5386	4887	8266	803	492	869	1037	697	1250	1033	556	1064	1043	545	869	0	61	97	0	0	85	140	209	114	2318	1803	1928	2336	1618	1995	1714	950	2076	476	343	636
253	363	655	1260	1004	1394	2297	2121	3910	2938	2896	3678	705	542	871	769	714	843	1357	1613	2482	128	869	922	1497	474	4272	2775	3781	449	685	1170	192	177	357	4819	4207	6933	626	347	624	1309	938	1563	1108	629	955	968	728	1001	56	0	50	0	36	96	177	119	167	1900	1449	1674	2053	1509	1940	1992	1161	2009	548	484	903
120	154	344	640	472	750	1075	1048	1989	1429	1429	1806	287	233	370	362	404	451	719	929	1228	103	469	542	714	235	2602	1452	2321	233	394	580	98	80	226	2497	2140	3641	332	155	388	751	454	836	523	334	456	440	424	410	0	0	0	0	36	0	111	48	102	930	617	793	1056	785	880	1001	534	1009	278	233	402
0	0	65	0	0	221	0	0	549	0	0	522	0	0	62	0	0	124	0	199	256	0	0	0	159	79	0	0	576	0	56	109	0	0	67	0	0	1029	0	0	71	0	0	224	0	0	109	100	0	81	0	0	0	0	0	0	0	0	0	0	0	0	260	129	192	308	130	242	0	0	70
