C94L10_1	C94L10_2	C94L10_3	C94L11_1	C94L11_2	C94L11_3	C94L2_1	C94L2_2	C94L2_3	C94L12_1	C94L12_2	C94L12_3	C94L3_2	C94L3_3	C94L4_1	C94L4_2	C94L4_3	C94L5_1	C94L5_2	C94L5_3	C94L6_1	C94L6_2	C94L6_3	C94L7_1	C94L7_2	C94L7_3	C94L8_1	C94L8_2	C94L8_3	C94L9_1	C94L9_2	C94L9_3	C94N1_1	C94N1_2	C94N1_3	C94N2_1	C94N2_2	C94N2_3	C94N3_1	C94N3_2	C94N3_3	C94P1b_1	C94P1b_2	C94P1b_3	C94P1d_1	C94P1d_2	C94P1d_3	C94P1e_1	C94P1e_2	C94P1e_3	C94P1f_1	C94P1f_2	C94P1f_3
749	1516	368	644	980	28000	543	841	313	307	532	83	1634	556	1222	2633	527	1374	1185	386	1352	1485	812	753	815	286	857	944	279	393	570	186	2469	2560	1101	2711	2729	916	2853	2609	1052	728	1199	325	1581	2013	773	1183	1317	550	1017	1092	356
2738	4503	1257	3200	3363	0	2071	2864	1147	1140	2354	396	6660	2551	2015	4496	983	3483	3598	1344	3050	3956	1496	2319	2687	955	3380	3529	1438	700	716	340	12346	13489	5715	12770	12550	5541	13279	14759	5385	3780	5207	1461	5730	7495	2639	4360	4667	2137	3553	3866	1524
6250	9051	2879	8333	9283	0	6836	8469	3562	3492	7476	1483	15506	6133	4203	9079	2388	8082	9495	3565	5906	7052	3173	6102	7402	2842	8460	9531	3433	2142	2577	1153	26137	26572	12358	25960	26351	11878	26833	26869	11829	11996	16097	4834	17325	19480	7681	14377	13564	6825	11518	12243	5280
7475	10739	3659	11952	13045	0	10732	13314	5411	5927	12745	2716	19497	7597	5425	11929	3237	11633	13756	5117	7298	9035	3981	8849	10964	4234	10453	12850	4258	3971	4738	2066	25876	26152	13763	27688	26924	12668	26977	26479	12634	20958	27053	8430	25016	25819	11349	23142	21076	10803	19548	20232	8735
5256	7413	2595	11041	11492	0	11199	13716	5597	7231	14676	3237	14823	5521	4444	9995	2754	11174	12689	4836	5450	7664	3304	8724	10240	4123	7433	9032	2748	4691	5516	2338	15355	16365	6596	13866	14527	5883	15232	17334	6108	25437	27578	10165	22186	23995	10281	24349	21753	11473	22856	22895	10019
3978	5586	2092	8756	8897	0	9159	10642	4489	6059	11247	2677	11498	4085	3177	7103	1994	9309	10186	3825	3825	6179	2650	6884	8459	3304	5813	7371	2006	3040	3808	1386	11756	12913	4965	10580	10985	4082	11753	13338	4535	20987	26574	8323	17988	19130	8464	19855	18148	9373	18978	18811	8569
1742	2475	937	3207	3063	0	3318	3822	1596	2031	3706	747	4621	1757	1435	2975	725	3374	3350	1233	1340	2131	960	2084	3024	1101	2861	3833	979	1043	784	234	8494	9545	3512	8109	8478	2791	8450	10117	3210	6681	8950	2581	6790	7791	3146	7141	6925	3270	6363	6299	2883
571	932	379	743	783	0	678	706	340	300	572	119	1657	416	531	676	189	672	834	238	333	581	270	526	796	242	956	857	259	147	56	0	3114	3052	984	2588	3178	831	2619	3175	840	952	1458	311	1832	2163	740	1546	1521	558	1109	1188	437
