C94L10_1	C94L10_2	C94L10_3	C94L11_3	C94L2_3	C94L12_3	C94L3_3	C94L4_3	C94L5_3	C94L6_3	C94L7_1	C94L7_2	C94L7_3	C94L8_1	C94L8_2	C94L8_3	C94L9_1	C94L9_2	C94L9_3	C94N1_3	C94N2_3	C94N3_3	C94P1b_3	C94P1d_3	C94P1e_3	C94P1f_3
875	1121	433	613	654	469	604	1025	796	826	958	1476	371	1370	1382	481	1099	952	426	547	647	544	647	549	838	858
2473	3201	1331	1848	1849	1513	1891	2872	2321	1869	3296	4148	1105	3731	4222	1506	3358	2780	1360	1544	1735	1567	1886	1763	2461	2351
5761	8089	3436	6289	5392	4834	5882	7545	6997	5934	11369	12532	4078	10227	11128	3584	11037	9338	3983	3450	4257	3811	6913	5249	7807	8897
10903	16838	7235	13976	9943	8219	11394	10954	14355	12556	20536	21840	7491	18888	19253	7378	22022	15742	6818	8012	8786	9226	16116	12271	13478	17110
15849	24692	9941	20012	13702	10873	15190	12636	19989	16220	27024	27183	10293	24617	25569	10058	27877	21535	9371	12141	13116	13596	22582	18264	16829	23111
12763	20465	8336	15108	10243	7282	10275	9339	15299	10800	19527	20826	7794	17425	17579	7026	22719	15656	6766	10037	10838	11091	16843	13851	12971	15322
9307	15893	6069	8176	5709	3505	6453	5458	7968	6119	8982	10626	3831	11503	12160	4693	9801	6296	2622	10014	10574	10963	7857	7857	7101	6697
5977	10886	3655	3409	2684	1286	3447	3067	3375	2815	3678	4257	1367	7132	8153	2899	2585	1524	612	8383	8551	8798	2433	3913	2921	2288
2441	4293	1508	1309	1247	493	1613	1274	1229	1229	1257	1561	638	3402	3585	1263	733	369	179	3047	3257	3779	858	1365	1114	817
867	1379	570	464	468	169	596	491	495	395	362	633	250	1179	1213	442	89	201	0	1166	1326	1506	275	527	481	279
