C94L10_1	C94L10_2	C94L10_3	C94L11_1	C94L11_2	C94L2_1	C94L2_2	C94L2_3	C94L12_1	C94L12_2	C94L12_3	C94L3_1	C94L3_2	C94L3_3	C94L4_1	C94L4_2	C94L4_3	C94L5_1	C94L5_2	C94L5_3	C94L6_1	C94L6_2	C94L6_3	C94L7_1	C94L7_2	C94L7_3	C94L8_1	C94L8_2	C94L8_3	C94L9_1	C94L9_2	C94L9_3	C94N1_1	C94N1_2	C94N1_3	C94N2_1	C94N2_2	C94N2_3	C94N3_1	C94N3_2	C94N3_3	C94P1b_1	C94P1b_2	C94P1b_3	C94P1d_1	C94P1d_2	C94P1d_3	C94P1e_1	C94P1e_2	C94P1e_3	C94P1f_1	C94P1f_2	C94P1f_3
3448	3619	2741	2472	3537	557	561	230	506	277	184	2897	1507	738	900	1283	521	667	1087	403	3994	3789	2275	4104	2154	1656	3302	3310	1355	5168	3883	1969	761	666	297	618	575	241	750	693	264	668	1096	435	657	802	350	602	624	300	638	616	315
7042	7128	4220	4233	5266	1539	1580	631	1375	924	507	5936	3025	1400	2132	2821	1110	1854	2023	944	7917	6849	4328	6392	3281	2590	4610	4721	2402	8241	6825	3719	2447	2121	1025	1999	1765	710	2369	2058	754	2022	3363	1173	2089	2412	1053	1952	1983	935	1942	1847	978
9592	8258	4921	6085	6749	3670	3384	1483	2983	2045	1270	10174	4896	2271	3966	5042	1845	4769	3805	1849	9900	7627	5579	8453	4274	3196	6194	5510	3486	8581	7513	3973	6269	5172	2440	4959	4248	1986	6474	5582	2022	4931	8233	3304	5616	5843	2671	5500	5455	2568	4703	4797	2395
9922	8180	4870	8407	9086	8505	8089	3714	6857	5355	3177	18103	8040	4106	7060	8731	3113	9847	8095	4075	10117	7897	6231	9616	6539	3978	8660	6355	4394	6835	6372	3312	16009	13279	6706	12887	10804	5432	15677	13463	5562	12074	18926	8151	14196	14187	7399	14989	12352	6619	11338	11228	6072
8675	6764	4271	10396	10875	14620	12813	6032	10865	9322	5183	21993	10834	6176	10009	11531	4072	15658	12449	6348	9219	7187	6100	10280	7998	4785	11019	7431	5060	4918	4461	2445	25882	21944	11289	21240	17719	9177	25639	21912	9307	20348	25775	13819	24712	23671	12849	25464	21485	11913	19652	18474	10502
7290	5175	3559	11497	11227	18497	15974	7534	13284	11029	6208	21804	12445	6971	11547	12380	4588	19635	15135	7907	7420	5967	4724	10574	8952	5293	11939	7923	5445	3368	2939	1879	25796	26718	14007	26569	22344	11609	25881	26670	11962	26119	25751	18160	25580	26032	16726	25377	26356	16095	25480	24159	13550
4991	3325	2506	10154	9495	17576	14776	7062	12163	9998	5506	21924	10822	6179	10382	10188	3821	18284	13910	7240	4181	3898	2520	8726	6915	4346	10000	6773	4437	2613	1936	1339	25961	25530	13060	25106	20816	10848	25456	26074	11008	24834	25681	17464	25372	25696	15903	25462	26103	15733	24414	23318	13423
2950	1816	1339	5643	5144	11029	9332	4381	7545	5957	3223	13933	6112	3568	6411	5089	1952	11290	9030	4178	2460	2273	1283	5115	3495	2243	5457	3713	2339	1638	1106	726	19767	15414	7890	15646	12970	6571	18900	16488	6605	16162	24392	10736	19702	18598	10144	21797	18364	9864	15888	14861	8581
969	482	495	1727	1639	2884	2606	1181	2195	1532	876	5100	1902	909	2056	1579	639	3024	2462	992	744	739	365	1636	1233	720	1889	1190	747	536	254	243	5914	3970	1784	4681	3402	1339	5180	4466	1592	4383	7439	2742	5337	5107	2500	6044	5223	2363	3968	4502	2056
