C90L1_1	C90L1_2	C90L1_3	C90L3_1	C90L3_2	C90L3_3	C90L4_1	C90L4_2	C90L4_3	C90L5_1	C90L5_2	C90L5_3	C90M1a_1	C90M1a_2	C90M1a_3	C90M1b_1	C90M1b_2	C90M1b_3	C90M1c_1	C90M1c_2	C90M1c_3	C90N1_1	C90N1_2	C90N1_3	C90N2_1	C90N2_2	C90N2_3	C90N3_1	C90N3_2	C90N3_3	C90N4_1	C90N4_2	C90N4_3	C90P1b_1	C90P1b_2	C90P1b_3	C90P1c_1	C90P1c_2	C90P1c_3	C90P1d_3	C90P1e_1	C90P1e_2	C90P1e_3	C90P1f_1	C90P1f_2	C90P1f_3	C90P1g_1	C90P1g_2	C90P1g_3	C90P1k_1	C90P1k_2	C90P1k_3
1191	1171	4074	2987	3147	4579	2519	2312	3841	3213	2157	3455	1534	1325	1893	1217	1836	1798	1224	1560	2032	1471	1817	2198	958	1290	1316	1749	1949	2356	3915	1053	1314	3050	2132	2675	1496	3335	4010	517	2291	3470	4795	2990	4772	5403	1981	3092	3496	1286	2892	3363
3286	3592	11912	9005	9250	13073	8285	6514	12329	9157	6232	10487	4793	3791	5347	3345	5653	5551	3893	4379	6274	3992	5187	6484	2565	3388	3897	5447	5643	6962	11266	3088	3685	8734	6869	8038	4766	8591	10336	1383	7156	10667	12711	9955	14160	16443	6102	8670	9886	4403	8765	9564
7099	8313	24904	14643	15791	21225	14029	11963	20003	15643	11362	17263	10871	9442	12247	8450	13354	12949	9282	9703	13841	8592	11010	13269	5715	6977	8335	11420	11481	13835	22695	6477	6964	17284	13334	14624	11495	20093	24112	2901	13168	18273	22033	17582	24026	27238	12984	16816	19234	11279	20177	22178
8316	10005	27817	12492	14318	17578	11416	11149	17197	13879	10386	14464	13880	12670	14847	11924	17117	15892	12160	11759	16103	10203	11499	14094	6369	6848	8426	12342	11941	13529	26007	6726	6913	18202	13852	13842	15928	26339	27275	3106	14105	16534	18897	15556	18879	23075	14277	15508	18561	15429	25597	26797
7017	8564	26509	6213	6564	8914	6337	5855	9291	6940	5515	6569	12943	11846	13995	11613	15695	14337	11446	10262	13579	8239	9462	10895	5762	5172	7117	10218	10579	11031	20300	5104	5053	12441	8998	8767	14938	24506	26787	2106	7691	8018	10492	7808	8529	11250	12204	12876	15577	14571	24041	24144
3647	4282	15453	3812	3740	4976	3223	3271	5541	4259	2661	3962	7826	6651	8366	7237	9480	9274	6997	6192	8261	4629	5752	6731	3099	3017	4095	6071	5028	6095	12263	2789	3321	5726	4390	3970	9214	14444	16570	1540	4352	4971	5977	4305	5380	6762	6318	6885	7942	8883	16052	15719
1615	1585	6714	1590	1690	2192	1549	1472	2091	1511	1235	1666	2549	2447	3531	2424	3293	3343	2924	2890	4267	4202	5952	6960	3179	3511	4243	6064	5142	6750	10986	2741	3693	2597	1914	1946	3311	6003	7212	1552	2137	2544	3578	1691	2351	2959	2424	3041	3507	3180	6231	6358
1042	951	3651	881	1126	1491	850	794	1195	742	550	860	1196	1272	1859	1053	1677	1751	1840	2035	2943	3926	5774	6690	3071	3437	4336	6074	4960	7015	9620	2685	3514	1535	1033	1148	1777	3327	4418	1302	1345	1840	2570	807	1232	1486	1268	1803	2076	1438	3148	3099
530	567	1636	400	601	781	364	424	620	353	210	335	573	582	771	540	736	783	828	1096	1419	2151	3176	3336	1682	1957	2359	3354	2758	3827	4819	1557	1875	711	477	525	1032	1587	2104	548	641	1060	1333	398	545	685	687	832	889	525	1515	1279
