C90L1_1	C90L1_2	C90L1_3	C90L2_2	C90L3_1	C90L3_2	C90L3_3	C90L4_1	C90L5_1	C90L5_2	C90L5_3	C90M1a_1	C90M1a_2	C90M1a_3	C90M1b_1	C90M1b_2	C90M1b_3	C90M1c_1	C90M1c_2	C90M1c_3	C90N1_1	C90N1_2	C90N1_3	C90N2_1	C90N2_2	C90N2_3	C90N3_1	C90N3_2	C90N3_3	C90N4_1	C90N4_2	C90N4_3	C90P1b_1	C90P1b_2	C90P1b_3	C90P1c_1	C90P1c_2	C90P1c_3	C90P1d_1	C90P1d_2	C90P1d_3	C90P1e_1	C90P1e_2	C90P1e_3	C90P1f_1	C90P1f_2	C90P1f_3	C90P1g_1	C90P1g_2	C90P1g_3	C90P1j_2	C90P1k_1	C90P1k_2	C90P1k_3
277	269	108	338	399	394	132	158	281	299	93	1359	1228	421	1475	2460	1153	1568	2184	937	163	221	73	245	223	74	169	202	72	123	135	0	355	334	92	1213	2667	922	52	0	0	808	1002	347	1395	1905	696	1238	1971	603	476	612	817	326
635	708	439	876	1322	1285	907	648	779	776	513	4566	4166	2565	4587	6952	4289	4902	6890	4267	453	678	251	786	685	300	642	556	272	601	533	181	1147	1155	526	4163	10749	6339	87	164	67	2722	3830	2480	4910	7066	3911	4163	7139	3568	840	1947	3170	2352
1074	1369	902	1361	2170	2239	1472	1152	1288	1162	884	6429	5963	3795	6536	10006	6190	6972	9228	5823	1342	1743	738	2356	1955	851	1495	1759	676	1619	1525	662	1744	1536	861	7112	18516	11199	253	296	204	4941	6707	4495	8238	11892	6780	6961	11273	6228	588	3300	5265	3862
870	1150	764	886	1836	1693	1052	795	978	787	615	3841	3330	1901	3357	4924	2694	4438	5259	3119	3252	4608	2388	5015	4656	2695	3395	3841	2143	4452	4335	2687	1211	1134	599	5472	13871	7759	554	903	558	3756	5509	3438	6321	8973	4898	4887	8070	4631	185	2408	3830	2671
808	1217	752	363	1752	1479	929	675	732	602	480	2745	2492	1326	2205	3215	1377	3825	4252	2324	4798	6765	3620	7222	6683	4001	4726	5455	3075	7163	6807	4313	1117	1044	692	4144	9621	4855	899	1408	962	3269	4900	3134	5343	7298	3995	2380	3638	1888	114	1721	2966	1825
482	696	298	276	838	670	365	352	325	217	179	1620	1284	852	1124	1669	804	2217	2521	1482	4361	6178	3466	6437	6256	3800	4088	4978	2607	6828	6844	4275	743	740	407	2351	5042	2479	809	1484	906	1568	2509	1199	2034	2978	1426	1372	2358	1201	106	998	1862	1093
234	391	160	188	374	441	185	156	165	76	95	740	642	414	532	689	347	1205	1331	819	2379	3428	1762	3326	3344	1925	2142	2456	1113	3723	3786	2151	377	426	216	1192	2531	1185	388	905	551	732	1116	602	812	1123	582	787	1305	653	73	509	1047	512
117	209	0	93	167	280	82	84	88	52	0	330	259	161	244	316	155	441	605	306	806	1196	633	1222	1207	639	895	1066	440	1427	1422	752	200	219	81	493	1155	590	157	311	178	306	614	271	357	440	256	431	523	306	0	230	484	210
