E12B10a_1	E12B10a_2	E12B10a_3	E12B10b_1	E12B10b_2	E12B10b_3	E12B11_1	E12B11_2	E12B11_3	E12B12_1	E12B12_2	E12B12_3	E12B13_1	E12B13_2	E12B13_3	E12B14_1	E12B14_2	E12B14_3	E12B15_1	E12B15_2	E12B15_3	E12B16_1	E12B16_2	E12B16_3	E12B17_1	E12B17_2	E12B17_3	E12B18_1	E12B18_2	E12B18_3	E12B19_1	E12B19_2	E12B19_3	E12B1_1	E12B1_2	E12B1_3	E12B20_1	E12B20_2	E12B20_3	E12B21_1	E12B21_2	E12B21_3	E12B22_1	E12B22_2	E12B22_3	E12B23_1	E12B23_2	E12B23_3	E12B24_1	E12B24_2	E12B24_3	E12B2_1	E12B2_2	E12B2_3	E12B3a_1	E12B3a_2	E12B3a_3	E12B3b_1	E12B3b_2	E12B3b_3	E12B4_1	E12B4_2	E12B4_3	E12B5_1	E12B5_2	E12B5_3	E12B6_1	E12B6_2	E12B6_3	E12B7_1	E12B7_2	E12B7_3	E12B8_1	E12B8_2	E12B8_3	E12B9_1	E12B9_2	E12B9_3	E12L1_1	E12L1_2	E12L1_3	E12L2_1	E12L2_2	E12L2_3	E12L3_3	E12L4_1	E12L4_2	E12L4_3	E12L5_1	E12L5_2	E12L5_3	E12L6_1	E12L6_2	E12L6_3	E12N1_1	E12N1_2	E12N1_3	E12N2_1	E12N2_2	E12N2_3	E12N3_1	E12N3_2	E12N3_3	E12P10_1	E12P10_2	E12P10_3	E12P1_1	E12P1_2	E12P1_3	E12P2_1	E12P2_2	E12P2_3	E12P4_1	E12P4_2	E12P4_3	E12P5_1	E12P5_3	E12P6_1	E12P6_2	E12P6_3	E12P7_1	E12P7_2	E12P7_3	E12P8_1	E12P8_2	E12P8_3	E12P9_1	E12P9_2	E12P9_3	E12X1_1	E12X1_2	E12X1_3
435	294	0	169	328	199	385	632	978	69	257	67	151	298	253	145	689	770	726	608	587	186	102	151	610	596	473	253	136	805	341	457	351	1131	490	680	467	393	542	101	614	665	153	285	307	293	535	878	265	1192	616	284	235	486	341	393	411	559	0	0	186	295	132	153	107	325	0	82	383	388	245	168	594	815	602	391	558	689	120	99	170	140	230	161	0	678	475	279	71	174	0	276	156	118	214	624	701	428	430	696	101	393	639	893	594	1101	272	377	380	729	348	296	85	129	98	116	88	189	563	428	172	333	191	834	519	280	973	555	220	318	611	478
1112	711	111	442	851	624	1188	1749	2451	211	892	210	473	856	727	419	1838	2196	1792	1556	1522	475	334	417	1780	1672	1308	810	450	2265	937	1215	984	2780	1428	1885	1250	1007	1445	301	1414	1773	419	763	970	985	1311	2320	731	3083	1532	865	709	1316	982	1248	1200	1430	132	147	563	645	351	446	354	895	0	294	1127	1119	640	460	1627	1938	1623	1170	1583	2024	282	298	307	425	550	463	65	1656	1319	755	206	458	171	831	451	315	645	1629	1983	1323	996	1788	266	1158	1717	2548	1626	2583	690	1012	1094	1934	1061	754	291	287	242	331	195	576	1452	1152	421	896	481	2548	1566	806	2735	1590	709	874	1608	1282
2718	2056	355	1232	2154	1620	3216	4646	6122	638	2234	603	1334	1998	1702	1160	5068	5887	4705	4420	4191	1143	995	1251	4445	4186	3559	2345	1360	5559	2640	2981	2438	6806	4005	4763	3567	2830	3818	838	3976	4081	1259	2078	2399	2749	3228	5566	1981	7519	3789	2518	2123	3176	2599	3318	3286	3616	308	361	1622	1626	791	1292	1034	2361	289	1031	3057	2979	1817	1456	4015	5106	4294	3105	3849	5060	719	856	833	996	1283	1060	242	4438	3796	2282	505	1205	551	1962	1444	989	1463	3860	4737	3497	2424	4101	798	3045	4460	6627	4150	6849	1820	2676	2816	4835	2782	2122	814	875	766	834	529	1462	3964	2866	1060	2631	1450	5941	4461	2342	6814	4280	2058	2573	3880	3136
4052	3281	583	1860	3259	2434	5153	7486	9674	1121	3874	1049	2207	3192	2876	2121	8387	9956	7471	7456	6936	1936	1649	2054	7260	6740	5686	3941	2270	8383	4354	4781	3888	11656	6544	8248	5903	4815	6635	1455	6668	6550	2061	3205	4054	4476	5071	8780	3242	10999	6166	3946	3546	5193	4191	5196	4991	5638	585	712	2572	2467	1527	2204	1694	4067	597	1880	5166	4657	2951	2549	6970	8365	7024	5077	6125	8115	1044	1329	1347	1160	1706	1297	501	7085	6281	3842	938	2117	1006	3050	2378	1658	2459	5622	7493	5424	4104	6099	1326	4805	7203	10830	6943	11023	2650	4113	4467	7721	4601	3630	1299	1488	1294	1205	834	2501	6444	4767	1785	4216	2323	9643	7330	3940	10950	7351	3529	4064	6026	5109
3564	3179	589	1823	3281	2221	4877	7039	10097	1183	3787	1143	2230	3066	2827	2283	8343	9787	7349	7124	7079	2021	1711	2077	6729	6092	5778	3877	2236	7984	4176	4141	3764	11009	6445	8010	5754	4708	6578	1474	6582	6356	1995	3152	4303	4285	4937	8432	3088	10045	5976	3614	3379	5099	3863	4848	4806	5750	630	810	2506	2267	1647	2121	1651	4241	656	1975	5059	4460	2949	2656	6744	7768	7211	4745	5876	7471	1041	1289	1317	864	1344	985	538	6909	6447	3890	982	2317	1052	2967	2335	1769	2468	5310	7156	5142	3944	6015	1356	4741	7427	10865	7010	11028	2454	3936	3929	7150	4476	3598	1279	1388	1294	1165	827	2447	6192	4622	1901	4321	2395	9206	7020	3742	11123	6993	3331	3882	5716	4640
1911	1861	404	1056	1952	1282	2617	3940	5921	775	2329	744	1370	1750	1763	1342	4803	5861	4085	3793	4250	1259	1085	1174	3947	3270	3563	2394	1328	4668	2448	2201	2167	6409	3598	4335	3376	2526	4055	902	3954	4054	1212	1783	2649	2585	2914	4525	1666	5451	3017	1803	1965	2980	2238	2703	2564	3619	376	461	1455	1331	1077	1293	990	2593	386	1203	3113	2508	1551	1531	3820	4054	3669	2861	3494	4155	576	694	801	614	891	640	305	3803	3593	2160	668	1410	651	1785	1337	944	1607	2939	4190	3034	2228	3467	884	2820	4166	6198	4099	6154	1394	2537	2099	4091	2360	2139	722	814	795	639	579	1602	3654	2781	1271	2283	1418	5349	4162	2084	6322	3866	1885	2144	3122	2588
858	909	255	557	1057	634	1218	1718	3459	463	1234	425	705	845	937	801	2539	3194	2076	1769	2240	744	551	609	1869	1370	1790	1298	695	2513	1213	1072	1100	3144	1651	2083	1746	1213	2433	527	2197	2244	653	909	1390	1342	1412	2279	720	2605	1437	735	976	1638	1148	1342	1211	1809	240	253	667	670	619	683	531	1387	248	666	1776	1016	578	603	1650	1434	1528	1548	1814	1918	242	281	375	415	538	382	171	1769	1694	1038	417	647	313	898	708	503	848	1299	2056	1607	1047	1725	470	1548	2195	2708	2118	2596	660	1185	880	1721	842	965	396	371	380	317	327	1005	2007	1548	796	1083	766	2902	2123	1043	3488	1908	946	1001	1584	1227
573	492	133	253	691	348	583	1230	2030	262	746	263	377	537	636	470	1642	1788	1447	1080	1352	440	331	342	1019	942	1121	694	534	1598	636	566	644	2118	1218	1495	893	636	1303	328	1127	1330	360	568	824	978	1040	1408	556	1966	957	495	541	896	650	736	738	1149	137	134	437	449	379	368	346	840	124	436	1041	500	341	306	946	1007	871	941	1208	1410	203	157	186	306	386	268	63	1173	918	724	209	284	139	642	423	306	509	901	1443	928	808	1061	232	987	1327	1645	1180	1645	457	664	453	1060	344	378	249	199	185	235	186	738	1155	964	538	666	463	1990	1262	527	2350	1178	557	591	1087	873
