E12B10a_1	E12B10a_2	E12B10a_3	E12B10b_1	E12B10b_2	E12B10b_3	E12B11_1	E12B11_2	E12B11_3	E12B12_1	E12B12_2	E12B12_3	E12B13_1	E12B13_2	E12B13_3	E12B14_1	E12B14_2	E12B14_3	E12B15_1	E12B15_2	E12B15_3	E12B16_1	E12B16_2	E12B16_3	E12B17_1	E12B17_2	E12B17_3	E12B18_1	E12B18_2	E12B18_3	E12B19_1	E12B19_2	E12B19_3	E12B1_1	E12B1_2	E12B1_3	E12B20_1	E12B20_2	E12B20_3	E12B21_1	E12B21_2	E12B21_3	E12B22_1	E12B22_2	E12B22_3	E12B23_1	E12B23_2	E12B23_3	E12B24_1	E12B24_2	E12B24_3	E12B2_1	E12B2_2	E12B2_3	E12B3a_1	E12B3a_2	E12B3a_3	E12B3b_1	E12B3b_2	E12B3b_3	E12B4_1	E12B4_2	E12B4_3	E12B5_1	E12B5_2	E12B5_3	E12B6_1	E12B6_2	E12B6_3	E12B7_1	E12B7_2	E12B7_3	E12B8_1	E12B8_2	E12B8_3	E12B9_1	E12B9_2	E12B9_3	E12L1_1	E12L1_2	E12L1_3	E12L2_1	E12L2_2	E12L2_3	E12L3_1	E12L3_2	E12L3_3	E12L4_1	E12L4_2	E12L4_3	E12L5_1	E12L5_2	E12L5_3	E12L6_1	E12L6_2	E12L6_3	E12N1_1	E12N1_2	E12N1_3	E12N2_2	E12N2_3	E12N3_1	E12N3_2	E12N3_3	E12P10_1	E12P10_2	E12P10_3	E12P1_1	E12P1_2	E12P1_3	E12P2_1	E12P2_2	E12P2_3	E12P4_1	E12P4_2	E12P4_3	E12P5_1	E12P5_2	E12P5_3	E12P6_1	E12P6_2	E12P6_3	E12P7_1	E12P7_2	E12P7_3	E12P8_1	E12P8_2	E12P8_3	E12P9_1	E12P9_2	E12P9_3	E12X1_1	E12X1_2	E12X1_3
237	140	161	158	0	151	63	0	134	96	0	104	102	0	74	115	0	82	134	63	166	149	0	191	135	0	196	63	116	96	101	81	160	170	77	313	108	0	122	101	100	161	90	0	153	81	0	139	0	0	132	0	0	161	174	156	212	171	131	275	181	197	205	124	58	122	112	76	181	150	0	184	52	0	203	104	89	180	110	77	257	122	63	247	89	0	162	150	90	178	131	67	182	0	0	140	87	0	78	0	67	87	0	133	145	53	249	90	170	154	169	113	217	126	88	204	127	69	154	124	75	185	176	63	209	197	77	384	130	0	141	197	252	293
928	991	929	525	454	781	345	414	485	466	223	581	453	600	323	443	227	579	497	435	888	638	340	948	534	349	909	396	714	395	494	562	600	944	441	1159	495	447	793	480	635	860	342	408	709	439	503	599	294	424	474	234	284	404	765	789	1122	954	764	1372	854	763	1223	462	426	764	569	417	666	567	404	819	404	246	858	475	565	894	738	394	1154	583	328	984	287	81	556	640	398	754	612	328	842	195	146	390	155	214	228	89	159	96	90	218	689	262	942	668	627	902	805	519	907	516	404	974	654	407	809	741	439	935	665	467	1014	970	455	1397	683	277	754	1009	1481	1382
3486	3480	3718	2421	2530	3159	1943	2525	1952	1750	899	2278	2529	3465	1658	1585	1010	2308	2767	2627	4210	2738	2145	3775	3427	2609	3856	1985	4017	1802	2089	2648	2840	4338	2748	5413	2877	3488	3915	2530	3923	3877	1771	2477	2897	2440	2819	2930	2031	2673	2198	825	964	1398	1913	2207	3059	2647	2341	3910	2495	2125	3744	2136	2188	3128	2333	2005	2972	3032	2120	3559	1842	1597	3447	2932	3173	4013	2537	2245	3981	2811	1864	4111	1128	614	2086	2341	1538	2551	2606	1508	2856	881	524	1229	612	877	785	449	795	522	517	797	2920	1326	3907	3461	3191	4209	3726	2932	4437	2221	1959	3721	3203	2254	3730	3685	2545	4013	3768	2590	4659	4615	2791	5381	3364	1756	3896	3013	4251	3851
4460	4874	5258	4817	5116	6742	4674	5891	4396	3740	2393	5126	5391	6490	3603	4294	3456	6250	5705	5432	8579	5663	4873	7726	6302	4884	7208	4028	7628	3746	4292	5757	5448	7353	4727	9448	5331	6678	7425	4656	7103	7146	4174	5828	6007	4832	5204	5788	3850	5363	4398	2801	3303	4040	2883	3040	3551	2673	2610	3657	2874	2625	4619	4734	4659	6664	5280	4795	6706	6143	4744	7151	4067	3949	7171	5020	5598	6606	4575	3658	5987	5094	3332	7573	2748	1448	4291	4359	3037	4871	5155	3259	6042	2929	2083	3987	2538	3444	2832	2650	2974	2334	2591	3131	6164	2949	8190	5512	5223	6849	6717	5129	7868	3598	3115	5316	5327	3988	5967	6647	5342	8028	7038	4983	8563	7799	5052	9131	5913	3361	7038	2653	3576	3388
5066	5771	5894	4603	4870	6801	5253	6670	4680	4004	2673	5635	4787	6030	3552	5536	4773	7878	5527	4958	7729	5920	5055	7503	5419	4319	6397	3553	6404	3581	4157	5841	5306	4992	3032	6516	4556	5628	6149	3956	5708	6281	4545	6288	6079	4271	4581	5293	3529	5217	4116	4777	5465	6201	4870	5355	5701	3708	3927	5372	4261	3868	6217	4609	4974	6647	5899	4963	6742	6044	4910	7113	4350	4581	7346	3383	3695	4253	4052	2452	4330	4228	2716	6899	3014	1679	4265	5084	3524	5715	4167	2872	5432	4577	3340	6625	5250	6531	5546	5307	5920	4753	5228	6236	4227	2056	6069	3539	3251	4664	5210	3735	6034	2835	2645	4199	4423	3436	5116	5937	4789	7325	6524	4644	7740	6168	3826	6799	4898	2791	5741	3268	4396	4335
3633	4253	4357	3024	3240	4752	3855	4662	3451	3007	1998	4331	2991	3741	2432	4881	4390	6836	3776	3125	5045	4191	3591	5724	3143	2704	3946	2445	4226	2515	2815	4158	3579	4514	2603	5618	2432	2853	3341	2303	3219	3692	3371	4350	4488	2648	2745	3159	2261	3177	2682	5040	5995	6254	4788	5049	5510	3038	3248	4502	4075	3609	5056	3382	3527	5183	4921	4081	6061	4012	3812	4920	3408	3347	5623	2381	2486	2925	3526	1737	3664	2806	1844	4383	2254	1252	3499	4017	2626	4526	3941	2726	5217	4950	3446	7238	6020	7190	6353	5503	6547	5270	5805	7129	3675	1736	5320	1699	1456	2485	3763	2564	4503	1288	1241	1871	2874	2211	3621	3835	3101	4930	4054	2907	4809	2651	1727	3251	2784	1336	3092	2118	2322	2859
1645	1682	2041	1387	1378	2134	1695	2112	1695	1274	971	2018	1169	1489	1121	2451	2413	3566	1674	1143	2336	1835	1561	2699	1279	934	1554	997	1731	1103	1159	1732	1607	2264	1188	2979	902	1104	1285	951	1343	1575	1582	1972	2158	976	1170	1328	925	1245	1128	2717	3461	3216	2743	2624	2782	1477	1369	2069	2039	1830	2556	1608	1524	2271	2342	1987	3131	1882	1832	2348	1529	1487	2637	1034	1185	1409	1682	857	2063	1231	676	1820	954	395	1511	1979	1303	2283	2229	1287	2803	3027	1982	4345	3606	4389	3657	2943	3848	3104	3450	4068	1857	864	2590	764	540	1220	1692	1116	2238	539	440	700	1312	858	1627	1657	1309	2332	1672	1183	2134	1099	577	1296	1072	549	1324	950	1057	1252
755	832	906	718	708	930	928	1093	942	679	540	1103	612	814	473	1182	1294	1786	929	661	1079	1003	771	1247	562	462	721	533	875	501	679	891	747	1320	703	1467	427	574	525	507	662	863	1077	978	1050	600	650	668	501	615	604	1116	1379	1385	1370	1102	1428	797	734	1097	1051	938	1238	942	885	1199	1333	1054	1605	1017	1004	1150	854	776	1351	571	642	756	893	444	1025	640	378	862	486	201	806	1032	685	1137	1215	668	1558	1322	768	2006	1271	1667	1423	937	1353	1288	1167	1539	1013	501	1322	486	290	682	1006	645	1107	224	258	363	629	414	788	880	749	1342	858	620	1120	568	372	663	599	243	676	574	595	579
