E12B10a_1	E12B10a_2	E12B10a_3	E12B10b_1	E12B10b_2	E12B10b_3	E12B11_1	E12B11_2	E12B11_3	E12B12_1	E12B12_2	E12B12_3	E12B13_1	E12B13_2	E12B13_3	E12B14_1	E12B14_2	E12B14_3	E12B15_1	E12B15_2	E12B15_3	E12B16_1	E12B16_2	E12B16_3	E12B17_1	E12B17_2	E12B18_1	E12B18_2	E12B18_3	E12B19_1	E12B19_2	E12B19_3	E12B1_1	E12B1_2	E12B1_3	E12B20_1	E12B20_2	E12B20_3	E12B21_1	E12B21_2	E12B21_3	E12B22_1	E12B22_2	E12B22_3	E12B23_1	E12B23_2	E12B23_3	E12B24_1	E12B24_2	E12B24_3	E12B2_1	E12B2_2	E12B2_3	E12B3a_1	E12B3a_2	E12B3a_3	E12B3b_1	E12B3b_2	E12B3b_3	E12B4_1	E12B4_2	E12B4_3	E12B5_1	E12B5_2	E12B5_3	E12B6_1	E12B6_2	E12B6_3	E12B7_1	E12B7_2	E12B7_3	E12B8_1	E12B8_2	E12B8_3	E12B9_1	E12B9_2	E12B9_3	E12L1_1	E12L1_2	E12L1_3	E12L2_1	E12L2_2	E12L2_3	E12L3_1	E12L3_2	E12L3_3	E12L4_1	E12L4_2	E12L4_3	E12L5_1	E12L5_2	E12L5_3	E12L6_1	E12L6_2	E12L6_3	E12N1_1	E12N1_2	E12N1_3	E12N2_1	E12N2_2	E12N2_3	E12N3_1	E12N3_2	E12N3_3	E12P10_1	E12P10_2	E12P10_3	E12P1_1	E12P1_2	E12P1_3	E12P2_1	E12P2_2	E12P2_3	E12P4_1	E12P4_2	E12P4_3	E12P5_1	E12P5_2	E12P5_3	E12P6_1	E12P6_2	E12P6_3	E12P7_1	E12P7_2	E12P7_3	E12P8_1	E12P8_2	E12P8_3	E12P9_1	E12P9_2	E12P9_3	E12X1_1	E12X1_2	E12X1_3
667	701	665	638	889	556	868	1135	813	748	834	673	836	927	792	882	868	665	879	703	662	955	712	592	1635	1849	975	1474	1084	822	839	663	1125	1053	843	899	895	689	774	965	679	730	884	616	948	1164	866	791	1079	1026	753	868	867	741	1005	898	597	861	726	794	811	638	911	855	746	797	810	732	1235	1300	961	857	1083	772	884	929	836	549	776	546	732	751	730	1011	767	548	881	775	685	593	849	693	706	880	236	768	1039	695	656	772	709	795	864	752	798	952	876	1110	1308	1384	1033	1086	826	722	644	409	821	525	403	957	777	656	859	812	685	951	896	736	766	920	795	883	1424	1089
1296	1584	1582	1291	1585	1307	2058	2274	1786	1459	1705	1386	1581	2103	1596	1794	1825	1433	1690	1707	1560	1674	1452	1315	2706	2840	1688	2807	2310	1635	1903	1412	2376	2185	1943	1673	1858	1583	1658	2137	1573	1490	1874	1386	1876	2219	1621	1569	2376	2057	1649	1890	1804	1607	2327	1865	1254	1808	1530	1433	1783	1497	1733	2018	1489	1630	1663	1639	2070	2364	1660	1786	2167	1762	1672	2144	1773	1101	1156	1075	1637	1475	1458	1565	1424	1024	1684	1529	1474	1106	1633	1395	1442	1811	423	1562	2188	1630	1592	1803	1512	1459	1867	1653	1740	2119	1952	1857	2136	2186	2002	2175	1665	1339	1262	838	1522	1075	756	2018	1683	1400	1560	1622	1508	1844	1891	1703	1553	1675	1748	1773	2719	2468
2302	2480	2177	2008	2911	1822	3092	3309	2524	2401	2989	2031	2748	3066	2133	3172	3034	2235	2970	2970	2235	2657	2529	2027	3861	4392	2689	4070	2979	2801	3038	2099	3625	3623	2714	2959	2914	2318	2814	3060	2172	2331	2666	2040	3090	3558	2249	2652	3462	3053	2575	3180	2453	2508	3662	2629	2230	2958	2111	2488	3117	2241	2928	2913	2065	2616	3158	2403	3035	3928	2427	2842	3481	2737	2819	3227	2585	1818	2058	1600	2720	2648	2456	2530	2100	1284	2751	2576	2067	1670	2856	1921	2206	2894	954	2629	3298	2240	2718	2987	2137	2542	2822	2404	2669	3411	2851	2815	3503	3420	3059	3579	2579	2149	2218	1413	2219	2089	1240	3062	2950	2173	2291	2678	2040	2716	3151	2488	2278	2750	2478	2933	4095	3121
3764	4457	4177	3394	4650	3693	5141	6035	4820	4109	4969	4085	4401	5535	4086	5115	5432	4363	4908	5104	4132	4359	4286	3741	5880	6762	4260	6812	5421	4574	5264	4291	5921	5758	4815	4942	5150	4598	4704	5661	4237	3983	5142	4151	4979	5850	4134	4345	5946	5383	4261	5164	4248	4041	6157	4992	3695	5154	4330	4004	5098	4025	4855	5205	3910	4500	5098	4437	5010	5941	4545	4753	5666	4637	4556	5448	4493	2915	3302	3116	4550	4414	4106	4138	3595	2553	4627	4270	4150	2924	4766	3809	3915	5013	1796	4220	5908	4007	4396	5401	4090	4217	5214	4518	4566	5635	5035	4554	5145	5583	5077	5608	4630	3689	3666	2678	3823	3416	2438	4962	4811	3996	4082	4318	3863	4705	5454	4367	3761	4540	4346	4696	7175	5851
4008	4845	5040	3785	5528	4262	5611	6740	5536	4421	6020	4632	4736	6340	4851	5710	6447	5122	5531	5853	4773	4869	4823	4253	5956	7193	4446	7583	6403	5018	6186	4804	6783	6316	5652	5443	6086	5440	5157	6328	5170	4444	5763	4992	5375	6588	4672	4759	6962	6576	4628	5665	4973	4305	6959	5683	4002	5978	4825	4392	5817	4764	5316	6005	4472	5120	5910	5073	5315	6493	5013	5423	6376	5361	4988	6202	5414	2999	3359	3332	4981	4723	4555	4568	3980	2843	5131	4863	4767	3032	5274	4301	4342	5549	1566	4633	6795	4755	4886	5915	4828	4561	5998	5477	4888	5976	5571	4742	5360	6156	5533	6094	5363	4003	4092	3001	3977	3802	2715	5578	5358	4521	4375	4859	4477	5269	6091	5289	4189	5105	5110	5042	7921	6849
4236	5351	5258	4046	5968	4558	5736	7336	5987	4854	6505	5001	4922	6553	5268	6089	7007	5287	5903	6427	5178	5008	5212	4517	5920	7159	4445	7957	6645	5288	6623	5263	6850	6589	5919	5827	6514	5841	5284	6866	5415	4721	6299	5436	5579	6749	5009	4952	7190	6795	4867	6185	5126	4512	7219	6058	4180	6386	5204	4504	6112	4987	5614	6543	4722	5238	6366	5419	5456	6672	5187	5648	6689	5536	5241	6597	5520	3220	3659	3463	5298	5105	4869	5033	4604	3340	5403	5330	4958	3152	5636	4550	4543	5963	1492	4968	7288	5047	5147	6332	5121	4856	6277	5735	5071	6151	5965	4802	5336	6193	5564	6275	5586	4130	4358	3091	4217	4044	2915	5759	5745	4695	4527	5196	4691	5557	6372	5716	4282	5233	5332	5224	8450	7248
2708	3564	3437	2767	4040	3021	3703	4803	3868	3124	4357	3401	3134	4352	3385	3881	4387	3546	3586	4068	3344	3279	3390	3018	3581	4366	2802	4853	4308	3373	4343	3400	4154	4039	3562	3641	4202	3722	3411	4565	3669	2995	4284	3575	3516	4317	3224	3105	4322	4304	3048	3829	3226	2760	4619	3976	2792	4123	3455	2899	3796	3291	3698	4384	3237	3345	4075	3614	3563	4312	3330	3346	4028	3611	3329	4066	3658	2147	2450	2420	3361	3235	3253	3696	3213	2409	3447	3394	3228	2129	3807	3051	2941	3752	560	3274	4604	3235	3381	4072	3334	3162	4166	3865	3081	3755	3720	2706	3387	3849	3424	3863	3597	2680	2773	1985	2799	2694	1981	3701	3680	3057	2967	3380	3054	3379	3842	3492	2759	3136	3383	3245	5265	4475
1368	1732	1794	1274	1866	1738	1915	2245	2198	1434	2010	1843	1689	2104	1940	1984	2060	1784	1755	1924	1824	1577	1598	1673	1716	2391	1438	2457	2526	1694	2197	2054	2255	1948	1935	1801	1924	2072	1760	2095	2042	1394	1990	1986	1704	2098	1846	1534	2248	2580	1579	1824	1844	1515	2270	1961	1441	1998	1805	1458	1819	1843	1808	2029	1758	1690	1879	1960	1917	2066	1791	1867	2019	2082	1506	2119	2058	945	1159	1278	1523	1546	1751	1845	1533	1310	1849	1559	1663	1176	1851	1575	1596	1734	339	1531	2291	1839	1674	2071	1778	1587	2031	2242	1451	1828	2003	1496	1666	1998	1761	1803	1856	1475	1242	985	1376	1349	1012	1992	1824	1567	1623	1738	1609	1827	1872	1922	1613	1722	1728	1644	2507	2548
357	504	442	370	631	366	466	833	478	404	682	417	498	602	333	452	598	320	450	531	340	448	539	321	592	815	359	861	573	405	698	457	533	517	434	384	684	576	341	730	379	342	731	445	508	799	504	417	546	595	423	626	378	392	790	491	347	578	420	351	468	409	515	543	419	396	628	403	546	784	392	440	635	441	377	655	436	330	378	339	375	329	410	762	440	430	395	397	311	290	439	399	355	392	169	379	815	464	387	670	414	354	669	442	295	378	433	286	540	515	386	555	503	310	351	143	409	355	262	453	451	345	394	504	378	390	612	505	295	477	514	409	820	566
