E12B10a_1	E12B10a_2	E12B10a_3	E12B10b_1	E12B10b_2	E12B10b_3	E12B11_1	E12B11_2	E12B11_3	E12B12_1	E12B12_2	E12B12_3	E12B13_1	E12B13_2	E12B13_3	E12B14_1	E12B14_2	E12B14_3	E12B15_1	E12B15_2	E12B15_3	E12B16_1	E12B16_2	E12B16_3	E12B17_1	E12B17_2	E12B17_3	E12B18_1	E12B18_2	E12B18_3	E12B19_1	E12B19_2	E12B19_3	E12B1_1	E12B1_2	E12B1_3	E12B20_1	E12B20_2	E12B20_3	E12B21_1	E12B21_2	E12B21_3	E12B22_1	E12B22_2	E12B22_3	E12B23_1	E12B23_2	E12B23_3	E12B24_1	E12B24_2	E12B24_3	E12B2_1	E12B2_2	E12B2_3	E12B3a_1	E12B3a_2	E12B3a_3	E12B3b_1	E12B3b_2	E12B3b_3	E12B4_1	E12B4_2	E12B4_3	E12B5_1	E12B5_2	E12B5_3	E12B6_1	E12B6_2	E12B6_3	E12B7_1	E12B7_2	E12B7_3	E12B8_1	E12B8_2	E12B8_3	E12B9_1	E12B9_2	E12B9_3	E12L1_1	E12L1_2	E12L1_3	E12L2_1	E12L2_2	E12L2_3	E12L3_1	E12L3_2	E12L3_3	E12L4_1	E12L4_2	E12L4_3	E12L5_1	E12L5_3	E12L6_1	E12L6_2	E12L6_3	E12N1_1	E12N1_2	E12N1_3	E12N2_1	E12N2_2	E12N2_3	E12N3_1	E12N3_2	E12N3_3	E12P10_1	E12P10_2	E12P10_3	E12P1_1	E12P1_2	E12P1_3	E12P2_1	E12P2_2	E12P2_3	E12P4_1	E12P4_2	E12P4_3	E12P5_1	E12P5_2	E12P5_3	E12P6_1	E12P6_2	E12P6_3	E12P7_1	E12P7_2	E12P7_3	E12P8_1	E12P8_2	E12P8_3	E12P9_1	E12P9_2	E12P9_3	E12X1_1	E12X1_2	E12X1_3
910	1002	840	798	965	863	494	489	532	1045	935	1087	1094	858	1023	2202	1798	8972	1619	1405	1447	921	580	511	429	410	476	529	679	749	1323	1171	1116	2219	1916	1480	1770	1543	1334	1433	1396	1421	858	1024	1096	718	795	690	922	1278	1271	934	763	799	1083	1185	1163	1143	1114	1202	814	876	737	1009	951	878	1510	1218	1382	426	354	371	968	1137	999	1151	1038	1112	371	420	487	950	994	897	476	481	397	1615	1890	1538	808	800	1256	1297	1128	910	1092	980	1245	1268	1141	1193	1345	1159	1047	1683	1642	746	1210	969	976	1138	923	612	462	415	443	297	216	1855	2035	1626	1259	1296	1070	1052	1256	1087	1107	980	933	834	919	1047
1613	1898	1507	1250	1893	1742	922	949	932	1908	1845	2012	1857	1876	1978	3400	3333	22205	2798	2644	2783	1647	1077	1158	693	829	891	1176	1381	1384	2200	2164	2173	3620	3272	2886	2953	2685	2498	2316	2680	2747	1668	1909	2037	1260	1418	1169	1623	2252	2103	1786	1471	1445	1937	2077	2411	1993	1996	2212	1288	1469	1403	1366	1444	1355	2628	2308	2600	842	733	686	1744	1870	1882	1978	1984	2033	754	791	928	1797	1911	1636	972	892	783	2833	3226	2687	1436	1493	2146	2508	2111	1576	1822	1823	2217	2328	2009	2283	2504	2141	2052	3052	2956	1416	2196	1914	1781	2053	1757	1088	954	840	707	510	366	3038	3572	3266	2056	2305	2094	2042	2323	2149	1948	1803	1858	1431	1768	1886
3982	3824	3185	2950	3728	3446	2397	2213	2196	4747	3714	4412	4159	3308	3712	10570	8728	13510	8382	6890	6858	3401	2394	2526	2079	2003	2030	2554	2895	2746	5283	5109	4618	9456	8659	6706	7858	6382	5950	5809	5870	5424	3393	3753	4092	3725	3397	3261	4078	5186	4985	4449	3404	2940	4964	4812	4857	4464	4717	5061	3159	3346	2719	4532	4396	3953	6885	5535	6009	2028	1795	1803	4638	4256	4555	4839	4177	4257	1503	1513	1707	4388	4655	3443	1923	1692	1425	7054	8559	6669	3304	2727	5672	6164	4932	3795	4269	4326	5426	4897	4701	4984	6001	4796	5373	7919	7292	3629	4998	3523	4605	4588	3226	2547	2118	1589	1513	1402	830	7549	9347	6144	5294	5632	4102	5392	5667	4328	4197	4879	3884	3646	3840	4324
9519	9679	7841	6973	9157	8641	5962	5937	5715	11627	9579	11154	10405	8457	8999	25749	22435	10800	20709	17468	17445	8464	6032	6382	4762	4593	4927	6105	7359	6733	13247	12644	11548	23686	21790	17847	19974	16486	15534	14079	14522	13751	8871	9655	9997	8692	8212	7554	9604	12333	11532	10433	8215	7340	11968	12234	11980	11626	11806	12401	7983	8267	7154	9592	9425	8727	17166	14058	15104	4879	4301	4375	11184	10654	10917	11564	10293	10515	3890	4012	4249	10594	11165	8663	4689	4268	3578	18355	21800	16976	7996	7216	14031	15285	12556	9836	10301	10785	13738	12519	11553	12970	14528	12327	13936	19266	18125	8763	12725	8776	10968	11553	8195	6129	5203	3862	3548	3393	2203	19318	22699	16501	12762	13691	10518	13862	14434	11312	10930	11980	9893	8763	8975	10430
6192	6059	5071	4330	5484	5106	3878	3922	3713	6966	5935	6665	6314	5286	5258	15720	13596	10622	12544	10548	10507	5363	3718	4074	2653	2499	2818	3573	4324	4091	8459	7314	7273	13800	12897	10150	11679	9450	9154	8684	8737	8274	5669	6000	6082	5010	4537	4438	5854	7168	6707	6427	5127	4380	7541	7271	7139	7525	7278	7426	5082	5281	4403	5715	5699	5235	10495	8539	8749	3008	2588	2483	6702	6181	6576	7173	6150	6219	2722	2823	2763	6620	6770	5315	2859	2470	2026	11030	13213	10021	4931	4497	9403	9582	7502	5855	6023	6635	8548	7196	7269	8283	8381	7799	8191	11186	10539	5700	8025	5089	7030	7412	4917	3846	3267	2286	2117	1970	1352	11759	13784	9546	8286	8399	5784	9512	9461	7220	6400	7174	5297	5270	5191	6324
4742	4511	4050	3353	3893	3517	3196	3256	2912	5337	4940	5250	4777	4344	3933	11986	10817	3168	9609	8668	8307	4030	3105	3143	1890	1868	1967	2776	3449	3531	6885	5238	5543	11103	10997	8402	9586	7498	7202	6785	6472	6386	4589	4916	4568	3688	3337	3413	4863	5631	5094	4748	4274	3700	6096	5585	5723	5968	5811	5369	3857	4358	3566	4416	4718	4328	8109	6897	6675	2149	1999	1689	5215	4934	5079	5556	5015	4944	2326	2368	2170	5031	4986	4233	2075	1852	1577	8462	10271	7994	3670	3789	7444	7407	5929	4975	4920	5429	6686	5679	6177	6591	6506	6359	6517	8460	8541	4839	6394	4351	5768	5902	4275	3129	2687	2057	1616	1322	1012	9309	10345	7787	6850	6578	4499	7390	7257	5925	4905	5800	4175	3939	4063	4945
4692	4458	3917	3233	3668	3580	2917	3059	2511	5185	4834	5213	4646	4446	4004	11740	10530	550	9545	8629	8274	3968	3045	3062	1855	1949	1987	2829	3483	3713	7226	5403	5699	12613	12089	8945	10124	7855	7473	6617	6541	6566	4586	4878	4505	3671	3250	3416	5112	5739	5108	4708	4375	3712	6089	5513	5472	6047	5695	5529	3873	4363	3715	4514	4661	4548	8514	7180	7171	2138	1827	1610	5510	5286	5285	5610	5144	5082	1658	1721	1443	4920	4901	4208	2006	1869	1485	9155	10824	8234	3820	3750	7084	6851	5564	5133	5060	5305	6880	6082	6050	6435	6561	6512	6853	9258	9199	4841	6422	4403	5862	5991	4377	3112	2519	1988	1639	1295	1025	10488	11171	8325	7202	6837	4890	7377	7199	5914	5206	6168	4432	3898	4079	4914
1841	1488	1274	1151	1212	1339	828	910	812	1689	1474	1888	1557	1470	1279	4109	3283	0	3157	2599	2822	1279	1002	992	700	682	658	892	1167	1223	2458	1811	1916	4291	4149	2897	3314	2470	2439	2198	2252	2191	1426	1629	1555	1263	1046	1185	1835	1971	1700	1455	1511	1256	1928	1528	1871	2033	1904	1836	1250	1432	1032	1377	1694	1588	2835	2399	2182	723	500	506	1898	1660	1788	1810	1734	1741	473	490	420	1569	1738	1271	639	642	474	3100	3790	2600	1445	1151	2526	2402	1655	1694	1660	1747	2374	1754	2033	2264	2243	2110	2227	3256	3164	1539	2019	1512	1959	1937	1341	1023	767	543	628	471	286	3637	3939	2525	2650	2502	1702	2387	2333	1833	1774	2095	1401	1332	1299	1568
