E12B10a_1	E12B10a_2	E12B10a_3	E12B10b_1	E12B10b_2	E12B10b_3	E12B11_1	E12B11_2	E12B11_3	E12B12_1	E12B12_2	E12B12_3	E12B13_1	E12B13_2	E12B13_3	E12B14_1	E12B14_2	E12B14_3	E12B15_1	E12B15_2	E12B15_3	E12B16_1	E12B16_2	E12B16_3	E12B17_1	E12B17_2	E12B17_3	E12B18_1	E12B18_2	E12B18_3	E12B19_1	E12B19_2	E12B19_3	E12B1_1	E12B1_2	E12B1_3	E12B20_1	E12B20_2	E12B20_3	E12B21_1	E12B21_2	E12B21_3	E12B22_1	E12B22_2	E12B22_3	E12B23_1	E12B23_2	E12B23_3	E12B24_1	E12B24_2	E12B24_3	E12B2_1	E12B2_2	E12B2_3	E12B3a_1	E12B3a_2	E12B3a_3	E12B3b_1	E12B3b_2	E12B3b_3	E12B4_1	E12B4_2	E12B4_3	E12B5_1	E12B5_2	E12B5_3	E12B6_1	E12B6_2	E12B6_3	E12B7_1	E12B7_2	E12B7_3	E12B8_1	E12B8_2	E12B8_3	E12B9_1	E12B9_3	E12L1_1	E12L1_2	E12L1_3	E12L2_1	E12L2_2	E12L2_3	E12L3_1	E12L3_2	E12L3_3	E12L4_1	E12L4_2	E12L4_3	E12L5_1	E12L5_2	E12L5_3	E12L6_1	E12L6_2	E12L6_3	E12N1_1	E12N1_2	E12N1_3	E12N2_1	E12N2_2	E12N2_3	E12N3_1	E12N3_2	E12N3_3	E12P10_1	E12P10_2	E12P10_3	E12P1_1	E12P1_2	E12P1_3	E12P2_1	E12P2_2	E12P2_3	E12P4_1	E12P4_2	E12P4_3	E12P5_1	E12P5_2	E12P5_3	E12P6_1	E12P6_2	E12P6_3	E12P7_1	E12P7_2	E12P7_3	E12P8_1	E12P8_2	E12P8_3	E12P9_1	E12P9_2	E12P9_3	E12X1_1	E12X1_2	E12X1_3
417	306	387	419	159	294	456	497	460	770	330	359	208	575	228	431	171	325	380	310	415	541	217	396	500	201	332	458	420	162	372	259	321	399	201	519	382	278	459	452	389	424	478	412	483	449	343	481	540	519	211	213	283	357	2140	322	466	248	494	425	222	285	365	241	267	396	444	341	468	357	359	631	338	331	487	450	299	256	300	311	209	294	372	316	407	370	336	271	392	1507	2361	1248	254	180	818	248	313	326	564	209	373	300	387	382	258	402	515	360	378	354	317	274	519	294	248	281	262	397	499	410	268	522	394	307	562	495	340	623	327	292	434	442	562	146
933	683	815	793	336	620	1082	1133	1049	1265	754	602	595	1183	519	924	366	739	933	701	838	1124	561	738	1191	517	797	991	936	474	793	623	768	888	525	1166	832	695	1126	1019	869	869	823	796	937	835	798	1057	1336	974	575	509	545	772	3957	800	1113	510	949	1000	560	673	731	512	666	877	944	892	1074	925	762	1180	824	812	1182	1143	760	577	561	715	436	658	875	710	945	698	741	749	799	2319	3124	2307	552	425	1658	562	651	613	1020	473	829	575	671	771	613	1014	1128	861	690	880	822	657	1108	707	615	600	571	921	1181	915	646	1120	818	826	1099	1163	920	1539	938	803	1126	899	987	381
2654	1786	2229	1939	833	1583	2815	2902	2699	2190	1693	1359	1820	2764	1415	2758	1130	2155	2720	1972	2193	2947	1366	1418	3022	1308	1552	2748	2477	1387	2245	1498	2145	2344	1650	3175	2308	1964	3224	2574	2245	2357	2275	2148	2468	1574	2167	1938	3567	2137	1738	1415	1409	2131	4893	2298	2995	1410	2299	2448	1519	1539	1887	1516	1895	2183	2094	2403	2812	2075	1917	2082	2039	2121	2580	3164	2269	1418	1227	1891	1143	1799	2176	1183	1719	1349	1831	2269	2034	2829	3030	3487	1323	1081	2926	1491	1616	1232	2020	1115	2156	1552	1469	1943	1794	2805	3199	2304	1765	2214	2284	1871	3189	1779	1399	1554	1477	1676	2367	2474	1830	2587	2019	2420	2546	2835	2772	3941	2520	2569	3230	1637	1780	1021
4524	3147	4059	3153	1499	2682	5457	5349	4885	2885	2888	2126	3259	4787	2469	5229	2139	4141	5093	3598	3767	5039	2279	2155	5484	2208	2272	4846	4543	2509	4046	2478	3995	4759	3211	6431	4228	3518	5859	4304	4138	4131	4224	3759	4246	2313	3851	2694	5945	3703	3195	2508	2669	4047	3989	4196	5568	2583	3776	4412	2661	2697	3273	2759	3534	3726	3715	4426	5158	3538	3402	2690	3799	4012	4466	5589	4263	2255	2149	3396	1968	3104	3859	1510	2138	1939	3327	4099	3590	2826	3062	4015	2280	1869	3850	2819	2981	1779	2990	1880	3912	2829	2562	3255	3452	5319	6228	4236	2928	3873	4142	3586	5941	2837	2400	2576	2612	2269	3423	4512	3481	4287	3603	4280	4479	4822	5027	7030	4776	4762	6099	2091	2392	1926
5552	3773	4967	3698	1854	2983	6760	6941	6124	3139	3252	2408	3934	5442	2763	6779	2724	5489	6229	4379	4553	5988	2848	2240	6357	2521	2281	6072	5401	2963	4820	2992	4862	6063	4175	8077	5065	4059	6953	4824	5005	4849	5030	4741	5064	2465	4875	2875	6943	4434	3930	3041	3527	5575	2534	5392	6963	3168	4659	5313	3218	3289	4001	3359	4598	4546	4353	5554	6452	4021	3840	2795	4727	5107	5300	6544	5364	2479	2584	3654	2231	3641	4321	1445	1965	2078	4078	4968	4463	2132	2253	3566	2805	2301	4069	3668	3883	1811	3637	2491	5030	3732	3257	4198	4255	6720	7838	5158	3618	4775	5223	4506	7741	3213	2618	3117	3011	2550	4019	5351	4164	5040	4414	5332	5193	5565	5589	8087	5883	5777	7262	2258	2547	2339
3784	2678	3264	2424	1212	1793	4620	4637	4255	1926	2163	1618	2349	3142	1622	4686	1928	3918	4034	2878	3022	4135	1920	1396	4149	1444	1386	3847	3216	1870	2996	1861	3096	4271	2896	5929	3047	2343	4255	3068	3169	3105	3334	3125	3489	1428	3055	1741	4163	2735	2422	2198	2738	4237	1353	3903	5140	2135	3170	3619	2167	2228	2698	2212	3095	2939	3155	3920	4713	2518	2470	1640	3095	3491	3582	4263	3339	1516	1760	2299	1410	2293	2915	760	910	1260	2679	3097	2837	1142	1323	2120	2046	1707	2407	2948	2979	1296	2595	2007	3985	2896	2570	3166	2919	4770	5504	3348	2124	2940	3647	3385	5466	1718	1398	1683	1880	1583	2444	3700	2901	3279	3000	3267	3463	2996	2994	4459	3782	3465	4665	1339	1553	1418
945	745	881	724	380	555	1158	1428	1233	548	576	494	533	837	334	1462	532	1256	1175	821	1016	1270	627	543	1239	381	516	1131	830	527	863	544	1006	1258	801	1828	825	614	1203	842	855	874	971	989	977	555	877	672	1097	829	597	615	848	1338	717	1145	1525	671	900	1077	600	690	746	577	931	967	890	1212	1435	697	635	857	926	927	1131	1101	935	464	419	616	387	553	808	245	224	287	729	704	857	996	1119	1111	635	437	1235	970	958	488	680	630	1203	898	763	995	850	1318	1566	916	556	838	1044	1004	1622	451	327	412	503	371	694	1029	797	982	907	869	1021	810	694	1222	1082	865	1385	435	616	394
235	200	237	155	75	164	296	391	321	125	160	167	140	249	79	353	186	314	300	187	280	338	155	136	346	103	178	258	236	74	251	143	238	304	187	329	219	171	253	218	154	221	242	216	275	142	238	226	275	255	214	153	229	273	290	260	320	182	245	182	196	185	185	170	203	219	261	281	358	235	218	254	224	159	334	351	233	157	139	214	124	152	202	60	58	78	205	149	225	301	562	504	207	104	402	169	253	137	183	153	236	171	217	214	222	302	411	230	146	226	262	230	356	127	74	100	175	156	206	275	190	251	278	196	278	243	161	340	330	208	413	175	227	115
