E12B10a_1	E12B10a_2	E12B10a_3	E12B10b_1	E12B10b_2	E12B10b_3	E12B11_1	E12B11_2	E12B11_3	E12B12_1	E12B12_2	E12B12_3	E12B13_1	E12B13_2	E12B13_3	E12B14_2	E12B14_3	E12B15_2	E12B15_3	E12B16_1	E12B16_2	E12B16_3	E12B17_1	E12B17_2	E12B17_3	E12B18_1	E12B18_2	E12B18_3	E12B19_1	E12B19_2	E12B19_3	E12B1_1	E12B1_2	E12B1_3	E12B20_1	E12B20_2	E12B20_3	E12B21_1	E12B21_2	E12B21_3	E12B22_1	E12B22_2	E12B22_3	E12B23_1	E12B23_2	E12B23_3	E12B24_1	E12B24_2	E12B24_3	E12B2_1	E12B2_2	E12B2_3	E12B3a_1	E12B3a_2	E12B3a_3	E12B3b_1	E12B3b_2	E12B3b_3	E12B4_1	E12B4_2	E12B4_3	E12B5_1	E12B5_2	E12B5_3	E12B6_1	E12B6_2	E12B6_3	E12B7_1	E12B7_2	E12B7_3	E12B8_1	E12B8_2	E12B8_3	E12B9_2	E12B9_3	E12L1_1	E12L1_2	E12L1_3	E12L2_1	E12L2_2	E12L2_3	E12L3_1	E12L3_2	E12L3_3	E12L4_1	E12L4_2	E12L5_1	E12L5_2	E12L5_3	E12L6_1	E12L6_2	E12L6_3	E12N1_1	E12N1_2	E12N1_3	E12N2_1	E12N2_2	E12N2_3	E12N3_1	E12N3_2	E12N3_3	E12P10_1	E12P10_2	E12P10_3	E12P1_1	E12P1_2	E12P1_3	E12P2_1	E12P2_2	E12P2_3	E12P4_1	E12P4_2	E12P4_3	E12P5_1	E12P5_2	E12P5_3	E12P6_1	E12P6_2	E12P6_3	E12P7_1	E12P7_2	E12P7_3	E12P8_1	E12P8_2	E12P8_3	E12P9_1	E12P9_2	E12P9_3	E12X1_1	E12X1_2	E12X1_3
117	480	866	214	1931	608	894	1362	957	1033	1095	797	845	591	931	1932	1961	1856	1859	1308	127	1081	1216	538	1378	924	542	626	288	751	850	258	1123	642	1143	1273	958	1077	997	935	414	490	454	982	553	1438	585	1368	505	905	1145	1197	957	1457	668	397	1313	368	659	862	501	1028	438	980	1325	1844	1213	712	1043	1204	194	1006	455	1259	1599	549	275	668	959	638	866	1350	1118	1655	1423	844	1007	245	607	1552	706	306	192	996	589	1451	931	813	513	536	1013	1591	1264	1394	963	580	688	841	554	1244	945	439	592	652	360	1128	270	1469	1313	965	439	592	1815	627	1872	1601	1373	2364	292	1435	522
416	1612	3677	655	2935	1741	2763	3864	3091	3050	3395	2206	2924	1932	3215	6441	5012	4707	5503	3917	404	3413	3577	2070	4064	3167	1872	2380	963	2195	2477	697	3596	2412	3652	3940	3361	3119	3200	2965	1466	1674	1691	3824	1376	5557	2122	4003	1843	2946	3344	3696	2965	4660	2302	1319	4045	1398	1748	2489	1550	3272	1583	2997	4392	5637	3965	2158	3582	4041	1136	3126	1993	4102	5030	1488	997	1894	3486	1825	2823	3855	2974	3547	4886	2861	3331	785	1953	4748	2410	971	619	3040	1813	4506	2651	2596	1894	1607	3244	4974	3736	3914	2676	1808	1770	2581	1545	3470	2855	1394	1709	2178	1021	3900	528	4723	4487	2779	1484	1590	5191	1892	5929	4564	3357	6187	1035	3999	1476
1274	4519	9296	2014	8648	5036	8079	10467	9791	9983	10318	6572	9047	5360	8621	17734	15109	15062	15952	10990	1455	9791	9823	5880	10974	8905	5126	6783	2864	6310	7270	2227	11757	7549	12577	11925	10555	9748	9198	8563	4374	4795	5174	10070	3979	14965	6189	11260	5145	8536	9686	10137	9136	13963	6581	4482	12126	4568	4502	7232	3995	9556	4915	9202	12734	16565	11905	5749	10270	10506	2928	9048	5976	11844	14075	4125	3022	4883	9717	5833	8537	8709	7302	8184	14802	8998	8816	2428	5326	14198	7370	2710	2017	8242	5334	13182	7314	7582	5828	4813	8962	14313	11203	11347	7309	5696	4577	7596	4899	9525	7943	4723	4685	5962	3389	10224	1044	13939	13142	7903	5263	4531	15104	5737	16661	12364	9498	16326	3672	10784	4675
1912	6503	12274	3081	12558	7249	12142	15573	14634	15192	14942	9756	13469	7767	11871	25191	22945	23874	24578	15575	2276	13931	14938	8634	15887	12916	7432	9931	4389	9263	10751	3570	18334	11869	19121	18097	15422	14590	13298	12688	6600	7374	7343	14606	5991	21629	9420	16193	7573	12742	14577	14756	13679	21092	9535	6943	17859	6821	6570	10729	5468	14139	7381	13163	19518	25507	17741	8087	14908	14914	4224	13724	26021	17856	20460	6039	4333	6999	13739	8837	12803	11871	9980	11059	23277	13235	12277	3646	7580	21217	10996	4014	3064	11966	8148	19640	10512	11307	8374	7460	13226	21821	17084	17511	10496	8659	6779	11046	7265	13868	11893	6986	6832	8532	4997	14376	1432	21607	19798	11808	8038	6723	23049	8979	25075	18631	14593	24926	5615	15947	7025
1823	6345	11047	2927	11867	6789	12096	14912	14050	14244	14741	9499	12649	7313	11073	24950	22245	24238	24050	15388	2283	13104	14694	8307	15573	11972	7270	9251	4232	8764	10317	3680	18098	12127	18669	17713	14691	14008	12973	12096	6180	7277	6984	13938	5955	20401	9114	15669	7327	12253	14683	14176	12957	20703	9187	6892	17650	6535	6500	10699	5233	13346	7484	12909	19236	24853	17145	7691	14049	14432	3990	13664	25768	17518	20134	5837	3980	6968	12871	8697	12539	11006	9674	10346	22532	12951	11732	3696	7362	20710	10495	4041	3051	11536	8249	18637	10353	11332	7660	7321	12413	21690	17671	17524	10078	8902	6722	10842	7109	13662	11781	6538	6641	8367	5087	13802	1465	21877	19668	11581	7961	6941	23127	9118	24869	19358	15968	26733	5547	15461	6804
1072	4121	6415	2095	7689	4445	7838	9550	9164	9503	9464	6131	8227	4664	6368	15626	13862	15830	15591	10305	1382	8283	9420	5254	10119	7668	4503	5665	2875	5653	6608	2557	11474	8221	12174	11280	8912	8588	8735	7440	3824	4793	4211	8270	4000	12310	5623	9643	4592	7458	9844	8994	8721	13244	5715	4220	11404	4320	4292	7308	3049	8039	4765	8352	12336	15649	10885	4988	9069	9070	2380	8674	0	11125	12748	3754	2317	4812	7989	5546	8048	6336	5775	6833	14736	8000	6953	2376	4657	12658	6357	2724	1884	7450	5277	12089	6465	7471	4699	4560	7483	14712	11734	11779	6392	5931	4358	7324	4487	9039	7801	4227	4243	5466	3281	8322	1009	14493	12859	7774	5202	4706	15140	5960	16792	13362	10528	18243	3566	9790	4248
439	1801	2564	1200	3470	2190	3480	4644	4077	4520	4084	3013	3333	2064	2556	6722	6306	7677	7594	4510	558	3826	4336	2262	4565	3363	2031	2397	1450	2712	3306	1383	4862	4098	5203	5072	3585	3585	3972	3233	1536	2170	1800	3551	1814	5243	2370	4211	1889	3053	4562	3781	3864	6032	2321	1837	4837	2076	1863	3309	1160	3276	2043	3669	5345	6780	4804	2117	3934	4238	1126	3859	16720	4866	5270	1713	898	2208	3478	2610	3678	2596	2314	2853	6861	3426	2829	1140	2146	5566	2695	1420	914	3300	2425	5056	2927	3169	1879	1861	3028	7117	5572	5840	2756	2721	2053	3508	2082	4255	3582	1665	1834	2297	1548	3531	526	6590	5863	3638	2373	2291	7373	2802	8268	6319	5083	9535	1641	4509	1877
101	513	819	311	909	574	754	1105	1166	1215	1029	936	1056	582	661	1920	1932	2029	2316	1204	141	1035	1139	590	1425	839	625	662	289	913	999	345	1315	984	1471	1281	1010	1036	1104	808	363	664	462	1014	544	1411	661	1182	539	868	1257	1183	1051	1632	719	336	1226	491	540	658	334	937	538	1166	1333	1741	1269	657	1180	1076	262	1043	7482	1246	1468	454	252	626	887	509	1165	717	660	803	1973	801	865	141	586	1308	603	174	183	836	516	1543	801	821	634	630	967	1980	1324	1512	826	705	537	996	501	1202	947	444	622	643	337	1051	145	1487	1691	962	625	539	2119	627	1986	1791	1497	2818	331	1275	441
