E12B10a_1	E12B10a_2	E12B10a_3	E12B10b_1	E12B10b_2	E12B10b_3	E12B11_1	E12B11_2	E12B11_3	E12B12_1	E12B12_2	E12B12_3	E12B13_1	E12B13_2	E12B13_3	E12B14_1	E12B14_2	E12B14_3	E12B15_1	E12B15_2	E12B15_3	E12B16_1	E12B16_2	E12B16_3	E12B17_1	E12B17_2	E12B17_3	E12B18_1	E12B18_2	E12B18_3	E12B19_1	E12B19_2	E12B1_1	E12B1_2	E12B1_3	E12B20_1	E12B20_2	E12B20_3	E12B21_1	E12B21_2	E12B21_3	E12B22_1	E12B22_2	E12B22_3	E12B23_1	E12B23_2	E12B23_3	E12B24_2	E12B24_3	E12B2_1	E12B2_2	E12B2_3	E12B3a_1	E12B3a_2	E12B3a_3	E12B3b_1	E12B3b_2	E12B3b_3	E12B4_1	E12B4_2	E12B4_3	E12B5_1	E12B5_2	E12B5_3	E12B6_1	E12B6_2	E12B6_3	E12B7_1	E12B7_2	E12B7_3	E12B8_1	E12B8_2	E12B8_3	E12B9_1	E12B9_2	E12B9_3	E12L1_1	E12L1_2	E12L1_3	E12L2_1	E12L2_2	E12L2_3	E12L4_1	E12L4_2	E12L4_3	E12L5_1	E12L5_2	E12L5_3	E12L6_1	E12L6_2	E12N1_1	E12N1_2	E12N1_3	E12N2_1	E12N2_2	E12N2_3	E12N3_1	E12N3_2	E12N3_3	E12P10_1	E12P10_2	E12P10_3	E12P1_1	E12P1_2	E12P1_3	E12P2_1	E12P2_2	E12P2_3	E12P4_1	E12P4_2	E12P4_3	E12P5_1	E12P5_2	E12P5_3	E12P6_1	E12P6_2	E12P6_3	E12P7_1	E12P7_2	E12P7_3	E12P8_1	E12P8_2	E12P8_3	E12P9_1	E12P9_2	E12P9_3	E12X1_1	E12X1_2	E12X1_3
297	423	304	314	275	183	276	144	178	254	340	172	340	282	251	221	224	226	343	413	241	260	146	160	250	116	227	386	430	487	163	196	612	410	422	197	254	248	276	211	289	362	128	328	398	36	293	311	484	454	684	372	374	470	454	400	290	171	458	264	276	250	229	194	319	227	289	180	353	199	536	234	421	744	770	748	278	200	255	469	205	194	178	118	163	301	182	201	127	118	214	247	314	283	190	144	173	0	211	533	487	487	560	554	412	513	352	516	370	294	298	453	253	230	324	261	288	315	265	106	647	309	506	546	346	504	240	513	125
719	1238	756	729	680	462	727	357	515	658	872	434	883	748	625	585	579	603	1004	1032	713	664	404	433	531	228	412	1246	1074	1293	433	430	1565	1043	1170	562	685	663	716	516	761	815	291	891	1072	61	772	946	1174	1456	1794	1069	941	1226	1207	872	648	408	1155	765	687	616	583	465	830	712	689	534	942	573	1128	691	982	1994	1965	1971	752	496	711	1245	560	454	449	246	357	755	472	417	346	263	494	617	790	684	493	376	483	84	547	1604	1361	1448	1438	1400	1098	1187	815	1170	828	706	667	994	631	512	846	655	729	437	596	412	1598	775	1494	1494	881	1289	788	1252	317
1683	2509	1523	1562	1237	1027	1541	756	1201	1485	1722	916	1819	1409	1262	1371	1396	1484	2148	2144	1554	1587	817	922	948	438	827	2480	2429	2876	1041	1059	3764	2361	2583	1321	1381	1399	1463	1146	1617	1901	646	1989	2528	213	1815	2193	2772	3635	4311	2394	2275	2984	2637	2070	1543	906	2432	1614	1411	1441	1297	1000	1847	1476	1501	1191	1874	1262	2461	1354	1869	4223	4070	4056	1646	1005	1485	2403	1182	926	1042	620	897	1392	885	771	660	532	1163	1459	1746	1715	1146	918	1094	213	1234	3302	2930	2989	3225	3012	2326	2678	2045	2484	1718	1624	1462	2299	1268	1153	1786	1532	1632	736	1390	706	3284	1847	2895	3075	1910	3126	1563	2818	697
3679	5606	3473	3283	3024	2458	3733	1865	2862	3319	4471	2214	3940	3331	2888	3258	3686	3492	4882	5400	3501	3490	1985	2016	2015	1057	1738	5818	5458	6257	2455	2634	8209	6430	6140	3218	3641	3448	3444	2918	3836	4242	1568	4496	5624	624	4081	4760	6233	7773	10519	5881	5094	6752	5729	4460	3693	2225	5393	3725	3055	3359	3222	2505	4175	3968	3633	2387	4361	2868	5083	3432	4008	9437	10077	9271	3420	2376	3018	5539	2743	2205	2184	1572	1926	2864	2057	1592	1633	1288	2651	3472	3797	3792	2705	2347	2560	1004	3153	7250	7111	6538	6796	6745	5042	5118	4344	5085	3535	3598	3080	4665	3156	2554	4018	3486	3542	1479	3315	1511	7082	4741	6308	6672	4654	6405	3582	6506	1681
5556	9092	5494	4827	4824	3840	5798	3171	4409	5213	7075	3466	5826	5321	4329	5475	6304	5670	7695	8688	5244	5549	3206	3091	2920	1742	2591	8802	8330	9260	3918	4318	12932	10701	9781	4976	6071	5169	5411	4667	5802	6571	2681	6900	8463	1049	6165	6947	9070	13196	17888	9906	8113	10701	8894	7142	5957	3614	8224	5853	4753	5347	5349	4029	6769	7049	5676	3774	6807	4452	7801	5497	6094	14274	15212	14354	5234	3399	4545	8230	4205	3359	3707	2795	3192	4021	2923	2263	2714	2233	4731	5881	6551	6706	4949	4044	4485	2332	5380	11245	10891	10081	9737	9935	7329	7509	6320	7330	5039	5260	4398	6987	4780	3757	5977	5558	5511	2918	5224	3028	10420	7342	9528	10393	7378	9913	5301	9412	2563
6204	10293	6297	5617	5699	4412	6967	4047	5272	5957	8356	4112	6551	5951	4983	6590	8287	7015	8672	10642	6089	6356	3971	3616	3072	2021	2850	9518	9585	10582	4415	4971	15802	12579	11533	5659	7121	5978	6206	5418	6680	7534	3239	8103	9392	1331	7215	7667	10288	16604	22269	12919	9517	12393	10318	8244	7104	4353	9248	6533	5457	6185	6386	4824	8234	8949	7162	4318	7805	5343	9321	6668	7045	16519	17525	16215	5979	3605	5115	9405	4777	3813	4667	3701	4065	4393	3250	2434	3496	2851	5942	7856	8495	8748	6746	5382	5751	3228	6913	13147	12476	11790	10561	11038	8086	8004	6875	7914	5288	5556	4915	7496	5264	4215	7096	6497	6205	3648	5951	4010	11578	8260	10670	11846	8583	11334	5985	10828	2955
5036	8097	4935	4386	4329	3600	5706	3588	4452	4913	6846	3579	5223	4626	3940	5972	7480	6301	7249	8588	5102	5177	3113	3025	2323	1574	2151	7472	6961	8680	3700	3937	12803	10635	9535	4525	5446	4573	4761	4287	5366	5804	2693	6651	7150	1090	5672	5615	8380	15262	20214	11908	7810	10053	8572	6607	5703	3684	7703	4913	4330	4993	5243	4131	6901	7658	6204	3657	5836	4293	7438	5585	5928	12669	13200	12660	4732	2731	3874	7319	3639	2931	4126	3322	3651	3194	2540	1988	3181	2616	5626	7005	7859	8000	6271	5057	5443	3029	6404	10692	10067	9513	7291	7352	5931	6159	5020	5716	3776	3971	3569	5547	3781	3118	5263	4943	4822	3092	4691	3766	8618	6064	8348	8985	6877	8986	4222	8174	2424
2314	3608	2405	2029	1993	1761	2833	1898	2242	2381	3186	1902	2395	1738	1810	3197	3981	3579	3476	3914	2629	2552	1534	1557	914	629	881	3069	3038	4160	1675	1746	6435	5133	4735	2030	2210	2138	1944	1851	2357	2671	1256	3164	3180	539	2621	2292	3757	8664	10942	7108	3922	4732	4304	3100	2813	1855	3912	2092	2712	2488	2629	2147	3609	4223	3434	1803	2616	2256	3769	2681	2982	5673	5364	5629	2198	1087	1686	3163	1541	1254	2161	1808	2064	1665	1207	1063	1805	1510	3288	3920	4698	4695	3891	3147	3271	1572	3916	4945	4514	4654	2700	2492	2261	2465	1878	2313	1397	1339	1368	1984	1268	1292	2371	2083	2287	1250	1903	1668	3431	2214	3413	3955	2820	4028	1672	3235	1228
1110	1948	1175	1215	1137	891	1299	780	1068	1076	1611	814	1215	946	975	1147	1374	1238	1672	2012	1286	1289	739	752	479	270	500	1969	1702	2167	783	779	3233	2198	2271	1002	1127	1055	1060	911	1199	1407	477	1404	1744	185	1416	1628	2029	3469	4480	2572	1728	2046	1767	1496	1121	803	1877	1190	816	1081	1100	872	1634	1646	1271	927	1586	905	1824	1422	1514	3302	3676	3179	1283	645	976	1758	803	549	928	733	827	713	760	502	654	409	1109	1288	1575	1638	1225	1056	1054	289	1277	2487	2273	2090	1912	1942	1598	1493	1257	1423	1031	881	812	1297	829	697	1243	1094	1036	176	934	85	2350	1303	2112	2402	1395	2183	1145	2024	599
