E10B10_1	E10B10_2	E10B10_3	E10B11_1	E10B12_2	E10B12_3	E10B13_1	E10B13_2	E10B13_3	E10B14_1	E10B14_2	E10B14_3	E10B2_1	E10B2_2	E10B2_3	E10B3_1	E10B3_3	E10B4_2	E10B4_3	E10B5_1	E10B5_3	E10B6_1	E10B6_2	E10B6_3	E10B7_3	E10B8_1	E10B8_2	E10B8_3	E10B9_1	E10B9_2	E10B9_3	E10H1a_1	E10H1a_3	E10H1b_3	E10H1c_1	E10H1c_2	E10H1c_3	E10L10_1	E10L10_2	E10L10_3	E10L1_1	E10L1_2	E10L1_3	E10L2_1	E10L2_2	E10L2_3	E10L3_1	E10L3_2	E10L3_3	E10L5_1	E10L5_2	E10L5_3	E10L6_1	E10L6_2	E10L6_3	E10L7_1	E10L7_2	E10L7_3	E10L8_1	E10L8_2	E10L8_3	E10L9_2	E10L9_3	E10N1_1	E10N1_2	E10N1_3	E10OL1_1	E10OL1_3	E10P10b_1	E10P11b_3	E10P13b_1	E10P13b_3	E10P14b_1	E10P14b_2	E10P14b_3	E10P1a_1	E10P1a_3	E10P3a_1	E10P3a_2	E10P3a_3	E10P4a_1	E10P4a_2	E10P4a_3	E10P5a_1	E10P5a_2	E10P5a_3	E10P6a_1	E10P6a_2	E10P6a_3	E10P7a_2	E10P7a_3	E10P8b_1	E10P8b_2	E10P8b_3	E10P9b_1	E10P9b_2	E10P9b_3	E10X1_1	E10X1_2	E10X1_3	E10X2_1	E10X2_2	E10X2_3	E10X4_1	E10X4_2	E10X4_3	E10X5_1	E10X5_2	E10X5_3	E10X7_1	E10X7_2	E10X7_3	E10X8_1	E10X8_2	E10X8_3	E10X9_2	E10X9_3
55	157	115	193	82	125	252	87	147	225	0	98	63	91	145	272	188	137	299	139	340	80	0	89	97	122	185	230	0	69	84	121	159	81	117	77	70	55	334	258	55	83	101	221	0	166	0	0	80	190	139	287	187	138	0	546	297	658	153	118	73	308	89	0	93	69	0	216	360	189	72	168	183	0	156	205	500	168	119	149	237	0	289	483	121	291	309	146	343	142	193	115	0	258	218	60	193	96	61	65	0	83	76	244	0	130	62	378	85	103	101	68	90	149	84	76	102
208	481	345	1245	396	695	1113	416	529	1055	202	589	159	288	853	1319	632	585	1159	733	1541	277	102	280	383	748	1175	1282	258	588	536	472	448	308	784	592	679	396	1849	1407	262	378	354	961	296	946	191	120	508	1001	694	1039	843	825	429	3700	1762	3175	532	381	437	1851	629	118	454	424	112	960	1995	932	379	827	571	108	803	833	1745	1085	780	647	1011	317	1382	1699	439	1231	1148	462	1039	702	845	810	472	1403	721	262	731	536	264	521	242	575	446	1204	325	401	464	1516	336	551	278	421	490	629	354	521	586
952	1457	1309	7408	1891	4449	5334	1799	2447	6535	989	3385	934	1871	4684	6769	3224	2870	4839	3896	7421	961	797	1372	1113	4083	6919	6678	1440	3508	2613	1257	1558	783	5056	3150	3847	1105	4192	3565	731	1183	1095	5844	1603	4634	1012	919	2637	5011	2882	4362	4328	4314	2674	8336	4381	6948	1479	1223	1683	3515	1458	880	2089	2289	940	5217	9956	5121	2067	4479	1371	775	3066	3482	7627	5352	5081	3093	4884	1935	6104	3049	1653	5667	2273	1208	2473	4771	3585	4084	2793	6193	2919	1514	3283	3294	1064	2833	1634	2852	2727	6015	1864	2125	2696	6474	1255	2019	910	2026	1057	1140	874	2748	2882
2484	3495	3475	19256	5183	11849	12308	4622	5888	17268	2302	8614	2458	5416	12829	17786	8337	7133	11957	10779	18610	2452	2090	3775	1819	11113	18989	17979	4033	9296	6888	1817	2805	1332	13936	8459	10009	1507	5233	4595	1207	1742	1894	17352	5549	13162	2838	2675	7102	12669	7033	10319	11407	12038	7458	9908	5491	8508	2314	2240	3462	4169	1810	2282	5491	6148	2545	13923	25265	13508	5914	12207	1904	1775	7945	8022	19268	13877	15208	8191	13031	5932	14980	3403	4337	15340	2860	1811	4084	12773	9210	10661	7516	14910	7636	4044	8605	8675	2492	7360	4222	7505	7342	15435	13245	5499	7440	16652	2532	4099	1880	4557	1340	1357	1136	7616	8122
3953	5524	5634	29197	8731	18887	18697	7324	9012	27706	3377	13549	4306	8920	20410	28344	13111	11372	18587	17209	29517	3914	3374	6049	2203	18034	29556	29650	6644	14990	10987	2007	3398	1804	23027	13897	16454	1267	4135	3653	1415	1891	2323	29818	10151	24125	4890	4284	11507	20303	11576	16241	19612	19874	12523	7241	4228	6324	2657	2729	4916	3023	1379	3817	9362	10639	4126	21768	29784	21355	9998	19800	2153	2706	13527	12962	29494	23860	26612	13448	21928	10620	24856	3253	7680	27007	3245	2072	5528	19177	13740	16490	11280	23939	12261	6686	14090	13467	3811	11204	6859	12229	11447	23838	24468	8608	11795	27762	3615	5594	2882	6719	1110	1037	981	13368	14114
3302	4248	4677	21355	6936	15477	13781	5305	6422	20018	2341	10043	3319	7217	16927	22319	10427	8080	13558	13663	23369	2966	2560	4848	1406	14686	23884	23681	5324	11491	9037	1185	2016	1143	18313	10989	13746	626	1861	1629	870	1138	1513	27560	9790	22186	3934	3493	9628	16451	9667	12864	17427	18344	11254	2700	1713	2544	1704	1912	3643	1160	505	3182	8194	9283	3186	17609	29364	17599	8168	15962	1396	2107	11159	9794	23818	20783	23170	11861	19818	9272	22188	1970	7009	25046	2309	1509	4494	12820	9847	11951	8435	17266	9021	5145	10718	9445	2547	8128	5199	9446	8915	18492	18077	6758	9426	21177	2488	3855	1986	5004	556	414	450	11916	13160
780	808	1358	5025	1856	4118	3369	1492	1774	4841	533	2665	716	1660	4141	5383	2752	1935	3371	3727	6277	813	593	1364	300	3935	6214	6516	1392	2867	2425	235	332	215	4893	3087	3809	115	211	200	132	160	228	7704	2742	6206	1195	971	2561	3799	2458	2859	4687	5082	3106	371	157	373	313	415	983	207	104	809	2134	2574	847	4627	7554	4746	2371	4527	348	436	3134	2370	5901	5674	6355	3298	5398	2621	6317	367	1823	7074	458	333	909	3142	2429	3005	2084	4461	2276	1035	2801	2458	629	2070	1150	2350	2170	4219	438	1533	2495	5123	434	718	403	1144	104	99	0	3395	3744
0	103	107	262	59	367	325	105	164	411	75	233	93	146	422	492	241	165	304	317	607	112	0	203	117	370	598	670	57	221	270	0	93	0	382	290	420	0	0	0	62	0	91	647	167	672	162	0	236	324	360	253	473	409	274	0	0	91	63	0	133	76	50	0	227	231	71	537	684	647	230	396	102	0	207	245	605	596	469	377	670	158	917	86	0	722	133	0	147	197	249	362	127	588	247	88	332	169	76	96	105	249	209	405	0	121	253	604	0	0	0	92	0	0	0	355	262
