E10B10_1	E10B10_2	E10B10_3	E10B11_1	E10B11_2	E10B11_3	E10B12_1	E10B12_2	E10B12_3	E10B13_1	E10B13_2	E10B13_3	E10B14_1	E10B14_2	E10B14_3	E10B2_1	E10B2_2	E10B2_3	E10B3_1	E10B3_2	E10B3_3	E10B4_1	E10B4_2	E10B4_3	E10B5_1	E10B5_2	E10B5_3	E10B6_1	E10B6_2	E10B6_3	E10B7_1	E10B7_2	E10B7_3	E10B8_1	E10B8_2	E10B8_3	E10B9_1	E10B9_2	E10B9_3	E10H1a_1	E10H1a_2	E10H1a_3	E10H1b_1	E10H1b_2	E10H1b_3	E10H1c_1	E10H1c_2	E10H1c_3	E10L10_3	E10L1_1	E10L1_3	E10L2_1	E10L2_2	E10L2_3	E10L3_1	E10L3_2	E10L3_3	E10L5_1	E10L5_2	E10L5_3	E10L6_1	E10L6_2	E10L6_3	E10L8_1	E10L8_2	E10L8_3	E10N1_1	E10N1_2	E10N1_3	E10OL1_1	E10OL1_2	E10OL1_3	E10P10b_1	E10P10b_2	E10P10b_3	E10P11b_1	E10P11b_2	E10P11b_3	E10P13b_1	E10P13b_3	E10P14b_1	E10P14b_2	E10P14b_3	E10P1a_1	E10P1a_2	E10P1a_3	E10P3a_1	E10P3a_2	E10P3a_3	E10P4a_1	E10P4a_2	E10P4a_3	E10P5a_1	E10P5a_2	E10P5a_3	E10P6a_1	E10P6a_2	E10P6a_3	E10P7a_1	E10P7a_2	E10P7a_3	E10P8b_1	E10P8b_3	E10P9b_1	E10P9b_2	E10P9b_3	E10X1_1	E10X1_2	E10X1_3	E10X2_1	E10X2_2	E10X2_3	E10X4_1	E10X4_2	E10X4_3	E10X5_1	E10X5_2	E10X5_3	E10X7_1	E10X7_2	E10X7_3	E10X8_1	E10X8_2	E10X8_3	E10X9_1	E10X9_2	E10X9_3
241	206	311	341	636	703	257	510	297	200	223	151	351	343	683	230	258	561	479	534	679	319	266	556	418	347	610	345	255	541	226	128	276	488	338	423	593	240	403	206	280	401	335	493	583	239	541	719	63	311	413	316	46	507	343	357	603	249	212	367	201	113	298	124	96	193	97	147	303	643	344	697	761	225	650	747	140	486	638	389	307	101	193	415	348	439	942	629	880	260	309	347	507	253	325	587	263	661	490	175	269	594	373	556	394	276	617	467	671	500	794	453	224	205	265	294	372	260	190	307	366	78	162	175	155	280	483
952	648	1106	1754	3024	3058	969	1798	1064	641	854	663	1409	1758	2821	1163	973	2164	1811	1917	2795	1601	1163	2402	1661	1080	2216	1143	986	1950	739	566	1127	1814	1251	1298	1976	1135	2146	894	1354	1551	1466	2309	2927	855	1798	2364	333	1170	1523	1247	103	1738	1364	2120	2037	942	867	1242	578	479	951	502	398	729	381	627	1269	3334	2218	3829	3726	848	2873	3063	633	1997	2247	1584	1283	377	884	1648	1164	1518	3872	3333	4279	1088	1152	1173	1783	951	1328	1910	924	2063	1803	796	1190	2496	2010	2325	1543	1895	2630	2104	3396	2199	2887	2268	1006	929	1298	1040	1407	1205	622	1122	1318	380	744	811	440	955	2136
3406	2141	3433	5092	8325	8109	3846	6223	3715	2675	3087	2253	4455	4673	7218	3639	3375	6795	6461	7038	9152	4593	3636	6869	6114	4087	7399	4273	3356	6550	2735	1950	3531	6792	4573	5138	6800	3643	6548	2868	3708	4398	4635	6597	7811	3441	6149	7873	733	3877	5374	4716	407	6976	4318	5305	7031	3690	3173	4542	2051	1889	3442	2109	1526	2811	1719	2736	4863	7990	5429	9093	10965	3452	8214	9947	2245	6004	7496	5608	4466	1893	3758	5170	4297	5014	8692	7865	9570	3641	3991	4436	6152	3781	4896	6243	3370	7486	5687	2934	3848	6651	5364	6167	4392	5125	7510	6163	9431	6744	8770	6765	3503	3536	4184	3744	4713	3813	2290	3786	4150	1006	1848	1935	1724	3406	6539
6191	3833	6041	8378	13213	12587	6872	10901	6466	4636	5421	3899	7070	7264	10982	6136	5941	11437	11535	12202	16236	7449	5927	10895	10518	7171	12358	7579	5716	11069	4630	3315	5865	12017	8082	8987	11436	5987	11041	4625	5931	6932	7626	10558	12037	6175	10729	13677	1129	6508	9135	8836	776	13404	7421	7785	12074	6893	5775	8622	3495	3373	5941	4243	2930	5379	3542	5962	10357	11655	8010	13406	17765	6484	13239	16721	3810	9766	12885	9779	8919	3746	7370	8641	7504	8738	11397	10079	12332	6225	6692	7389	10552	6702	8507	11036	6074	13205	9331	5142	6518	10308	8298	9754	7164	8338	12005	9981	14900	11041	14340	11314	5908	6310	7012	6367	8231	6362	3749	6266	6747	1429	2705	2818	3079	5790	10964
6667	4169	6450	7797	11905	11463	7167	11477	6709	4749	5490	4008	6400	6489	9640	5988	5943	11528	12135	12711	16894	6940	5507	10119	10223	7007	11992	7510	5659	10992	4379	3179	5652	12431	8394	9180	10812	5828	10620	4122	5296	6026	6956	9615	10723	6728	11227	13996	1078	6245	8795	10241	838	15511	7565	6507	11774	8099	6767	9953	3574	3455	5844	5106	3539	6502	4806	8030	13899	9715	6536	10845	16567	7536	12159	16474	3904	9368	12999	9771	11255	4593	8995	8382	7481	8489	7797	6913	8417	6393	6840	7564	10889	6788	8695	11213	6448	13461	9185	5155	6293	9150	7445	9150	6681	7727	11048	9172	13644	10528	13278	10472	5887	6126	6730	6127	7944	6077	3537	6151	6247	1127	2312	2273	3051	5620	10374
4592	2820	4259	3358	4873	5011	4212	6933	4174	2999	3573	2520	2697	2666	4140	3090	3133	6093	7339	7555	9883	3298	2406	4601	4932	3331	6002	3996	3111	5721	2171	1633	2901	7037	4772	5060	5239	2905	5076	1794	2260	2533	2966	4393	4675	4977	8399	10308	598	3120	4157	7946	574	11697	4127	2111	6274	6146	5083	7492	1932	1984	3250	4192	2873	5059	4380	7400	12406	3206	2173	3440	7820	5598	5685	8645	2203	4761	7305	5278	9401	3715	7222	4388	4072	4598	3494	3077	3793	4870	5172	5522	5668	3762	4798	6364	3923	7677	4917	2765	3186	3719	2902	4210	2870	3457	5065	4299	6246	4800	6190	4803	3035	3001	3358	3150	4126	3244	1695	3114	3172	424	877	921	1592	2856	5246
1996	1296	1775	858	1179	1451	1524	2841	1667	1189	1402	977	602	651	1162	1058	1052	2006	2859	2939	3820	905	591	1334	1417	1009	1929	1326	1091	1879	650	490	828	2600	1815	1734	1543	862	1448	375	624	558	679	1184	1275	2330	3873	4837	166	954	1047	3995	215	5604	1572	299	2047	2960	2538	3607	615	693	1130	2184	1578	2555	2258	3898	6272	472	315	500	2386	2721	1655	2823	789	1446	2662	1752	4960	1899	3530	1413	1432	1454	970	873	1075	2288	2365	2300	1958	1385	1665	2354	1539	2715	1447	776	844	863	626	1230	692	989	1423	1281	1739	1188	1672	1347	910	767	1073	1003	1383	1048	456	1018	941	0	172	182	589	851	1493
384	229	325	143	284	285	293	539	323	207	295	209	197	103	255	265	225	461	504	596	812	158	127	299	359	263	366	283	181	447	149	134	190	509	292	472	370	169	291	72	132	134	162	246	318	392	755	1144	73	293	275	725	0	1000	284	0	443	380	419	632	153	111	224	338	241	454	390	767	1184	0	68	167	593	410	360	578	113	302	586	356	770	311	554	366	280	297	229	212	266	469	434	516	524	216	273	476	262	542	387	172	238	242	114	273	181	213	304	300	411	283	472	403	219	167	299	205	367	318	121	264	236	0	0	58	95	177	391
