E10B10_1	E10B10_2	E10B11_1	E10B11_2	E10B12_1	E10B12_2	E10B13_1	E10B13_2	E10B14_1	E10B14_2	E10B2_1	E10B2_2	E10B3_1	E10B3_2	E10B4_1	E10B4_2	E10B5_1	E10B5_2	E10B6_1	E10B6_2	E10B7_1	E10B7_2	E10B8_1	E10B8_2	E10B9_1	E10B9_2	E10H1a_1	E10H1a_2	E10H1b_1	E10H1c_1	E10H1c_2	E10L10_1	E10L10_2	E10L10_3	E10L1_1	E10L2_1	E10L2_2	E10L3_1	E10L3_2	E10L5_1	E10L5_2	E10L6_1	E10L6_2	E10N1_1	E10N1_2	E10OL1_2	E10OL1_3	E10P10b_1	E10P10b_2	E10P11b_1	E10P11b_2	E10P13b_1	E10P13b_2	E10P14b_1	E10P14b_2	E10P1a_1	E10P1a_2	E10P3a_1	E10P3a_2	E10P4a_1	E10P4a_2	E10P5a_1	E10P5a_2	E10P6a_1	E10P6a_2	E10P7a_1	E10P7a_2	E10P8b_1	E10P8b_2	E10P9b_1	E10P9b_2	E10X1_1	E10X1_2	E10X2_1	E10X2_2	E10X4_1	E10X4_2	E10X5_1	E10X5_2	E10X7_2	E10X8_1	E10X8_2	E10X8_3	E10X9_1	E10X9_2
577	709	697	1793	535	1102	728	1153	652	764	867	660	784	1180	806	416	1050	1369	705	898	751	804	624	681	238	1119	612	917	564	485	442	466	306	112	1164	1589	763	974	625	522	878	351	366	353	1023	619	273	1104	910	692	896	157	924	1182	665	696	611	981	694	914	626	584	410	848	495	751	430	1308	606	1010	152	974	1331	991	1393	550	1450	881	2039	766	152	540	165	268	815
1247	1472	1474	3591	1175	1833	1559	2079	1213	1447	1566	1304	1494	2398	1746	826	2476	2808	1181	1574	1413	1563	1175	1201	457	2206	1180	1644	1103	948	690	741	659	209	2466	2825	1386	1895	1346	1029	1792	438	511	608	1716	1140	551	2365	1789	1327	1908	331	1934	1917	1091	1282	1003	1938	1446	1613	1213	1051	666	1461	979	1351	747	2571	1079	1919	260	2080	2650	2130	2767	1260	2901	1556	3835	1198	271	1027	291	441	1471
2151	2412	2511	6507	2076	3339	2854	3406	1982	2482	2561	2314	2775	4129	3247	1322	4487	4802	2209	2682	2547	2616	2271	2051	831	4354	1948	2848	1876	1755	1207	1175	1133	340	4206	4746	2425	3040	2254	1876	3201	767	903	1081	2964	1925	979	4320	3351	2313	3483	629	3161	2969	1786	2406	1828	3570	2645	2816	2109	1905	1213	2576	1587	2087	1246	4598	1910	3054	436	3658	4428	3664	4583	2192	5114	2780	6086	1861	458	1556	482	720	2272
3324	3599	4888	10934	3508	5723	4377	5358	3689	4176	4050	3732	4982	6717	5248	2327	8018	8322	3658	4406	4420	4495	3609	3212	1276	6237	3273	4453	3153	2807	1822	1777	2122	852	6724	6519	3638	4937	3591	3218	4906	1273	1372	1646	4214	3636	2067	7219	5766	4281	5829	991	5252	4244	2686	3821	3050	6204	4461	4860	3299	2951	1888	4047	2500	3156	1967	7777	3478	5066	801	6375	7360	6667	7914	3814	8427	4643	9451	2957	748	2847	1006	1119	3486
3541	3958	5892	13653	4076	6315	4884	5757	4964	5184	4343	4502	6505	7947	6253	2680	9198	8889	4085	4956	5480	5249	4020	3716	1257	6025	3786	5190	3631	3252	2209	1625	2108	1091	7144	6389	3806	4870	3870	3931	5902	1978	1943	1833	4488	4217	2576	8821	6719	4658	6477	1247	5794	4611	2801	5052	3700	7840	5296	5632	3669	3410	2108	4760	3018	3616	2224	8424	3795	5861	941	6890	7617	7990	9115	4422	9856	5017	10120	3426	870	2504	1217	1459	4066
4310	4119	7154	17280	5422	7475	5307	7095	6735	6335	5628	5743	7855	9639	7287	3362	11113	10979	4769	6198	6586	6625	4774	4474	1173	4676	3971	5227	4189	3492	2291	2072	3483	1419	7842	5065	3136	6352	4318	5063	7593	2229	2235	2006	3374	5375	3427	10985	8837	6147	7545	1539	6793	4284	3116	6110	4489	9654	6471	7158	4167	3821	2527	5956	3523	4098	2547	9830	4895	6887	1295	7600	8923	9238	11112	5672	11244	5139	10687	4376	1092	3203	1793	1943	5799
3375	3273	3718	8816	3679	5332	2895	3507	4049	3699	3690	2748	5150	5577	4209	1756	5257	4374	2943	3244	3341	3192	2776	2704	723	2734	1840	2492	1936	2344	1562	1146	796	464	3304	3086	2007	3093	2475	3230	4716	2450	2153	1643	3278	2511	1676	6073	4101	2964	3754	743	3152	2796	1917	5319	3893	5264	3261	3732	2135	2802	1918	3721	2416	2519	1447	4309	2157	4082	662	3502	3758	4320	5075	2751	5876	2915	6052	3132	458	1392	638	1050	3231
2474	2331	2000	4694	2644	3533	1861	2505	1919	1819	2646	1664	3372	3641	2295	1083	2750	2693	1653	2143	1943	1769	1766	1776	398	1370	1172	1776	1384	1895	1508	1192	814	501	2122	2733	1767	1976	1572	2149	3193	1242	1386	1557	3756	1197	642	3599	2385	1834	2522	403	2033	3080	1783	3594	2603	2904	1612	2530	1620	1301	923	2276	1291	1773	1188	1979	1036	2210	341	1985	2175	2350	2730	1501	3214	1662	3214	1813	357	821	525	673	1711
