E15B11a_1	E15B11b_1	E15B11c_1	E15B12_2	E15B1_2	E15B2_2	E15B3_1	E15B4_3	E15B5a_3	E15B5b_2	E15B6a_1	E15B6b_1	E15B6c_1	E15B6d_3	E15B7_3	E15B8_3	E15B9_1	E15L1_3	E15L2_1	E15L3_2	E15L4_3	E15L5_3	E15L6_1	E15L7_2	E15L8_3	E15L9_3	E15N1_3	E15N3_1	E15P10b_2	E15P11b_2	E15P12b_2	E15P13b_3	E15P14b_1	E15P15b_3	E15P1a_1	E15P3a_2	E15P4a_3	E15P5a_1	E15P6a_3	E15P7a_3	E15P8b_3	E15P9b_3	E15X2_1	E15X4_1	E15X6_3	E15X7_1	E15X8_1
421	519	480	317	104	373	336	414	306	574	389	331	299	322	711	556	429	370	436	295	454	434	118	321	604	670	216	232	476	382	448	381	409	525	393	365	396	596	685	301	532	678	309	177	237	390	392
1999	2409	2103	1350	837	2010	1679	1828	1631	2645	2064	1273	1253	1642	3255	2743	1905	1424	1069	1550	2125	1978	604	1473	2869	2768	1309	1332	2198	1837	2055	1809	1753	2053	2034	1836	2093	2572	2809	2156	2794	2146	1348	791	1159	1714	1772
6512	8217	7435	4182	1798	5761	5076	6053	4927	8872	6689	4899	4628	5282	10547	8324	5042	3677	2155	5319	7221	7242	1928	4284	10055	9664	4526	4535	7620	6974	7485	6323	5827	6469	7237	5451	6464	7641	8311	7318	8069	5807	3845	2830	3629	6173	6441
17939	20453	17967	11844	3586	16160	14666	17032	13410	21174	17253	13680	12860	13225	24021	21013	12859	8130	3722	12067	18754	19337	5382	9964	21839	20875	13765	13888	20158	19161	19417	17168	16283	16561	19783	14098	17736	19170	20967	19337	20050	15316	10866	7328	10140	15521	16588
26037	28191	24759	17959	4775	25628	23083	26672	21324	27205	24684	21103	19668	18720	28128	28461	19979	10806	4799	14398	26016	28003	8462	13647	24699	24237	24377	23537	27850	28359	28076	26436	25960	24372	27948	19856	26881	27456	27504	27899	26658	22561	16224	10468	14970	22283	23918
22864	24157	19695	17180	4380	25986	22772	27466	22789	27634	21633	21154	19229	16442	20070	25821	19970	9409	4708	9817	22848	26753	8768	12265	14279	14660	28033	26082	24464	28116	25296	26561	26750	23658	27371	17785	27678	25263	24293	26281	23752	21533	15269	9254	14286	19419	20588
11068	10891	8900	9990	2068	14989	12404	16583	14138	17897	10619	12195	11182	8994	7830	11848	11588	5275	2615	3844	12500	15073	5081	6378	4653	5056	17585	15801	13790	17194	13372	16015	15963	13441	14498	9078	16146	14167	13134	15608	12372	11826	8455	5146	7972	9432	9828
2829	2655	1942	2465	695	3607	3275	4310	3833	4668	2565	2916	2638	2400	2003	2950	3092	1663	743	1091	2949	4054	1264	1767	1263	1397	4670	3979	3823	4331	2938	4428	4271	3768	3812	2421	4468	4096	3827	4381	3429	3338	2419	1289	2108	2225	2266
542	581	449	585	118	880	636	791	840	1142	569	732	514	534	380	617	567	450	151	164	715	1048	285	377	244	226	927	890	879	1015	644	1154	1093	947	908	462	1066	862	965	1121	914	727	614	314	421	495	531
