E15B11a_3	E15B11b_3	E15B11c_3	E15B12_1	E15B1_1	E15B2_3	E15B3_2	E15B4_1	E15B5a_2	E15B5b_1	E15B6a_3	E15B6b_3	E15B6c_3	E15B6d_3	E15B7_2	E15B8_1	E15B9_1	E15L1_2	E15L2_1	E15L3_3	E15L4_1	E15L5_1	E15L6_3	E15L7_1	E15L8_2	E15L9_3	E15N1_3	E15N3_3	E15P10b_3	E15P11b_3	E15P12b_3	E15P13b_3	E15P14b_1	E15P15b_3	E15P1a_1	E15P3a_3	E15P4a_1	E15P5a_1	E15P6a_2	E15P7a_3	E15P8b_2	E15P9b_3	E15X2_3	E15X4_3	E15X6_3	E15X7_3	E15X8_3
2635	2420	1718	924	646	2320	1809	1462	1297	1807	1775	1607	1221	1447	1180	1804	1692	1756	2598	979	1183	1207	755	2359	979	984	2031	1733	1304	1549	1244	1418	1534	916	1270	940	1446	1709	943	1187	736	1275	1771	625	1348	1784	1436
5878	5608	4054	2157	1462	5116	4440	3199	2464	4576	4679	3726	2808	3152	2803	3918	3678	2243	3001	1961	3011	3183	1631	2515	2328	2230	5083	3702	3180	3647	2994	3005	3528	2195	2853	2233	3011	3696	2111	2745	1974	2854	4369	1569	2629	3950	3396
11780	10120	8184	4451	3065	9777	9279	6279	4618	9004	9092	7448	6211	7100	5182	8154	7649	3206	3766	3692	5983	6662	3157	3009	4920	4465	10921	7783	6296	7189	5903	5647	7133	4482	5794	5051	6132	7637	4141	5707	4061	5941	8025	3165	5207	7830	6908
20753	18910	14804	7717	4652	16875	14707	10293	7188	15974	16329	12826	10535	12279	9811	14072	12536	4566	3788	6611	10890	11450	5249	3742	9277	8380	17191	12246	11480	12795	11280	7587	11934	8689	9792	9280	10257	13496	8135	10572	7509	9742	13252	5257	8091	14116	12515
25775	24875	20319	9505	5208	21687	17606	12478	8481	20378	21513	16123	12728	15844	13058	17603	15172	5469	3878	8473	14417	14245	6217	4105	12306	11027	19773	14310	15103	16194	15187	7718	14823	11792	12195	12354	12281	17200	11059	13875	9899	11966	16933	6809	9917	18753	16387
25896	25127	21586	9016	4718	21755	16110	11682	7715	19587	22215	15380	12305	15736	13463	17531	14323	5293	3345	8374	14807	13726	5609	3855	12591	11292	17895	13172	15506	16145	15958	5654	14504	12503	12043	12436	11556	17186	11382	14190	10115	11402	16590	6791	9403	19283	16943
20961	20659	16959	6292	3093	16138	10626	8155	5203	13643	17124	10634	8525	10788	9380	12283	9734	3700	2196	5963	10571	9658	3773	2585	8812	7918	12370	9112	11330	11449	12217	2392	10641	9672	8383	8811	8153	12035	8206	10194	7428	8206	11705	4964	6477	14410	12493
11566	11403	9636	2937	1806	8705	5075	4179	2812	6751	9687	5592	4298	4860	3948	5602	4672	1416	1354	2597	4618	4829	2030	1303	3515	3396	7409	5039	5756	5553	6608	687	6162	5225	3724	3634	4286	5368	3393	4761	3727	3996	6023	2224	3082	7529	6841
4481	4735	3723	1413	744	3368	1837	1586	1156	2883	3316	2686	1581	1597	1446	1871	2133	476	675	879	1386	1698	1052	487	1118	1060	3305	2527	2248	2392	2354	204	2594	1779	1591	1135	2080	2245	1127	1533	1247	1372	2501	727	1213	3002	2863
