E15B11a_2	E15B11b_2	E15B11c_2	E15B12_1	E15B1_2	E15B2_1	E15B3_2	E15B4_2	E15B5a_1	E15B5b_2	E15B6a_2	E15B6b_1	E15B6c_1	E15B6d_1	E15B7_1	E15B8_2	E15B9_1	E15L1_1	E15L2_2	E15L3_1	E15L4_1	E15L5_1	E15L6_2	E15L7_1	E15L8_2	E15L9_1	E15N1_2	E15N3_2	E15P10b_1	E15P11b_1	E15P12b_1	E15P13b_1	E15P14b_2	E15P15b_2	E15P1a_1	E15P3a_1	E15P4a_1	E15P5a_1	E15P6a_1	E15P7a_1	E15P8b_1	E15P9b_2	E15X2_1	E15X4_1	E15X6_2	E15X7_2	E15X8_2
2095	1041	1006	955	564	1324	918	620	670	905	577	707	1072	1237	1078	779	1466	1172	350	833	1110	830	465	215	600	1173	981	1694	1471	1834	1130	947	498	541	2591	2275	1021	1657	2197	2064	2264	1044	702	433	1054	811	836
8817	5132	4891	4258	2690	5839	3629	2582	2449	3969	3009	3040	5250	6586	5010	3836	7016	5547	1838	4700	6126	3998	1721	907	2798	5842	3921	6435	7163	7643	5403	3795	2582	2711	10696	10304	4685	7449	10487	8446	8910	4839	3643	2504	4614	3710	4056
20182	12275	11871	10635	6496	14300	8741	6824	6440	9747	8081	7766	12211	14891	11477	8993	16273	12201	4829	10159	14326	9010	4277	2263	6318	12650	10475	15520	15946	17848	12708	9227	6006	6594	23387	22711	11210	16011	23246	18447	20181	11816	7951	5792	10441	9013	9808
23716	14765	13710	12532	7507	16767	10166	8434	7988	11818	9544	9608	14335	17019	12882	10621	18973	13237	6373	11366	16264	10578	5428	2716	7196	14083	12932	19226	18633	20489	14700	11328	6792	7689	27275	24893	13400	18749	26053	22010	22834	13732	8990	6635	11848	10145	11674
11663	6768	6132	6589	4168	8740	5567	4361	4193	6139	4633	5108	7611	8019	5620	4743	9635	5513	4015	5182	7468	5119	3813	1286	3078	6724	7220	11134	9199	10457	7127	5969	3648	3580	13916	12376	7430	9121	10554	11320	11105	6958	4340	3216	6037	4944	5873
9175	5386	4606	5149	3525	6870	4717	3738	3633	5030	3828	4354	5706	6007	4033	3528	7696	3672	3350	3676	5415	3957	3857	920	2150	5049	6267	9497	7020	8667	5450	4873	3073	2899	10082	9511	6559	7069	7027	8909	9036	5671	3286	2469	4739	3916	4693
6801	3603	3040	3077	2471	4324	2939	2375	2567	3229	2368	2705	3261	4003	2506	2125	5218	2369	2221	2365	3238	2615	3005	497	1506	3263	4257	6670	4531	5694	3632	3314	1987	1884	5316	6458	4428	4648	4517	6083	5596	3610	1984	1431	2939	2509	3093
2144	1243	989	893	1223	1335	1001	786	881	1072	803	858	949	1151	768	730	1635	782	981	818	1008	784	1108	183	440	1091	1319	2265	1409	2083	1158	1321	622	596	1709	1910	1449	1433	1644	2298	1847	1134	579	365	1083	838	927
