E15B11a_2	E15B11b_3	E15B11c_3	E15B12_3	E15B1_1	E15B2_3	E15B3_1	E15B4_3	E15B5a_3	E15B5b_3	E15B6a_3	E15B6b_3	E15B6c_1	E15B6d_1	E15B7_1	E15B8_3	E15B9_1	E15L1_3	E15L2_1	E15L3_3	E15L4_1	E15L5_3	E15L6_1	E15L7_1	E15L8_3	E15L9_3	E15N1_3	E15N3_3	E15P10b_3	E15P11b_1	E15P12b_1	E15P13b_3	E15P14b_3	E15P15b_3	E15P1a_1	E15P3a_3	E15P4a_3	E15P5a_3	E15P6a_3	E15P7a_3	E15P8b_3	E15P9b_3	E15X2_3	E15X4_3	E15X6_1	E15X7_3	E15X8_3
1589	2038	1312	1249	970	1711	1989	1770	903	1492	2025	1624	1502	1972	2614	1817	1810	1289	1805	919	2585	1641	836	688	2067	1863	1812	1543	2310	2528	2643	2080	812	1340	3915	2182	1228	1820	2232	1664	2634	2318	1105	339	1037	1169	1613
4753	6119	3926	3537	2744	4310	5573	4483	2530	4696	5531	4572	3983	5517	6822	5401	5503	3052	3792	2263	6986	4589	2239	1901	5577	5028	5420	4462	6070	6994	7819	5704	2846	4039	9637	6091	3673	5472	6723	5039	8187	6341	3267	769	2829	3590	4647
9667	13694	8103	7798	5442	10099	11417	10059	5923	11481	12284	9659	8393	9614	12171	9959	11075	6239	5999	4012	12540	8907	4449	3498	9148	9135	12773	11343	13511	13712	16695	11834	7180	9997	18395	11924	8618	13495	14908	11620	15793	14799	6774	1291	5881	7955	10584
14623	20964	12728	11918	8316	15539	17291	15464	9256	18014	18802	14910	12136	12495	15432	13664	16746	9107	7336	5580	16692	12475	6865	4906	11053	12056	19958	17966	18925	19703	24200	16042	11600	15614	25236	16189	12935	20785	21771	18221	20671	22454	10327	1820	8809	12217	16924
15635	22409	13763	13084	8662	17958	18684	16851	10022	19538	20409	16486	12843	12113	14169	13201	17493	9168	7467	5270	16004	12473	7202	4887	10160	11385	23625	20595	18734	20183	23712	15635	12758	17139	25191	16837	13570	21819	22275	20043	19606	24630	11683	1907	9539	13795	17983
12274	17611	10828	10730	6784	13559	15147	13335	8174	15779	16179	13437	10671	9590	10730	11034	13948	6500	5599	3947	13220	9268	5858	3885	8267	9220	18704	16679	13825	16257	17529	10515	9839	13604	20802	13194	10857	17054	15013	15169	13027	18586	8751	1523	7336	11418	14242
6584	9246	5517	5845	3182	6795	7567	5979	3798	7468	8719	6802	5456	4688	4919	5658	6393	3027	2715	1843	7026	4147	2559	1867	4056	4616	9142	7601	5705	7508	8002	4229	4693	6992	10852	6858	5410	8452	5636	7898	5583	9179	4490	781	3781	5692	7038
2003	2944	1591	1669	1168	2250	2310	1805	1100	2232	2615	1996	1691	1601	1516	1622	1927	1337	1128	622	2156	1194	724	533	1397	1508	2572	2369	1744	2297	2572	1335	1350	2045	3728	2062	1731	2456	1720	2345	1709	2996	1385	246	1099	1841	2095
