E15B11a_1	E15B11b_2	E15B11c_2	E15B12_2	E15B1_2	E15B2_2	E15B3_2	E15B4_2	E15B5a_1	E15B5b_3	E15B6a_3	E15B6b_3	E15B6c_3	E15B6d_2	E15B7_2	E15B8_2	E15B9_2	E15L1_2	E15L3_1	E15L4_2	E15L5_1	E15L7_2	E15L8_1	E15L9_2	E15N1_1	E15N3_1	E15P10b_2	E15P11b_1	E15P12b_1	E15P13b_3	E15P14b_2	E15P15b_2	E15P1a_1	E15P3a_1	E15P4a_1	E15P5a_2	E15P6a_2	E15P7a_2	E15P8b_1	E15P9b_2	E15X2_2	E15X4_2	E15X6_2	E15X7_2	E15X8_2
1607	2138	2803	2612	3178	2142	1703	1834	1320	901	711	947	723	2517	1643	2542	1646	505	1021	1751	1779	1242	2200	1046	1571	1368	1641	1583	2967	663	1238	1433	2431	1740	2290	1702	2164	1467	3005	1362	320	906	2022	1850	2103
5509	7299	8208	8052	8378	6960	5021	5883	4442	2800	1761	2669	2095	6522	4916	7308	5557	1783	2859	5910	5596	3739	6530	3604	4870	5032	5506	5635	8171	1795	3892	5077	7986	5850	6368	5086	7152	4584	9155	4798	905	2962	6085	4600	5555
14482	16490	17926	17228	19848	16539	11874	13643	10046	6367	4476	5648	4473	15135	12152	18009	11889	4392	8070	14450	13076	8305	16602	8712	12233	12238	13673	13108	21389	4466	10176	12104	19388	14115	14992	13234	17555	12166	20237	11589	1895	7258	13003	10528	12819
25647	24873	24075	22284	24512	26151	18205	20164	16000	9064	5870	7092	5825	20357	15376	24529	17097	6940	12504	22498	20091	10124	23079	12626	19831	20021	23628	20647	26111	6273	15277	18524	25470	22016	24031	18817	23890	17910	25618	18017	3171	10491	18262	14104	16689
26880	26624	26694	24838	23513	26002	22088	24644	19827	11102	6656	8347	6773	22524	17203	26537	20645	8189	14664	26754	24803	11839	25520	14439	25563	25260	27400	25700	25678	7481	18159	22122	24998	25941	26555	21778	26848	20992	25139	21489	4075	12230	20896	16639	19435
26548	26013	25267	24770	24024	26661	20528	24580	19049	11424	6287	7901	6817	20605	16563	26080	20032	7261	12303	22720	23146	11717	21529	12805	25507	24447	25420	24438	25722	7029	17410	19610	25216	21808	26081	19877	23755	19105	25649	19079	3883	10517	18718	16148	18692
11766	12347	11284	12272	16780	14501	9806	13541	10387	5808	3208	4024	3398	8983	7023	11783	10349	2788	4676	9172	10736	5441	7999	5346	14955	13056	10569	12152	15964	3786	8499	8448	13152	8347	13721	9071	8816	9150	12398	8390	1931	3891	8223	7583	8749
2168	3242	3097	3000	3820	3362	2328	3542	2518	1533	838	1049	913	2352	1616	2822	2448	567	969	1997	2511	1427	1603	1220	3231	3068	1985	2564	3709	819	2138	1651	3153	1879	3293	1915	1595	2042	3376	2016	468	869	2170	1769	2098
