C80M1a_1	C80M1a_2	C80M1a_3	C80M2_1	C80M2_2	C80M2_3	C80M3_1	C80M3_2	C80M3_3	C80M4b_1	C80M4b_2	C80M4b_3	C80N1_1	C80N1_2	C80N1_3	C80N2_1	C80N2_2	C80N2_3	C80N3_1	C80N3_2	C80N3_3	C80P1a_1	C80P1a_2	C80P1a_3	C80P1b_1	C80P1b_2	C80P1b_3	C80P1c_1	C80P1c_2	C80P1c_3	C80P1d_1	C80P1d_2	C80P1d_3
232	175	84	548	506	279	413	253	128	194	176	101	139	188	72	426	213	123	270	69	91	303	129	137	176	135	90	1026	572	484	757	367	306
395	231	125	1053	924	485	730	399	229	299	278	179	247	255	151	590	354	194	522	139	153	481	241	251	258	218	135	1603	933	796	1269	687	517
624	315	192	1501	1522	842	1171	723	446	489	423	334	363	377	234	789	504	285	831	254	209	740	383	383	399	257	222	2647	1633	1218	1932	1063	841
838	442	233	1861	1996	1105	1466	1077	654	642	544	440	480	467	264	947	597	329	1042	337	224	1003	495	498	499	263	260	3332	2061	1576	2344	1345	1090
852	423	236	1772	1967	1042	1448	1124	682	670	522	453	463	407	226	861	524	305	1010	380	211	1131	542	514	472	216	249	3346	2104	1495	2247	1296	1022
651	347	165	1270	1465	735	1134	865	588	566	374	355	354	252	134	550	372	224	756	318	158	858	437	426	333	125	225	2598	1631	1074	1614	915	744
338	207	101	517	628	320	583	463	295	394	167	191	166	107	67	230	210	99	387	133	76	647	268	279	137	62	140	1288	824	457	724	406	320
100	62	63	137	141	117	143	187	82	182	73	67	51	0	0	71	75	0	181	0	0	0	127	125	0	0	69	466	339	162	195	153	167
