C80M1a_1	C80M1a_2	C80M1a_3	C80M1b_1	C80M1b_2	C80M1b_3	C80M2_1	C80M2_2	C80M2_3	C80M3_1	C80M3_2	C80M3_3	C80M4b_1	C80M4b_2	C80M4b_3	C80N1_1	C80N1_2	C80N1_3	C80N2_1	C80N2_2	C80N2_3	C80N3_1	C80N3_2	C80N3_3	C80P1a_1	C80P1a_2	C80P1a_3	C80P1b_1	C80P1b_2	C80P1b_3	C80P1c_1	C80P1c_2	C80P1c_3	C80P1d_1	C80P1d_2	C80P1d_3
381	269	474	274	249	314	776	903	1123	599	430	352	497	654	427	132	89	148	182	111	211	139	105	179	741	473	530	216	180	226	1196	825	995	488	317	488
738	581	980	576	518	605	1754	2206	2442	1353	973	764	1035	1413	960	276	190	263	351	236	386	294	198	382	1542	1093	1212	498	447	453	2688	1858	2291	1107	765	1078
1044	795	1363	807	693	757	2591	3313	3664	2034	1526	1164	1520	2039	1390	494	306	540	586	389	718	546	351	639	2243	1632	1849	803	675	613	3987	2890	3477	1666	1175	1674
1056	778	1256	762	639	684	2655	3521	3719	2194	1635	1176	1478	2075	1450	645	398	616	683	498	876	664	414	712	2460	1722	2037	814	657	637	4225	2952	3569	1680	1193	1745
592	384	683	505	370	397	1604	2228	2216	1376	1040	728	848	1338	849	502	326	509	533	388	691	513	360	586	1430	1092	1285	585	404	390	2589	1998	2406	1173	802	1294
291	211	476	294	221	295	728	927	993	756	528	365	483	662	394	284	177	241	327	201	386	360	254	390	714	654	720	270	212	187	1467	1032	1309	671	430	647
300	198	277	282	209	354	496	597	720	626	454	336	396	596	357	237	120	220	301	140	349	297	223	372	569	531	691	262	200	148	1363	895	996	616	401	622
0	235	268	301	198	345	537	511	703	0	390	311	0	472	370	0	157	0	293	178	483	318	202	396	473	519	601	0	130	0	1267	771	1063	510	321	493
