C80M1a_1	C80M1a_2	C80M1a_3	C80M1b_1	C80M2_1	C80M2_2	C80M2_3	C80M3_1	C80M3_2	C80M3_3	C80M4b_1	C80M4b_2	C80M4b_3	C80N1_1	C80N1_2	C80N1_3	C80N2_1	C80N2_2	C80N2_3	C80N3_1	C80N3_2	C80N3_3	C80P1a_1	C80P1a_2	C80P1a_3	C80P1b_1	C80P1b_2	C80P1b_3	C80P1c_1	C80P1c_2	C80P1c_3	C80P1d_1	C80P1d_2	C80P1d_3
750	390	433	283	1266	855	853	971	656	662	1019	645	723	1433	807	758	1150	752	694	1095	570	696	1289	634	710	939	490	600	1383	887	924	1520	827	842
872	473	521	434	1580	1036	1167	1402	746	825	1412	710	975	1804	967	959	1545	929	783	1398	658	831	1442	787	900	1096	602	770	1694	1069	1273	1888	1005	1095
1626	751	788	1883	3345	2498	2090	4144	2366	2036	2252	1216	1371	3605	1945	1910	2994	1665	1464	2716	1165	1221	3116	1487	1577	2140	1175	1318	3907	2162	2635	4303	2266	2155
6239	3078	3084	1936	12098	9220	8279	9943	6575	5898	7236	5045	5587	12110	7067	7428	9666	6038	5848	9342	4682	4732	11423	6116	5870	7870	4626	5017	14049	8673	9762	14509	8450	8802
8109	5046	6036	1934	11415	9627	10138	8166	5790	5992	10080	7591	9954	13302	9020	9831	11398	8393	8754	11229	7081	8442	12630	8119	8845	10719	6319	7555	14551	9033	10804	13869	9187	10618
2320	1323	1640	7935	4598	3266	2920	4834	2910	2653	2968	1875	2719	4316	2675	2770	3787	2392	2461	3603	1846	2286	3968	2144	2507	3113	1853	1984	6140	3044	3533	5804	3043	2970
7472	4026	3803	6571	16895	12653	10262	15423	10279	8539	8589	6393	7049	15509	9335	9262	12531	7447	7056	11846	5796	6032	15074	7593	7403	9914	5966	6415	23088	12384	12542	21801	11768	11112
15474	9025	9685	919	29046	23967	21552	16666	12515	10716	18550	14155	16483	29212	18991	18951	24484	16277	15787	23793	13038	13878	28606	16131	15460	20439	12562	14221	28972	22400	25131	29398	22114	21975
1224	869	830	0	2687	2205	1848	870	574	599	1790	959	1434	2467	1742	1668	2353	1270	1435	2711	908	1070	2509	1384	1314	2057	1044	1073	4069	1840	2308	3379	1821	1750
