C80M1a_3	C80M1b_3	C80M2_1	C80M2_2	C80M2_3	C80M3_1	C80M3_2	C80M3_3	C80M4b_1	C80M4b_2	C80M4b_3	C80N1_1	C80N1_2	C80N1_3	C80N2_1	C80N2_2	C80N2_3	C80N3_1	C80N3_2	C80N3_3	C80P1a_1	C80P1a_2	C80P1a_3	C80P1b_1	C80P1b_2	C80P1b_3	C80P1c_1	C80P1c_2	C80P1c_3	C80P1d_1	C80P1d_2	C80P1d_3
2324	1917	316	692	355	278	666	241	433	726	426	259	437	173	112	2251	188	243	741	537	143	765	169	104	395	172	271	740	291	271	674	401
6800	3713	1241	2059	1271	1089	2663	1094	1603	2707	1485	1036	1364	820	611	6392	583	957	2829	1949	502	2646	583	357	1610	635	1044	2499	1396	832	2428	1646
15056	5772	3366	6133	3652	3332	7118	3011	4413	6867	4064	2909	3087	2576	1829	12211	2001	2599	8226	5345	1531	7400	1724	993	4513	1833	2822	7282	3845	2457	6023	4490
20700	7939	6337	11769	7274	7121	15268	6508	8833	14139	8474	4926	4977	4338	3291	17311	3306	4576	12908	9079	2984	14287	3037	2008	9110	3382	5763	14704	7792	4925	12129	8151
16744	6471	7029	13468	8085	7989	16445	6851	8857	15442	8844	3979	4432	3761	2969	15819	2946	4113	10773	7840	2877	14180	2849	2151	9784	3446	6141	14410	7535	4836	12033	7264
10619	3845	6150	12348	7094	7328	13420	5336	7101	13248	7395	2034	2907	1693	1323	11770	1375	2325	5279	3793	1841	9478	1802	1543	8068	2935	4925	11279	5726	3544	8729	4701
4838	1812	5257	10989	5935	3748	6729	2765	4319	7122	4062	1739	2120	1314	1061	8228	1149	2108	4283	2865	1157	6073	1052	921	3596	1236	3171	6611	3263	2506	6330	3103
2136	539	3809	7243	4120	1973	3843	1425	2454	3841	2660	1199	1202	958	741	3882	818	1421	3022	2038	816	4045	721	721	2004	766	1932	4060	1911	1887	3871	2424
492	78	925	1689	996	586	955	431	699	1086	661	359	391	262	203	1165	247	306	697	515	208	1038	190	188	430	182	559	938	584	511	946	576
