C80M1a_1	C80M1a_2	C80M1a_3	C80M1b_2	C80M1b_3	C80M2_1	C80M2_2	C80M2_3	C80M3_1	C80M3_2	C80M3_3	C80M4b_1	C80M4b_2	C80M4b_3	C80N1_1	C80N1_2	C80N1_3	C80N2_1	C80N2_2	C80N2_3	C80N3_1	C80P1a_1	C80P1a_2	C80P1a_3	C80P1b_1	C80P1b_2	C80P1b_3	C80P1c_1	C80P1c_2	C80P1c_3	C80P1d_1	C80P1d_2	C80P1d_3
156	83	189	105	119	284	210	263	266	133	185	203	117	166	169	0	125	0	114	0	0	200	0	214	145	130	129	317	227	291	250	158	230
250	165	327	161	209	440	313	428	530	240	356	326	187	289	261	122	178	74	68	135	65	348	104	439	260	184	229	491	438	521	374	231	391
647	463	856	477	558	912	740	1134	1152	640	960	690	468	645	528	311	412	219	176	220	145	743	322	965	629	613	583	1155	1093	1430	856	550	864
1314	998	1698	1008	1148	2191	1790	2465	2348	1379	1800	1477	1009	1449	1276	845	935	609	479	554	310	1859	689	2071	1385	1228	1266	2641	2318	2873	1913	1376	1944
1680	1182	1915	1233	1438	2849	2365	3174	2788	1666	2149	1848	1239	1727	1852	1284	1401	912	640	783	456	2494	843	2686	1748	1455	1605	3492	2931	3530	2551	1782	2480
1609	1087	1764	1135	1336	2732	2419	3084	2498	1496	2030	1738	1142	1638	2019	1389	1634	883	701	823	484	2578	782	2613	1733	1333	1464	3421	2764	3333	2518	1741	2446
969	636	977	691	786	1650	1707	2024	1306	848	1257	1057	674	982	1647	1133	1311	647	567	593	349	1771	542	1769	1087	752	937	2068	1712	2129	1722	1145	1525
255	131	224	179	218	432	394	482	295	166	315	252	130	310	743	448	560	230	247	252	108	450	153	501	180	172	251	482	385	484	452	248	432
