C80M1a_1	C80M1a_2	C80M1a_3	C80M1b_1	C80M1b_2	C80M1b_3	C80M2_1	C80M2_2	C80M2_3	C80M3_1	C80M3_2	C80M3_3	C80M4b_1	C80M4b_2	C80M4b_3	C80N1_1	C80N1_2	C80N1_3	C80N2_1	C80N2_2	C80N2_3	C80N3_1	C80N3_2	C80N3_3	C80P1a_1	C80P1a_2	C80P1a_3	C80P1b_1	C80P1b_2	C80P1b_3	C80P1c_1	C80P1c_2	C80P1c_3	C80P1d_1	C80P1d_2	C80P1d_3
177	150	104	59	87	106	387	291	247	300	159	167	0	233	166	128	142	0	150	0	61	99	91	81	188	194	168	80	99	102	312	252	268	214	254	228
581	739	534	395	308	391	1570	1260	1035	1097	539	762	647	943	666	626	577	144	658	457	300	426	310	341	886	863	666	382	314	306	1332	1368	1258	888	1023	922
2377	2681	2017	1493	1141	1537	5858	4558	4471	4094	2203	2959	2055	3560	2544	2133	2379	547	2287	1680	1136	1520	1050	1263	2962	3107	2890	1362	1275	1085	5178	4766	4575	3333	4226	3884
4711	5260	4165	3010	2063	3102	11725	9378	8989	8043	4377	5866	4019	6845	5045	4411	4867	1217	4393	3544	2531	3093	2073	2635	5828	6170	5924	2693	2442	2038	10778	9673	9277	6870	8556	8005
5286	5743	4629	3251	2328	3502	13365	11097	10028	8951	4797	6728	4421	7669	5605	5235	5716	1436	4901	4047	2884	3428	2475	3009	6773	6911	6738	2941	2834	2309	12156	11110	10609	7804	9766	9139
2665	2872	2258	1781	1159	1792	7117	5933	5308	4424	2429	3426	2151	3722	2820	3161	3360	873	2796	2411	1779	2089	1462	1718	3879	3788	3687	1383	1264	1165	6683	5895	5529	4598	5440	4916
608	619	438	416	234	362	1525	1237	1081	879	483	683	376	763	578	762	755	208	631	599	364	493	287	403	814	773	664	270	260	217	1605	1427	1188	995	1146	1062
141	124	110	86	69	82	339	281	234	205	120	113	71	163	120	162	169	0	165	138	77	110	67	92	177	185	132	57	58	58	359	295	262	225	261	198
