C70L1_1	C70L1_2	C70L1_3	C70M4a_1	C70M4a_2	C70M4a_3	C70M4b_1	C70M4b_2	C70M4b_3	C70M5_1	C70M1_1	C70M1_2	C70M1_3	C70M2_1	C70M2_2	C70M2_3	C70M3_2	C70N1_1	C70N1_2	C70N1_3	C70N2_1	C70N2_2	C70N2_3	C70P1a_1	C70P1a_2	C70P1a_3	C70P1b_1	C70P1b_2	C70P1b_3	C70P1c_1	C70P1c_2	C70P1c_3	C70P1d_1	C70P1d_2	C70P1d_3	C70P1e_1	C70P1e_2	C70P1e_3
652	281	203	349	290	0	500	149	141	54	620	698	282	188	217	298	101	394	259	198	422	296	103	1595	1460	841	1090	713	630	690	831	470	156	455	153	374	266	250
3234	1895	1322	837	1037	343	1737	1029	484	405	1140	1208	483	983	920	184	848	1303	621	603	698	697	301	8341	8083	4859	5319	4473	3094	2897	3801	2288	705	2262	837	1891	1206	1006
10069	7255	4923	2519	3447	1274	4124	3752	1453	1298	3567	3043	1208	3203	2840	585	2616	4146	2615	2203	2459	1825	1155	17356	16894	10083	11236	8798	6223	9221	10331	6754	2164	6555	2386	5924	5050	3811
13000	10140	6315	3356	4712	1957	5641	5777	2076	971	4426	3833	1747	4439	3590	927	3462	5596	3530	3009	3101	2273	1625	5992	5780	3809	4361	3470	2659	9585	9077	6048	2027	6055	1991	6557	7232	4873
3448	2598	1796	958	1204	502	1516	1345	547	296	1173	975	458	1277	866	237	831	1769	1154	906	1129	746	560	1867	2143	1205	1581	1263	821	3454	2747	1919	686	1943	570	1934	2054	1641
2662	1889	1272	546	463	256	898	782	205	142	878	550	210	722	514	165	345	2230	1413	838	1359	1064	537	4369	4845	2758	2983	3006	1743	4932	3786	2165	877	2382	704	1851	2333	2135
5098	4250	2617	1026	850	454	1429	1534	486	314	1821	1150	472	1300	1010	361	618	3987	2811	1525	2410	1885	926	9013	10264	5781	6213	6224	3829	9330	7641	4112	1620	4467	1496	3272	4255	4354
5423	5052	3131	1583	1320	610	1801	1935	674	381	2216	1533	670	1718	1546	476	648	3712	2537	1554	2137	1640	854	9616	10431	6430	6301	6466	4016	9180	7584	4469	1494	4576	1471	3211	3862	4432
