C39-1-A_1	C39-1-A_2	C39-1-A_3	C39-1-B-T1_1	C39-1-B-T1_2	C39-1-B-T1_3	C39-1-C-J_1	C39-1-C-J_2	C39-1-C-J_3	C39-1-H-Sec_1	C39-1-H-Sec_2	C39-1-H-Sec_3	C39-1-I-T1_1	C39-1-I-T1_2	C39-1-I-T1_3	C39-2-E_1	C39-2-E_2	C39-2-E_3	C39-2-I-J_1	C39-2-I-J_2	C39-2-I-J_3
3749	3204	3415	1039	1450	1512	2088	2907	2711	3932	3726	2903	1960	1748	1631	570	492	856	2325	2334	3414
9716	8376	8524	4274	5251	6055	5646	7186	5605	8618	8296	6363	5402	6372	5235	1720	1428	3001	6173	6086	7351
12618	10683	10781	7304	10182	10511	7215	8687	5633	9708	10034	7564	7098	11003	8178	2669	2292	4636	7621	7554	8747
9610	8184	7961	7105	10456	10865	5398	6268	3784	6813	7722	5597	6554	11224	7813	2709	2243	4129	6518	6019	6730
6954	5971	6076	4830	7269	7314	4311	5019	2619	4588	5669	4070	4035	7207	4763	1771	1761	2677	4297	3846	4197
4336	3615	3540	3626	5726	5676	3755	4307	2168	2863	3667	2274	2802	4414	2976	1516	1638	2110	2926	2641	2779
1807	1836	2015	2048	3626	3410	2538	2901	1547	1497	1731	1187	1964	2401	1810	1211	1304	1779	2005	1709	1755
926	811	771	764	1714	1626	1139	1346	479	700	967	546	1236	1351	900	711	721	1014	1182	986	932
